depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
10,508.7,26.743,3.214,15.775,1319.143
20,997.3,28.229,6.943,18.377,993.571
30,1486,27.214,4.2,16.539,988.714
40,1974.6,28.286,6.886,18.367,996.571
50,2217.5,27.714,6.686,17.842,950.143
60,2460.4,27.729,9.029,18.932,1011.143
70,2703.3,27.8,5.614,17.569,955
80,2946.3,25.057,-0.614,13.089,1097.857
90,3189.2,28.257,7.886,18.711,897.143
100,3432.1,27.957,7.757,18.463,936.857
110,3675,27.371,6.343,17.432,970.286
120,3917.9,27.371,6.343,17.432,970.286
130,4160.8,27.671,6.471,17.681,930.857
140,4403.7,27.671,6.471,17.681,930.857
150,4646.7,27.671,6.471,17.681,930.857
160,4889.6,27.957,7.757,18.463,936.857
170,5132.5,27.643,7.471,18.025,831.429
180,5375.4,27.829,7.314,18.16,938.571
190,5618.3,27.371,5.429,17.046,996.714
200,5861.2,27.657,6.329,17.758,1139.429
210,6104.1,27.957,7.757,18.463,936.857
220,6347.1,27.957,7.757,18.463,936.857
230,6590,27.957,7.757,18.463,936.857
240,6832.9,27.9,6.657,17.925,943.143
250,7084.5,27.186,7.929,18.04,1049
260,7336.2,26,4.1,15.233,640
270,7587.8,26.171,4.529,15.913,1049.143
280,7839.4,26.243,5.071,16.173,1022.286
290,8091.1,28.029,9.157,19.181,971.714
300,8342.7,26.943,4.971,16.596,965.286
310,8594.3,27.371,5.029,16.907,879
320,8846,26.829,3.829,16.038,932
330,9097.6,27.843,6.014,17.72,1017.571
340,9349.2,27.486,6.171,17.465,912.286
350,9600.9,26.943,5.229,16.764,1002
360,9852.5,26.529,3.543,15.752,906.143
370,10104.1,26.943,4.971,16.596,965.286
380,10355.8,26.943,4.971,16.596,965.286
390,10607.4,27.171,6.143,17.269,944.571
400,10859,27.186,5.143,16.82,944.714
410,11110.7,NA,NA,NA,NA
420,11362.3,NA,NA,NA,NA
430,11613.9,NA,NA,NA,NA
440,11865.6,NA,NA,NA,NA
450,12117.2,NA,NA,NA,NA
460,12368.8,NA,NA,NA,NA
470,12620.5,NA,NA,NA,NA
480,12872.1,NA,NA,NA,NA
490,13123.7,NA,NA,NA,NA
500,13375.4,NA,NA,NA,NA
510,13627,NA,NA,NA,NA
520,13878.6,NA,NA,NA,NA
530,14130.3,NA,NA,NA,NA
540,14381.9,NA,NA,NA,NA
