year (AD),age (BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
1900,50,1.541,1.06,2.023
1850,100,2.023,1.06,2.986
1800,150,2.505,1.06,3.95
1750,200,2.986,1.06,4.913
1700,250,3.468,1.06,5.876
1650,300,3.95,1.06,6.839
1600,350,4.431,1.06,7.803
1550,400,4.913,1.06,8.766
1500,450,5.409,1.06,9.758
1450,500,5.975,1.06,10.891
1400,550,6.613,1.06,12.167
1350,600,7.308,1.06,13.556
1300,650,8.002,1.06,14.944
1250,700,8.696,1.06,16.333
1200,750,9.391,1.06,17.722
1150,800,10.085,1.06,19.111
1100,850,10.819,1.06,20.578
1050,900,11.591,1.06,22.122
1000,950,13.849,1.06,26.638
950,1000,16.097,1.06,31.135
900,1050,18.336,1.06,35.613
850,1100,21.84,2.449,41.231
800,1150,25.44,2.449,48.431
750,1200,30.329,2.449,58.21
700,1250,32.317,1.06,63.573
650,1300,31.152,1.06,61.245
600,1350,25.596,1.06,50.132
550,1400,19.991,1.06,38.922
500,1450,17.211,1.06,33.362
450,1500,17.305,1.06,33.55
400,1550,17.399,1.06,33.737
350,1600,17.492,1.06,33.925
300,1650,17.586,1.06,34.112
250,1700,17.68,1.06,34.3
200,1750,17.774,1.06,34.487
150,1800,17.867,1.06,34.675
100,1850,19.892,2.678,37.106
50,1900,21.93,4.306,39.555
0,1950,29.263,9.215,49.312
-50,2000,34.741,12.552,56.931
-100,2050,44.363,17.61,71.115
-150,2100,48.81,19.466,78.154
-200,2150,46.231,17.932,74.53
-250,2200,39.567,14.707,64.428
-300,2250,35.85,13.193,58.508
-350,2300,46.629,18.62,74.639
-400,2350,57.479,24.107,90.852
-450,2400,74.871,31.52,118.222
-500,2450,84.919,35.473,134.366
-550,2500,95.027,39.465,150.59
-600,2550,95.729,39.878,151.58
-650,2600,96.43,40.291,152.57
-700,2650,97.132,40.704,153.56
-750,2700,97.833,41.117,154.55
-800,2750,98.535,41.529,155.54
-850,2800,99.236,41.942,156.53
-900,2850,99.938,42.355,157.52
-950,2900,100.639,42.768,158.51
-1000,2950,101.28,43.181,159.378
-1050,3000,101.86,43.594,160.125
-1100,3050,102.379,44.007,160.75
-1150,3100,102.898,44.42,161.375
-1200,3150,99.062,42.729,155.394
-1250,3200,95.21,41.018,149.402
-1300,3250,91.342,39.288,143.397
-1350,3300,91.814,39.642,143.986
-1400,3350,88.379,37.813,138.946
-1450,3400,81.521,33.762,129.28
-1500,3450,71.738,27.461,116.015
-1550,3500,63.432,21.052,105.811
-1600,3550,55.209,12.242,98.176
-1650,3600,49.851,5.564,94.138
-1700,3650,45.062,1.06,89.064
-1750,3700,41.777,1.06,82.494
-1800,3750,36.9,1.06,72.739
-1850,3800,34.029,1.06,66.998
-1900,3850,31.354,1.06,61.648
-1950,3900,30.482,1.06,59.905
-2000,3950,29.615,1.06,58.17
-2050,4000,30.537,1.06,60.015
-2100,4050,31.459,1.06,61.859
-2150,4100,37.725,1.06,74.391
-2200,4150,55.092,18.619,91.565
-2250,4200,104.738,62.893,146.583
-2300,4250,152.591,107.175,198.007
-2350,4300,189.214,133.906,244.522
-2400,4350,197.165,133.929,260.4
-2450,4400,201.46,133.953,268.968
-2500,4450,205.781,133.977,277.585
-2550,4500,214.88,142.865,286.896
-2600,4550,224.02,151.754,296.285
-2650,4600,237.831,160.645,315.017
-2700,4650,243.22,160.674,325.767
-2750,4700,248.639,160.702,336.575
-2800,4750,249.454,160.731,338.177
-2850,4800,250.269,160.759,339.779
-2900,4850,260.14,169.663,350.618
-2950,4900,275.668,178.568,372.768
-3000,4950,291.275,187.475,395.075
-3050,5000,297.905,187.509,408.301
-3100,5050,298.957,187.542,410.372
-3150,5100,300.009,187.575,412.443
-3200,5150,301.061,187.608,414.514
-3250,5200,307.932,187.641,428.223
-3300,5250,314.838,187.675,442.001
-3350,5300,321.778,187.708,455.849
-3400,5350,322.934,187.741,458.127
-3450,5400,324.089,187.774,460.405
-3500,5450,325.245,187.807,462.683
-3550,5500,326.401,187.841,464.961
-3600,5550,327.556,187.874,467.239
-3650,5600,328.712,187.907,469.517
-3700,5650,329.867,187.94,471.795
-3750,5700,331.023,187.973,474.073
-3800,5750,332.179,188.006,476.351
-3850,5800,333.334,188.04,478.629
-3900,5850,334.49,188.073,480.907
-3950,5900,335.645,188.106,483.185
-4000,5950,336.801,188.139,485.463
-4050,6000,337.957,188.172,487.741
-4100,6050,339.112,188.206,490.019
-4150,6100,340.268,188.239,492.297
-4200,6150,341.423,188.272,494.575
-4250,6200,342.579,188.305,496.853
-4300,6250,343.734,188.338,499.131
-4350,6300,344.89,188.372,501.409
-4400,6350,346.046,188.405,503.686
-4450,6400,347.201,188.438,505.964
-4500,6450,348.357,188.471,508.242
-4550,6500,349.512,188.504,510.52
-4600,6550,350.668,188.538,512.798
-4650,6600,351.824,188.571,515.076
-4700,6650,352.979,188.604,517.354
-4750,6700,354.135,188.637,519.632
-4800,6750,355.29,188.67,521.91
-4850,6800,356.446,188.703,524.188
-4900,6850,357.601,188.737,526.466
-4950,6900,358.757,188.77,528.744
-5000,6950,359.913,188.803,531.022
-5050,7000,361.068,188.836,533.3
-5100,7050,362.224,188.869,535.578
-5150,7100,363.379,188.903,537.856
-5200,7150,364.535,188.936,540.134
-5250,7200,365.691,188.969,542.412
-5300,7250,366.846,189.002,544.69
-5350,7300,368.002,189.035,546.968
-5400,7350,369.157,189.069,549.246
-5450,7400,370.313,189.102,551.524
-5500,7450,371.469,189.135,553.802
-5550,7500,372.624,189.168,556.08
-5600,7550,373.78,189.201,558.358
-5650,7600,374.935,189.234,560.636
-5700,7650,376.091,189.268,562.914
-5750,7700,377.246,189.301,565.192
-5800,7750,378.402,189.334,567.47
-5850,7800,379.558,189.367,569.748
-5900,7850,380.713,189.4,572.026
-5950,7900,381.869,189.434,574.304
