depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
715,0,19.5,-10.029,5.443,870
725,120,19.6,-9.786,5.587,910.571
735,240,19.757,-10.743,5.274,860.571
745,360,19.443,-9.757,5.518,921.143
755,480,19.571,-9.457,5.618,903.857
765,600,19.443,-9.886,5.402,861.857
775,720,19.3,-9.429,5.505,886.286
785,840,19.4,-8.886,5.745,969.286
795,960,19.414,-9.143,5.668,952.714
805,1080,19.486,-9.229,5.683,908.429
815,1199,19.571,-10.214,5.383,926.429
825,1319,19.671,-10.086,5.49,924.857
835,1445,19.629,-10.257,5.355,839.143
845,1577,19.786,-10.157,5.539,887.857
855,1708,19.843,-8.814,6.106,966.571
865,1840,19.6,-8.9,5.911,978.143
875,1972,19.843,-8.814,6.106,966.571
885,2103,19.514,-9.714,5.56,954.857
901,2314,19.671,-9.657,5.657,933.143
905,2366,19.586,-9.414,5.636,903.429
915,2498,19.614,-9.157,5.833,961.571
925,2630,19.543,-10.371,5.26,840.714
935,2761,19.543,-10.371,5.26,840.714
945,2900,19.514,-9.714,5.56,954.857
951,2987,19.643,-10,5.496,922.857
953,3016,19.529,-9.7,5.571,954.857
955,3045,19.6,-8.9,5.911,978.143
957,3074,19.571,-10.214,5.383,926.429
959,3103,19.571,-9.243,5.75,967.857
961,3132,19.643,-10,5.496,922.857
963,3161,19.614,-9.586,5.667,953.286
965,3190,19.514,-9.714,5.56,954.857
967,3220,19.757,-9.357,5.844,959.857
969,3249,19.671,-10.086,5.49,924.857
971,3278,19.529,-9.7,5.571,954.857
973,3307,19.643,-10,5.496,922.857
975,3336,19.614,-9.586,5.667,953.286
977,3365,19.643,-10,5.496,922.857
979,3394,19.829,-10.671,5.351,859.429
981,3423,19.529,-9.286,5.749,932
983,3452,19.686,-10.286,5.432,889.429
985,3481,20.114,-10.629,5.602,842.429
987,3510,19.8,-10.586,5.357,857.429
989,3539,19.614,-9.671,5.642,877.714
991,3568,20.043,-9.871,5.786,858.286
993,3597,19.471,-9.643,5.492,924.286
995,3627,19.586,-9.714,5.54,887.286
