depth (cm) [1-1],age (BP) [1-1],BSi (percent) [1-1],age (BP) [1-2],PC1 (unitless) [1-2],age (BP) [2-1],d13C (m) [2-1],C/N (unitless) [2-1],age (BP) [3-1],TOC (percent) [3-1],age (BP) [4-1],bulk density (g/cm3) [4-1],age (BP) [5-1],SE (cm/yr) [5-1],age (BP) [6-1],C (unitless) [6-1]
12,-38,8.28,9.042,-8.515,-6,-24.19,11.1,-6,0.174,-6,1.872,0,1.098,-51,-4.433
19,-29,8.38,29.056,-8.13,-1,-23.26,11.52,14.014,0.158,-4,1.867,50,1.423,-30.986,-6.349
22.75,-25,8.62,49.07,-9.367,3,-24.7,13.4,34.028,0.159,-2,1.803,100,1.33,-10.972,-7.71
31.5,-18,8.56,69.085,-9.051,8,-24.02,11.62,54.042,0.186,0,1.851,150,1.098,9.042,-8.515
37,-14,7.32,89.099,-8.821,12,-24.27,11.61,74.056,0.228,1,1.742,200,0.681,29.056,-8.13
42.5,-10,6.65,109.113,-8.295,15,-24.33,11.16,94.07,0.289,3,1.733,250,0.494,49.07,-9.367
51.5,-5,8.84,129.127,-7.089,19,-24.71,10,114.085,0.268,5,1.692,300,0.446,69.085,-9.051
55,-3,6.75,149.141,-6.472,22,-24.64,10.78,134.099,0.311,6,1.7,350,0.464,89.099,-8.821
61,0,6.6,169.155,-5.898,25,-24.41,9.59,154.113,0.342,8,1.742,400,0.484,109.113,-8.295
70.75,5,8.57,189.169,-6.108,29,-23.71,12.42,174.127,0.375,10,1.747,450,0.608,129.127,-7.089
82,12,7.77,209.183,-7.098,32,-23.74,12.06,194.141,0.365,11,1.792,500,0.582,149.141,-6.472
90,18,9.27,229.197,-8.056,33,-23.34,13.77,214.155,0.307,12,1.836,550,0.525,169.155,-5.898
101.75,26,8.16,249.211,-9.323,39,-23.71,12.75,234.169,0.355,14,1.844,600,0.408,189.169,-6.108
112.5,35,7.57,269.225,-8.37,42,-23.56,10.04,254.183,0.609,15,1.888,650,0.374,209.183,-7.098
119.75,40,8.04,289.24,-8.229,44,-23.94,11.46,274.197,0.754,16,1.893,700,0.322,229.197,-8.056
132.5,51,5.76,309.254,-6.382,47,-23.62,12.27,294.211,1.015,18,1.909,750,0.302,249.211,-9.323
135.7,53,8.34,329.268,-5.215,50,-24.64,12.54,314.225,0.602,19,1.949,800,0.28,269.225,-8.37
142.5,59,8.01,349.282,-5.84,53,-23.94,12.59,334.24,0.431,20,1.974,850,0.248,289.24,-8.229
144.2,60,7.19,369.296,-5.714,56,-24.21,10.04,354.254,0.416,21,1.993,900,0.268,309.254,-6.382
154.7,69,8.49,389.31,-5.177,59,-23.53,12.69,374.268,0.369,22,1.977,950,0.258,329.268,-5.215
164.7,77,6.94,409.324,-4.136,63,-23.41,11.59,394.282,0.274,23,1.976,1000,0.307,349.282,-5.84
171.2,82,8.59,429.338,-3.955,66,-23.83,9.88,414.296,0.234,24,1.988,1050,0.339,369.296,-5.714
172.05,82,7.15,449.352,-5.206,70,-22.87,17.79,434.31,0.191,25,2.017,1100,0.353,389.31,-5.177
174.2,84,8.76,469.366,-5.941,76,-24.05,10.78,454.324,0.13,26,1.969,1150,0.305,409.324,-4.136
182.7,90,8.29,489.38,-6.541,80,-24.84,13.13,474.338,0.138,27,1.988,1200,0.316,429.338,-3.955
193.95,99,6.43,509.395,-6.007,87,-24.76,13.41,494.352,0.148,28,1.983,1250,0.294,449.352,-5.206
203.95,106,7.35,529.409,-5.732,96,-24.72,12.51,514.366,0.164,29,2.01,1300,0.287,469.366,-5.941
214.2,115,7.89,549.423,-5.75,105,-25.03,13.81,534.38,0.142,30,2.034,1350,0.292,489.38,-6.541
224.7,124,7.77,569.437,-5.583,107,-24.8,12.52,554.395,0.098,31,2.033,1400,0.23,509.395,-6.007
231.2,130,9.78,589.451,-5.686,113,-24.55,12.62,574.409,0.109,32,2.061,1450,0.24,529.409,-5.732
252.5,153,7.22,609.465,-5.695,115,-24.65,12.18,594.423,0.116,33,2.023,1500,0.272,549.423,-5.75
261.25,165,8.64,629.479,-5.45,123,-25.1,12.38,614.437,0.14,34,1.983,1550,0.258,569.437,-5.583
270,177,6.63,649.493,-5.565,129,-24.86,12.25,634.451,0.154,35,1.963,1600,0.269,589.451,-5.686
281,195,8.25,669.507,-5.267,132,-24.03,11.8,654.465,0.239,36,1.981,1650,0.311,609.465,-5.695
291,213,6.01,689.521,-4.745,133,-24.23,12.55,674.479,0.349,37,2.041,1700,0.282,629.479,-5.45
300.5,230,7.89,709.535,-5.482,137,-25.12,12.99,694.493,0.373,38,1.946,1750,0.283,649.493,-5.565
310.25,255,4.86,729.55,-4.329,144,-24.85,12.64,714.507,0.309,39,1.913,1800,0.245,669.507,-5.267
321.25,281,4.73,749.564,-3.753,153,-25.24,12.78,734.521,0.236,40,1.969,1850,0.264,689.521,-4.745
330,301,6.66,769.578,-3.985,160,-24.74,11.66,754.535,0.291,41,2.01,1900,0.276,709.535,-5.482
341,325,8.94,789.592,-3.908,169,-24.95,12.08,774.55,0.261,42,2.004,1950,0.26,729.55,-4.329
350.75,345,5.51,809.606,-4.662,177,-24.65,11.95,794.564,0.26,43,1.956,2000,0.262,749.564,-3.753
361.25,366,6.47,829.62,-5.213,209,-25.21,11.21,814.578,0.262,44,1.991,2050,0.272,769.578,-3.985
370.5,383,6.94,849.634,-5.188,221,-25.42,11.49,834.592,0.261,45,2.007,2100,0.313,789.592,-3.908
382,405,6.38,869.648,-4.909,236,-25.49,11.61,854.606,0.333,46,2.016,2150,0.264,809.606,-4.662
390,419,7.37,889.662,-4.044,254,-24.81,11.78,874.62,0.392,47,1.921,2200,0.263,829.62,-5.213
402.5,441,5.74,909.676,-4.252,271,-25.1,11.64,894.634,0.259,48,1.98,2250,0.268,849.634,-5.188
413.5,460,6.61,929.69,-4.858,293,-24.35,12.7,914.648,0.318,49,2.081,2300,0.292,869.648,-4.909
422.5,475,5.9,949.705,-4.086,318,-25.02,11.59,934.662,0.207,50,2.038,2350,0.288,889.662,-4.044
431.5,491,5.16,969.719,-3.153,341,-25.5,12.77,954.676,0.323,51,2.035,2400,0.32,909.676,-4.252
442.75,512,4.75,989.733,-3.605,363,-25.57,11.22,974.69,0.362,52,2.058,2450,0.282,929.69,-4.858
452.5,531,5.28,1009.747,-3.458,385,-25.55,11.67,994.705,0.284,53,2.096,2500,0.288,949.705,-4.086
462.5,551,5.22,1029.761,-3.517,405,-24.87,11.6,1014.719,0.169,54,2.001,2550,0.303,969.719,-3.153
472.5,573,5.8,1049.775,-3.705,425,-25.07,11.39,1034.733,0.131,55,2.031,2600,0.265,989.733,-3.605
482.5,597,5.13,1069.789,-3.573,444,-24.68,10.76,1054.747,0.122,56,2.064,2650,0.267,1009.747,-3.458
529.5,733,5.96,1089.803,-3.349,462,-24.66,11.1,1074.761,0.15,57,2.106,2700,0.281,1029.761,-3.517
534.5,750,5.49,1109.817,-2.425,478,-24.8,10.13,1094.775,0.161,58,2.128,2750,0.289,1049.775,-3.705
539.5,768,6.29,1129.831,-3.787,500,-24.89,9.88,1114.789,0.166,59,2.031,2800,0.264,1069.789,-3.573
544.5,786,5.74,1149.845,-2.157,517,-25.23,11.21,1134.803,0.262,60,1.95,2850,0.345,1089.803,-3.349
549,802,5.71,1169.859,-2.47,533,-25.08,12.43,1154.817,0.254,61,2.11,2900,0.352,1109.817,-2.425
554.5,822,6.18,1189.874,-3.165,551,-25.05,10.54,1174.831,0.198,62,2.04,2950,0.282,1129.831,-3.787
559.5,841,3.83,1209.888,-2.194,571,-25.06,10.41,1194.845,0.201,63,1.999,3000,0.19,1149.845,-2.157
564.5,860,5.75,1229.902,-2.598,591,-25.32,10.53,1214.859,0.263,64,1.959,3050,0.12,1169.859,-2.47
568.5,875,4.78,1249.916,-2.73,612,-25.5,11.01,1234.874,0.185,65,2.044,3100,0.128,1189.874,-3.165
574.5,898,5.87,1269.93,-3.739,635,-25.72,10.62,1254.888,0.159,66,1.948,3150,0.128,1209.888,-2.194
579.5,917,5.18,1289.944,-3.949,652,-25.61,11.03,1274.902,0.126,67,1.854,3200,0.136,1229.902,-2.598
