age (BP),temperature (degC)
-50.1,9.557
-48.1,9.211
-45.9,9.259
-43.4,9.249
-40.5,9.337
-37,9.329
-33.1,9.249
-28.8,9.151
16.9,8.181
21.4,8.862
30.3,8.802
32.9,8.603
42.6,8.976
56.5,9.058
262.25,8.476
437.083,8.691
611.917,7.867
691.578,8.752
786.75,7.222
961.583,7.61
1136.417,8.296
1311.25,9.067
1486.083,9.629
1660.917,9.489
1835.75,10.183
2553.819,7.326
2589.448,10.08
2705.838,6.786
3010.69,8.479
3151.103,7.638
3291.517,8.483
3431.931,8.533
3572.345,7.66
3712.759,7.355
3853.172,7.141
3993.586,7.569
4134,6.975
4227.444,7.129
4320.889,7.123
4414.333,7.519
4601.222,8.399
4975,9.563
5442.222,8.204
5909.444,8.783
6002.889,7.019
6096.333,7.893
6189.778,8.518
6283.222,7.981
6376.667,8.101
6470.111,7.733
6563.556,7.831
6657,7.188
6712.405,8.19
6823.216,9.233
7100.243,9.426
7155.649,8.551
7211.054,7.979
7266.459,8.051
7321.865,7.399
7377.27,8.174
7432.676,6.837
7488.081,7.596
7543.486,6.773
7598.892,7.912
7654.297,7.945
7737.43,8.76
7774.383,9.09
7811.336,9.465
7848.289,9.005
8033.055,9.821
8217.82,9.298
8365.633,9.636
8587.352,9.768
8735.164,9.421
8882.977,9.36
8919.93,9.534
8956.883,10.037
9104.695,10.388
9326.414,10.072
9511.18,10.178
9695.945,10.298
9843.758,10.247
10057.815,10.253
10165.969,10.169
10252.492,10.212
10360.646,9.91
10468.8,9.903
10576.954,10.232
10685.108,9.931
10766.67,9.864
10808.346,10.374
10850.022,9.661
10891.697,9.416
10933.373,9.254
10950.043,8.177
10965.88,8.393
10975.049,9.105
10983.384,8.949
10991.719,9.402
11050.065,9.226
11058.4,8.881
11066.735,8.425
11075.07,8.996
11083.405,9.124
11100.076,9.292
11108.411,9.386
11141.751,9.226
11150.086,8.958
11158.422,8.516
11175.092,5.334
11200.097,7.5
11216.768,7.16
11225.103,7.249
11241.773,6.967
11266.778,6.648
11308.454,6.038
11337.627,4.09
11358.465,4.294
11366.8,3.84
11375.135,2.134
11383.47,2.851
11391.805,3.065
11395.973,3.056
11408.476,4.948
11425.146,2.313
11433.481,3.307
11441.816,4.215
11445.984,3.52
11458.486,4.325
11475.157,5.524
11479.324,5.666
11491.827,5.685
11500.162,5.483
11508.497,4.813
11516.832,5.196
11547.229,7.356
11586.571,7.659
11612.8,5.69
11639.029,5.942
11665.257,6.179
11691.486,4.849
11717.714,4.797
11743.943,4.914
11796.4,3.731
11809.514,4.545
11901.314,3.857
12014.983,5.092
12041.22,3.26
12058.712,3.482
12111.186,4.099
12233.627,3.193
12238,3.371
12256.72,2.606
12269.199,3.672
12281.679,2.833
12294.159,4.517
12306.638,3.852
12331.598,5.518
12344.077,6.14
12356.557,5.889
12369.037,6.489
12381.516,4.848
12393.996,5.873
12406.476,6.047
12418.955,5.542
12431.435,4.796
12443.915,3.792
12456.394,3.847
12468.874,1.837
12481.354,4.242
12493.833,3.957
12518.793,3.8
12568.711,2.219
12618.63,3.25
12668.549,2.752
12730.947,3.828
12918.142,3.041
13354.931,4.443
