age (BP),temperature (degC),d18O (permil)
1580,6.6,2.77
1638,6.7,2.76
1703,7.4,2.58
1761,6.8,2.73
1822,7,2.68
1853,7.4,2.57
1865,7.1,2.65
1869,8.2,2.37
1872,7.6,2.52
1874,6.9,2.7
1877,7,2.68
1879,6.4,2.83
1880,6.4,2.82
1882,6.4,2.81
1883,6.7,2.74
1886,5.9,2.95
1894,6.2,2.87
1909,6.2,2.88
1913,6.6,2.79
1917,6.9,2.7
1926,6.6,2.79
1928,7,2.68
1930,6.5,2.8
1941,7,2.68
2020,7,2.67
2264,7.5,2.56
2507,6.9,2.69
2739,7.5,2.54
2982,7.5,2.54
3226,8,2.42
3469,8.5,2.3
3725,8.2,2.38
3835,8.7,2.25
4078,7.9,2.44
4200,7.8,2.47
4444,7.6,2.53
4566,9.1,2.15
4809,8.1,2.39
4962,8.9,2.21
5245,8.9,2.21
5542,9.2,2.12
5720,10.6,1.77
5809,8.8,2.23
5854,10.8,1.74
5928,8.9,2.19
6018,9.3,2.1
6137,9,2.17
6449,8.5,2.29
6523,9.2,2.12
6731,10.1,1.9
6820,9.5,2.05
6910,9.8,1.97
7029,9,2.19
7313,9,2.18
7333,9.5,2.06
7353,9.6,2.03
7474,9.7,2.01
7515,9.5,2.06
7547,8.9,2.2
7597,9.1,2.15
7605,8.6,2.29
7615,8.5,2.31
7624,8.6,2.28
7660,8.5,2.3
7802,9.5,2.06
7891,10.2,1.88
