year (AD),age (BP),F_ (ppb),Na_ (ppb),Ca__ (ppb),K_ (ppb),Cl_ (ppb),NO3_ (ppb),NH4_ (ppb),Mg__ (ppb),SO4__ (ppb)
1950,0,5.6,127.5,71,85.8,81.6,316.8,76.4,7.4,111.1
1900,50,5.2,88.3,33.7,39.2,89.1,300.7,47.4,4.4,56.8
1850,100,5.5,112.1,26.3,30.7,100.6,269.5,82.1,2.8,25
1800,150,6.5,81.2,29.9,16.2,53.4,119.9,45.3,3.3,31.6
1750,200,7.5,83.6,35.8,17.4,59.3,155.1,55.5,4.2,52.3
1700,250,4.2,97.3,24.5,21.9,80.6,205.6,68.6,2.9,39.8
1650,300,3.3,104.2,25.6,18.1,114.2,253.3,82.4,3,40.2
1600,350,1.5,47.4,18.8,15.5,57.6,180.4,47.6,2.5,40.9
1550,400,4,81.1,20,16.5,120.6,309.7,96,2.7,48.4
1500,450,1.9,49.5,14.1,12.9,77.3,240.5,69.1,1.6,49.4
1450,500,1.7,71.7,27.1,21.3,86.8,314,76.4,2.3,46.7
1400,550,1.5,44.4,27.1,13.9,48.7,197.9,49.3,2.2,35.3
1350,600,0.8,21.7,9.6,11.5,17.2,43.9,16.4,1.6,10.8
1300,650,3.3,147.3,59.6,70.8,93.1,426.7,81,11.8,167.4
1250,700,1.6,94.9,30.7,14.3,95.7,262.9,78.5,3.6,67.7
1200,750,1.5,66.9,24.1,8.9,70.9,250.8,66.2,2.5,54.8
1150,800,2.4,97.4,43.7,27.5,101.7,377.6,79.4,6.5,119.9
1100,850,4.2,102.3,44,36.8,119.6,352.5,96.9,6.6,83.8
1050,900,3.9,41.8,16.9,11.3,55.2,132.9,44,1.5,27.3
1000,950,3.3,49.4,21.9,18.9,62.6,208.1,56.3,2.3,38.6
950,1000,3.1,70.4,37.8,18.7,58,181.6,45.8,5.2,64.2
900,1050,3.7,58.3,45.6,28.6,51,254.9,39.8,6.7,139.8
850,1100,3.2,83.8,35.1,22.9,63.7,204.7,48,5.3,88.4
800,1150,2,64.7,36,33.9,48.8,191.1,53.7,7.5,61.9
750,1200,4,124.5,87.7,63.8,104.1,512.8,85.8,8.8,240.2
700,1250,2.2,91.7,50.8,33.2,86.8,346,70.8,4.7,141.7
650,1300,2.2,47.3,20.7,12.9,68.3,187.5,62.1,2.1,45.1
600,1350,2,56.3,25.2,17.5,57.4,218.9,51.4,3.9,64.3
550,1400,1.9,34.1,20.4,12.6,56.4,182.4,56.5,2.5,32.1
500,1450,2.1,35.3,26.8,17.7,33.9,178.8,40.6,4.8,72
450,1500,2.2,40.8,42.6,21.3,48.4,210.6,55.9,6.3,97.6
400,1550,4.3,33,32.2,17,73.1,316.5,51.7,4.9,152.1
350,1600,3.9,43.8,31.7,20.7,60.4,278.4,49.7,5,120.9
300,1650,3.9,43.7,47.1,21.6,53,279.5,67,7.1,136.1
250,1700,2.7,60.3,37.8,28.6,55.2,264.3,56,5.9,110.4
200,1750,3,66.8,50.7,45.4,55.1,330.9,54.5,8.8,176.4
150,1800,3.1,58.3,52.4,43.5,45.6,294,40.5,10.7,168.6
100,1850,12.3,143.7,104.3,49.6,74.2,396.3,59.8,8.6,171
50,1900,12.2,234.9,208.9,134.2,64.3,670.6,47.5,38.3,608.6
0,1950,12.9,270.6,191.3,114.2,152,855.3,109.5,17.2,548.5
-50,2000,10,239.4,133.6,85.8,189.9,757,152.6,17,350.4
-100,2050,7.2,213.2,135.8,84.7,143.9,660.5,125.9,18.9,356.6
-150,2100,5.6,161.7,92,64.5,108.2,570.5,85.9,10.1,216.1
-200,2150,10.2,140.5,134.9,77,125.3,571,116.1,17.2,520.9
-250,2200,4,119,91.4,53.6,112.1,442.4,88.1,10,236.2
-300,2250,3.4,79.4,41.3,62.4,48.7,374.3,58.6,17.1,438.4
-350,2300,3,52.8,25.2,16.5,76.9,278.5,82,2.5,65.2
-400,2350,3.1,95.9,58.7,36.6,95.2,437,108.5,7.2,253.1
-450,2400,2.2,61.1,26.2,20.3,79.7,351.3,86.7,3.7,77.4
-500,2450,1.4,57.1,42,26.3,76.2,298.4,64.6,4,112.5
-550,2500,3.2,155.1,147,53.6,180.2,617.2,141.1,8.8,403.6
-600,2550,1.8,83.6,44.2,30.6,73.6,282.7,60.1,4.2,114.5
-650,2600,1.4,58.5,22.5,23.4,48.8,232.5,58.3,2.2,52.2
-700,2650,1.5,66.6,30.7,23.5,79.3,297.9,71.3,3.4,60
-750,2700,1.3,47.9,21.7,20.6,66.4,232,57.7,2.5,54.4
-800,2750,1,39,15.9,12.4,62.5,168.7,43.5,1.5,32.4
-850,2800,0.9,51,19.9,20.5,55.4,221.1,43.7,2.3,44.4
-900,2850,1.1,90.8,34.9,32.1,95.6,381.5,68.6,3.2,89.4
-950,2900,2.5,146.9,52,65.5,117.8,648.6,106.7,11.5,239.6
-1000,2950,1.6,144.5,41.7,39.9,117,498.2,102.7,5.7,132.9
-1050,3000,1.5,128.9,51.9,45.8,112.5,556.7,78,4.3,143.3
-1100,3050,1.7,66.7,26.9,30.6,41.5,284.7,36.9,3.5,103.3
-1150,3100,1.3,55,23.5,25.4,49.9,301.9,44.8,2.5,87.7
-1200,3150,1.3,84.9,26.1,24.1,100.8,352,80.7,3.3,73.2
-1250,3200,1.3,72.4,26,25.8,85.2,300.3,67.3,3.2,69.7
-1300,3250,1.6,59.7,38.7,21.6,56.9,264.7,43.9,4.1,106.2
-1350,3300,1.3,54.4,22.9,16,70,196.7,54,2.5,51.1
-1400,3350,1.4,63,24.1,21.3,58.3,231.6,45.6,3.8,59.6
-1450,3400,4,143,157.1,85.9,132.4,591.8,107.2,17.8,343.3
-1500,3450,2.1,114.4,65,45.8,93.6,426.3,80.9,6.4,138.8
-1550,3500,2.6,127.1,137.9,58.4,84.5,460.3,59.8,13.3,357.5
-1600,3550,3.6,142.6,158.2,84.7,124.8,624.7,93.6,28.7,498.6
-1650,3600,5.5,157.1,145.6,99,155.2,754,133.7,36.5,666.3
-1700,3650,5.2,138.6,56.2,62.7,158.6,444.5,105.1,5.9,91.6
-1750,3700,12.7,185,66.9,83.6,157.7,409.1,104.8,8.8,139.5
-1800,3750,7.9,119.6,39.4,49,110.6,291.1,83.9,6.1,100.5
-1850,3800,8,174.4,52.6,66.3,145,432.2,96.5,6.8,120.6
-1900,3850,23.6,293,76,93.9,99.7,382.4,73.9,7.8,213.8
-1950,3900,20.3,86.5,36.9,34.8,65.3,222,64.2,3.9,41.8
-2000,3950,394.3,3515.9,662.9,1049.6,785.5,226.9,241.5,88.8,2773
-2050,4000,24.7,282.9,232.5,105.3,122.9,557.9,110.5,15.9,546.4
-2100,4050,6.8,141.3,99.3,52.9,78.9,372.1,76.8,10.7,246
-2150,4100,8.1,118,22.4,38.3,101.5,283.8,94.1,5.1,50.1
-2200,4150,12.6,132.4,36.3,37.4,96,436.7,102.4,4.9,91.9
-2250,4200,9.3,78.5,40,24.2,62.9,304.5,78.9,4.1,71
-2300,4250,7,16.9,11.6,6.4,17.2,80.6,41.6,1.4,8.9
-2350,4300,22.9,51.9,19.1,21,53.3,150.1,67.6,2,17.9
-2400,4350,9.2,52.8,25.3,27,59,209.3,60.5,2.4,17.1
-2450,4400,8,93.1,36.2,31.2,98.9,319.6,79.6,4,42.6
-2500,4450,4.7,65.9,30.4,23.3,98.8,254.1,86.2,2.8,36
-2550,4500,8.7,26.5,16.5,11.5,22.4,34.2,37.5,2.7,13.2
-2600,4550,4.6,13.4,10.8,7.4,27.7,33.1,30.9,1.6,7.2
-2650,4600,6.6,18,16.1,7.5,52.1,109.2,58.5,2,12.3
-2700,4650,27.6,66.2,32.4,20.7,79.7,230.2,69.2,3.6,33.6
-2750,4700,31.3,46.3,23.1,17.4,59.7,159.3,69.8,2.8,19.3
-2800,4750,30.5,37.2,26.7,19.7,47.5,101.4,70.6,2.9,27.2
-2850,4800,26,61.8,37.1,33.4,64.9,131.9,79.7,4.1,56.4
-2900,4850,10.7,29.7,23,10.4,51.7,135.6,66.7,2.3,25.3
-2950,4900,23.5,44.1,35.1,15.9,68,125.5,82.4,4.2,40.8
-3000,4950,10.4,51.9,29.7,15.9,78.8,107.3,67.5,3.5,29.6
-3050,5000,59.2,93.4,37.7,18,86.7,201.6,76.3,3.7,50.7
-3100,5050,16.6,60.8,35.9,19,72.2,141.3,87.1,3.7,26.6
-3150,5100,9,44.9,33.5,15.4,65.4,129,61.9,3.4,35.6
-3200,5150,7.5,51.9,39.5,18.3,42.6,118.9,46.5,3.6,45.3
-3250,5200,13.9,29.8,19.6,12.1,19.2,76,39.7,2.3,13.5
-3300,5250,30,54.5,27,20.8,30.7,124.2,58.3,2.8,31.9
-3350,5300,145,204.8,42.5,55.9,58.4,285.2,71.4,3.9,55.4
-3400,5350,300,344.4,46.6,62.9,70.2,268.4,68.2,4.9,89
-3450,5400,32.4,113.7,32.1,42.9,36.9,197.9,46.5,2.9,35.5
-3500,5450,65.7,156.1,61.9,56.3,61.5,203.1,63.2,5.6,112.8
-3550,5500,49.3,174.6,66.7,69.3,61.2,326,54.8,6.3,133.2
-3600,5550,125.8,412.5,102.7,118.5,123.1,655,76.7,7.6,228.6
-3650,5600,130.6,216.5,124.6,61.5,58.7,341.7,81.3,9.8,262.1
-3700,5650,303.2,389.9,109.6,161.4,84.7,340,79.4,10.1,274.7
-3750,5700,8.5,52.1,25.3,24.4,44,145.2,50.1,2.8,34.6
-3800,5750,180.9,377,71.4,66.9,105.7,297.8,52.8,6,127.1
-3850,5800,37.4,87,37.6,22,40.3,132.1,38.5,3.1,48.4
-3900,5850,4.6,61,56.5,26.1,72.2,241.2,69.7,6.4,120.9
-3950,5900,5.2,26,27.4,10.9,48.8,215.2,83.2,2.9,39
-4000,5950,9,37.7,46.3,17.1,51.2,223.1,80.6,4.4,70.1
-4050,6000,4.9,18.8,15,6.6,9.5,39.1,21.3,1.2,8.2
-4100,6050,8.3,38.8,32.4,20.1,16.2,89.3,32.9,2.5,14.9
-4150,6100,10,190.4,52.7,39.4,67.7,238.7,33.1,5.3,101
-4200,6150,8.2,124.9,221.3,57.2,38.2,164.4,77.2,8.5,56.8
-4250,6200,14.6,73.8,19.8,28.2,127.8,770.9,21.9,3.3,945.5
