depth (cm),age (BP),age (BP),temperature (degC),nonReliabletemperature (degC),OriginalSampleID (missing),ageMin (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
13,-12,299,NA,NA,#1-13,-61,17.676,14.839,N
34,164,469,NA,NA,#1-34,-59,19.01,16.037,N
54,343,560,NA,NA,#1-54,12,18.613,15.772,N
70,470,596,NA,NA,#1-70,143,17.131,14.424,N
88,546,810,NA,NA,#1-90,442,17.061,14.318,N
102,641,1175,15.992,NA,#1-104,464,17.351,14.634,Y
113,757,1342,16.746,NA,#1-115,481,18.312,15.181,Y
124,884,1461,15.841,NA,#1-126,505,17.409,14.273,Y
136,1025,1571,14.587,NA,#1-145,541,15.932,13.242,Y
145,1132,1665,15.477,NA,#1-154,601,16.88,14.073,Y
155,1251,1715,16.33,NA,#1-165,706,17.852,14.808,Y
164,1356,1727,16.994,NA,#1-174,784,18.395,15.592,Y
170,1425,1732,17.376,NA,#1-180,840,18.862,15.889,Y
185,1591,1744,16.383,NA,#1-195,1013,17.856,14.911,Y
195,1684,1766,17.534,NA,#1-205,1189,19.072,15.996,Y
208,1726,2336,17.051,NA,#2-39,1587,18.492,15.609,Y
223,2024,3822,17.262,NA,#2-54,1681,18.666,15.857,Y
233,2331,4337,18.234,NA,#2-64,1695,19.723,16.745,Y
244,2694,4850,18.072,NA,#2-75,1702,19.577,16.567,Y
254,3030,5279,17.868,NA,#2-85,1708,19.349,16.387,Y
263,3340,5591,18.08,NA,#2-94,1722,19.558,16.601,Y
271,3613,5860,16.748,NA,#2-119,1754,18.278,15.218,Y
281,3958,6263,18.32,NA,#2-129,1894,19.806,16.833,Y
287,4167,6465,17.054,NA,#2-135,2004,18.471,15.636,Y
296,4473,6770,17.584,NA,#2-144,2218,19.114,16.053,Y
302,4679,6991,17.693,NA,#2-150,2377,19.141,16.245,Y
311,4988,7215,16.18,NA,#2-159,2659,17.624,14.735,Y
317,5196,7350,18.086,NA,#2-165,2888,19.587,16.586,Y
324,5435,7477,15.334,NA,#2-172,3135,16.742,13.926,Y
331,5676,7569,17.262,NA,#2-179,3385,18.789,15.734,Y
337,5879,7626,16.069,NA,#2-185,3570,17.52,14.619,Y
341,6016,7659,16.646,NA,#2-189,3722,18.084,15.207,Y
349,6292,7717,16.517,NA,#2-197,4009,17.951,15.083,Y
356,6528,7751,17.352,NA,#2-204,4304,18.875,15.829,Y
367,6894,7799,16.256,NA,#4-39,4800,17.756,14.755,Y
373,7087,7827,15.491,NA,#4-45,5119,16.915,14.067,Y
378,7239,7849,15.68,NA,#4-50,5403,17.106,14.255,Y
384,7403,7871,14.618,NA,#4-56,5803,16.071,13.165,Y
389,7506,7886,14.892,NA,#4-61,6209,16.296,13.488,Y
395,7591,7905,15.54,NA,#4-67,6857,16.966,14.113,Y
400,7652,7917,16.07,NA,#4-72,7404,17.521,14.62,Y
401,7663,8064,14.718,NA,#5-47,7383,16.128,13.307,Y
405,7715,8529,14.604,NA,#5-51,7395,16.047,13.16,Y
410,7805,8859,14.428,NA,#5-56,7428,15.848,13.007,Y
414,7903,9029,17.245,NA,#5-60,7456,18.717,15.773,Y
419,8062,9182,14.796,NA,#5-65,7498,16.221,13.371,Y
425,8273,9318,15.086,NA,#5-71,7557,16.476,13.695,Y
430,8454,9402,14.351,NA,#5-76,7603,15.792,12.91,Y
434,8603,9455,13.815,NA,#5-80,7653,15.238,12.392,Y
440,8820,9528,14.142,NA,#5-86,7756,15.54,12.744,Y
445,8992,9584,16.058,NA,#5-91,7866,17.561,14.555,Y
456,9285,9681,15.126,NA,#5-102,8301,16.512,13.74,Y
465,9420,9665,15.028,NA,#5-111,9177,16.404,13.653,Y
473,9531,10659,14.206,NA,#5-130,9125,15.684,12.727,Y
480,9669,11219,13.957,NA,#5-137,9154,15.352,12.562,Y
485,9802,11523,14.726,NA,#5-142,9176,16.176,13.275,Y
493,10052,11940,13.88,NA,#5-150,9216,15.246,12.513,Y
501,10319,12305,13.272,NA,#5-158,9261,14.646,11.897,Y
509,10595,12622,12.561,NA,#5-166,9318,13.964,11.158,Y
519,10937,12933,14.66,NA,#5-176,9400,16.082,13.237,Y
533,11426,13394,14.308,NA,#5-190,9589,15.808,12.809,Y
544,11810,13725,12.523,NA,#5-201,9858,13.902,11.143,Y
556,12230,13957,13.252,NA,#5-213,10235,14.731,11.773,Y
566,12576,14078,14.276,NA,#6-153,10544,15.798,12.753,Y
577,12958,14188,13.065,NA,#6-171,10924,14.45,11.679,Y
587,13292,14259,14.029,NA,#6-181,11344,15.42,12.637,Y
598,13636,14335,14.494,NA,#6-192,11904,15.966,13.021,Y
621,14093,14939,16.341,NA,#7-139,13653,17.91,14.773,Y
