depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
186.5,Carbon-14,112705,80,1920,gyttja,NA
287.5,Carbon-14,112706,80,2820,gyttja,NA
352.5,Carbon-14,112707,70,3270,gyttja,NA
481,Carbon-14,112708,80,4880,gyttja,NA
582.5,Carbon-14,112709,70,5560,gyttja,NA
634,Carbon-14,112710,90,6140,gyttja,NA
722.5,Carbon-14,112711,80,7220,gyttja,NA
854,Carbon-14,112712,100,8320,gyttja,NA
922.5,Carbon-14,112713,90,8560,gyttja,NA
1053.5,Carbon-14,112714,100,9640,gyttja,NA
1126,Carbon-14,112715,100,9840,gyttja,NA
1181,Carbon-14,112716,110,12460,gyttja,NA
1279,Carbon-14,112717,150,13490,gyttja,NA
