year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],temperature (degC) [1-1],core (missing) [1-1],Uk37 (missing) [1-1],notes (missing) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],temperature (degC) [2-1],core (missing) [2-1],Uk37 (missing) [2-1],notes (missing) [2-1]
2001,-51,0,14.76,PO287-26B,0.53,NA,2001,-51,0,15.43,PO287-26G,0.55,NA
2001,-51,0,15.43,PO287-26G,0.55,NA,2000,-50,1,14.76,PO287-26G,0.55,NA
2000,-50,1,15.39,PO287-26G,0.55,NA,1998,-48,2,14.76,PO287-26G,0.57,NA
1998,-48,2,16.06,PO287-26G,0.57,NA,1997,-47,3,15.39,PO287-26G,0.57,NA
1997,-47,3,15.97,PO287-26G,0.57,NA,1996,-46,4,16.06,PO287-26G,0.57,NA
1997,-47,1.7,17.18,PO287-26B,0.61,NA,1994,-44,5,15.97,PO287-26G,0.57,NA
1996,-46,4,15.92,PO287-26G,0.57,NA,1993,-43,6,17.18,PO287-26G,0.51,NA
1994,-44,3.4,14.06,PO287-26B,0.51,NA,1989,-39,7,17.18,PO287-26G,0.52,NA
1994,-44,5,15.96,PO287-26G,0.57,NA,1985,-35,8,15.92,PO287-26G,0.53,NA
1993,-43,6,14.25,PO287-26G,0.51,NA,1981,-31,9,15.96,PO287-26G,0.56,NA
1990,-40,5.2,13.93,PO287-26B,0.5,NA,1977,-27,10,14.06,PO287-26G,0.58,NA
1989,-39,7,14.41,PO287-26G,0.52,NA,1973,-23,11,14.06,PO287-26G,0.59,NA
1986,-36,6.9,14.67,PO287-26B,0.53,NA,1969,-19,12,14.25,PO287-26G,0.56,NA
1985,-35,8,14.84,PO287-26G,0.53,NA,1966,-16,13,13.93,PO287-26G,0.58,NA
1983,-33,8.6,15.45,PO287-26B,0.55,NA,1962,-12,14,13.93,PO287-26G,0.56,NA
1981,-31,9,15.64,PO287-26G,0.56,NA,1958,-8,15,14.41,PO287-26G,0.59,NA
1979,-29,10.3,16.82,PO287-26B,0.6,NA,1954,-4,16,14.67,PO287-26G,0.59,NA
1977,-27,10,16.12,PO287-26G,0.58,NA,1950,0,17,14.67,PO287-26G,0.56,NA
1975,-25,12,16.03,PO287-26B,0.57,NA,1944,6,18,14.84,PO287-26G,0.54,NA
1973,-23,11,16.66,PO287-26G,0.59,NA,1934,16,21,15.45,PO287-26G,0.54,NA
1972,-22,13.8,16.46,PO287-26B,0.59,NA,1926,24,23,15.45,PO287-26G,0.55,NA
1969,-19,12,15.61,PO287-26G,0.56,NA,1919,31,25,15.64,PO287-26G,0.56,NA
1968,-18,15.5,15.76,PO287-26B,0.56,NA,1911,39,27,16.82,PO287-26G,0.56,NA
1966,-16,13,16.34,PO287-26G,0.58,NA,1903,47,29,16.82,PO287-26G,0.55,NA
