depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],depth (cm) [2-1],age (BP) [2-1],d18O (permil) [2-1]
7,554,9,1,446,1.55
10,608,6.9,5,518,1.81
11,626,8.2,6,536,1.6
17,734,8.1,7,554,1.58
19,769,6.6,9,590,1.69
31,985,6.6,11,626,1.58
33,1043,8.2,13,662,1.73
37,1159,7.7,15,698,1.48
39,1217,8.2,17,734,1.5
47,1450,10.7,19,769,1.57
49,1508,9,21,805,1.54
51,1566,10.7,25,877,1.36
53,1624,6,27,913,1.8
57,1740,7.5,29,949,1.79
59,1798,7.7,31,985,1.61
67,2199,7.6,33,1043,1.52
69,2300,8.1,35,1101,1.81
71,2400,8.2,35,1101,1.72
73,2500,8.2,36,1130,1.44
77,2701,8.6,37,1159,1.52
79,2801,9.9,41,1275,1.24
87,3203,9.3,45,1392,1.54
89,3303,7.3,49,1508,1.48
91,3403,9.2,51,1566,1.53
93,3504,7,55,1682,1.56
97,3670,6.6,57,1740,1.5
99,3735,8.5,59,1798,1.66
103,3867,8.8,61,1898,1.54
107,3998,8.8,64,2049,1.81
109,4064,10.7,65,2099,1.73
111,4130,10,66,2149,1.7
113,4195,8.1,67,2199,1.55
115,4261,10.6,69,2300,1.65
119,4393,8.9,75,2601,1.54
123,4524,9.3,77,2701,1.51
127,4679,8.4,79,2801,1.58
129,4757,8.8,81,2902,1.26
131,4834,8.7,85,3102,1.27
133,4912,9.6,87,3203,1.45
137,5067,9.2,89,3303,1.67
139,5144,8.7,91,3403,1.59
145,5377,9.6,93,3504,1.7
147,5455,7.4,95,3604,1.77
149,5532,8.4,95,3604,1.65
151,5610,9.2,96,3637,1.68
153,5687,7.4,97,3670,1.61
155,5765,9,97,3670,1.71
157,5842,8.2,99,3735,1.52
159,5920,8.2,101,3801,1.49
163,6075,9.1,103,3867,1.56
165,6155,8.8,105,3933,1.5
167,6234,9.2,107,3998,1.64
169,6314,8.5,109,4064,1.83
173,6473,8,109,4064,1.59
175,6553,8.1,111,4130,1.55
177,6633,8.5,113,4195,1.64
179,6713,7.9,115,4261,1.32
183,6872,8.4,117,4327,1.64
185,6952,8.7,119,4393,1.64
187,7031,7.5,121,4458,1.57
189,7111,7.2,123,4524,1.68
193,7270,8,125,4602,1.43
195,7350,7.2,127,4679,1.59
199,7451,6.6,129,4757,1.6
203,7553,8.8,133,4912,1.61
207,7654,8.6,135,4989,1.65
211,7756,8.1,135,4989,1.73
213,7806,8.1,136,5028,1.72
215,7857,7.5,139,5144,1.57
217,7938,7.5,141,5222,1.64
219,8018,6.7,145,5377,1.31
223,8179,6,147,5455,1.54
225,8260,5.6,149,5532,1.58
227,8340,6.6,151,5610,1.63
229,8421,7.9,155,5765,1.64
231,8502,7.5,156,5804,1.6
233,8582,7.4,157,5842,1.58
235,8663,7.6,159,5920,1.6
237,8743,6.8,163,6075,1.57
239,8824,7.7,165,6155,1.63
243,8985,8.2,166,6195,1.48
245,9066,7.6,167,6234,1.54
247,9146,6.8,171,6394,1.53
249,9227,6,173,6473,1.52
251,9307,5.9,175,6553,1.44
253,9388,6.3,175,6553,1.4
255,9468,7.3,177,6633,1.45
257,9547,5.9,179,6713,1.44
259,9627,6.6,183,6872,1.5
263,9786,8,185,6952,1.29
267,9945,6.1,187,7031,1.47
269,10025,7.3,189,7111,1.57
273,10184,7,191,7191,1.63
277,10343,7,193,7270,1.34
279,10423,7.4,195,7350,1.61
NA,NA,NA,196,7375,1.34
NA,NA,NA,197,7401,1.44
NA,NA,NA,199,7451,1.66
NA,NA,NA,203,7553,1.43
NA,NA,NA,205,7604,1.68
NA,NA,NA,207,7654,1.51
NA,NA,NA,209,7705,1.53
NA,NA,NA,211,7756,1.34
NA,NA,NA,213,7806,1.21
NA,NA,NA,215,7857,1.49
NA,NA,NA,217,7938,1.53
NA,NA,NA,219,8018,1.52
NA,NA,NA,223,8179,1.58
NA,NA,NA,225,8260,1.43
NA,NA,NA,226,8300,1.47
NA,NA,NA,227,8340,1.56
NA,NA,NA,229,8421,1.5
NA,NA,NA,231,8502,1.47
NA,NA,NA,233,8582,1.58
NA,NA,NA,235,8663,1.72
NA,NA,NA,237,8743,1.63
NA,NA,NA,239,8824,1.52
NA,NA,NA,243,8985,1.59
NA,NA,NA,245,9066,1.61
NA,NA,NA,247,9146,1.6
NA,NA,NA,249,9227,1.56
NA,NA,NA,251,9307,1.57
NA,NA,NA,253,9388,1.57
NA,NA,NA,253.5,9408,1.84
NA,NA,NA,255,9468,1.65
NA,NA,NA,256,9508,1.69
NA,NA,NA,257,9547,1.61
NA,NA,NA,259,9627,1.63
NA,NA,NA,263,9786,1.72
NA,NA,NA,265,9866,1.78
NA,NA,NA,267,9945,1.8
NA,NA,NA,269,10025,1.71
NA,NA,NA,271,10105,1.7
NA,NA,NA,273,10184,1.95
NA,NA,NA,273.5,10204,2.01
NA,NA,NA,275,10264,1.68
NA,NA,NA,279,10423,1.68
NA,NA,NA,283.5,10602,1.65
NA,NA,NA,285,10662,1.78
NA,NA,NA,291,10901,1.77
NA,NA,NA,293.5,11000,2.16
NA,NA,NA,296,11100,1.66
