year (AD),age (BP),MTWM (degC)
1950,0,22.4
1900,50,22.415
1850,100,21.856
1800,150,22.11
1750,200,21.95
1700,250,21.595
1650,300,21.588
1600,350,21.747
1550,400,22.118
1500,450,21.968
1450,500,21.913
1400,550,21.968
1350,600,21.971
1300,650,21.869
1250,700,21.681
1200,750,21.493
1150,800,21.38
1100,850,21.462
1050,900,21.639
1000,950,21.853
950,1000,21.942
900,1050,21.875
850,1100,21.808
800,1150,21.821
750,1200,21.931
700,1250,22.041
650,1300,22.104
600,1350,22.114
550,1400,22.124
500,1450,22.104
450,1500,22.051
400,1550,21.999
350,1600,22.004
300,1650,22.071
250,1700,22.137
200,1750,22.153
150,1800,22.114
100,1850,22.076
50,1900,22.076
0,1950,22.114
-50,2000,22.153
-100,2050,22.145
-150,2100,22.092
-200,2150,22.04
-250,2200,22.069
-300,2250,22.174
-350,2300,22.279
-400,2350,22.18
-450,2400,21.898
-500,2450,21.616
-550,2500,21.588
-600,2550,21.779
-650,2600,21.97
-700,2650,21.869
-750,2700,21.525
-800,2750,21.181
-850,2800,21.196
-900,2850,21.497
-950,2900,21.785
-1000,2950,22.026
-1050,3000,22.173
-1100,3050,22.251
-1150,3100,21.273
-1200,3150,20.647
-1250,3200,21.26
-1300,3250,21.657
-1350,3300,21.916
-1400,3350,21.493
-1450,3400,21.299
-1500,3450,21.73
-1550,3500,21.89
-1600,3550,21.897
-1650,3600,21.905
-1700,3650,21.912
-1750,3700,21.905
-1800,3750,21.891
-1850,3800,21.877
-1900,3850,21.863
-1950,3900,21.859
-2000,3950,21.863
-2050,4000,21.866
-2100,4050,21.87
-2150,4100,21.82
-2200,4150,21.733
-2250,4200,21.647
-2300,4250,21.561
-2350,4300,21.475
-2400,4350,21.389
-2450,4400,21.303
-2500,4450,21.217
-2550,4500,21.13
-2600,4550,21.044
-2650,4600,20.958
-2700,4650,20.872
-2750,4700,20.786
-2800,4750,20.7
-2850,4800,20.613
-2900,4850,20.527
-2950,4900,20.441
-3000,4950,20.355
-3050,5000,20.269
-3100,5050,20.183
-3150,5100,20.055
-3200,5150,19.891
-3250,5200,19.727
-3300,5250,19.564
-3350,5300,19.529
-3400,5350,19.611
-3450,5400,19.692
-3500,5450,19.774
-3550,5500,19.814
-3600,5550,19.814
-3650,5600,19.814
-3700,5650,19.814
-3750,5700,19.942
-3800,5750,20.199
-3850,5800,20.455
-3900,5850,20.711
-3950,5900,20.922
-4000,5950,21.085
-4050,6000,21.249
-4100,6050,21.348
-4150,6100,21.405
-4200,6150,21.549
-4250,6200,21.707
-4300,6250,21.821
-4350,6300,21.934
-4400,6350,22.047
-4450,6400,21.706
-4500,6450,20.97
-4550,6500,21.018
-4600,6550,21.302
-4650,6600,21.836
-4700,6650,22.143
-4750,6700,21.722
-4800,6750,21.431
-4850,6800,21.286
-4900,6850,21.311
-4950,6900,21.409
-5000,6950,21.49
-5050,7000,21.54
-5100,7050,21.443
-5150,7100,21.418
-5200,7150,21.496
-5250,7200,21.574
-5300,7250,21.651
-5350,7300,21.581
-5400,7350,21.555
-5450,7400,21.769
-5500,7450,21.763
-5550,7500,21.491
-5600,7550,21.235
-5650,7600,20.984
-5700,7650,20.733
-5750,7700,20.624
-5800,7750,20.962
-5850,7800,20.9
-5900,7850,20.448
-5950,7900,19.996
-6000,7950,19.602
-6050,8000,21.075
-6100,8050,22.242
-6150,8100,22.678
-6200,8150,22.803
-6250,8200,22.679
-6300,8250,22.118
-6350,8300,21.524
-6400,8350,21.648
-6450,8400,21.396
-6500,8450,20.434
-6550,8500,20.482
-6600,8550,21.181
-6650,8600,20.811
-6700,8650,20.229
-6750,8700,20.229
-6800,8750,20.263
-6850,8800,20.443
-6900,8850,20.697
-6950,8900,21.073
-7000,8950,21.105
-7050,9000,20.854
-7100,9050,20.448
-7150,9100,19.985
-7200,9150,19.95
-7250,9200,20.034
-7300,9250,20.89
-7350,9300,21.355
-7400,9350,20.767
-7450,9400,20.771
-7500,9450,21.501
-7550,9500,21.643
-7600,9550,21.439
-7650,9600,21.731
-7700,9650,22.139
-7750,9700,22.384
-7800,9750,22.598
-7850,9800,22.668
-7900,9850,22.736
-7950,9900,22.799
-8000,9950,22.587
-8050,10000,22.132
-8100,10050,22.262
-8150,10100,22.631
-8200,10150,22.671
-8250,10200,22.671
-8300,10250,22.664
-8350,10300,22.657
-8400,10350,22.649
-8450,10400,22.644
-8500,10450,22.668
-8550,10500,22.691
-8600,10550,22.714
-8650,10600,22.737
-8700,10650,22.76
-8750,10700,22.783
-8800,10750,22.743
-8850,10800,22.694
-8900,10850,22.645
-8950,10900,22.597
-9000,10950,22.548
-9050,11000,22.5
