depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,0,13.529,-19.729,-3.963,450.143
5,54.2,12.343,-25.557,-7.354,498.143
10,108.3,13.414,-20.271,-4.138,463
15,147.7,18.171,-15.171,2.144,938.857
20,177.2,17.386,-13.543,2.751,1020.571
30,236.1,17.386,-13.543,2.751,1020.571
40,295.1,17.386,-13.543,2.751,1020.571
50,354.1,18.671,-12.629,3.781,1066
60,413,17.386,-13.543,2.751,1020.571
70,472,18.443,-13.271,3.487,1052.286
80,534.3,17.386,-13.543,2.751,1020.571
90,626.3,17.386,-13.543,2.751,1020.571
100,718.2,18.457,-14.571,2.563,962.857
110,810.2,18.443,-13.271,3.487,1052.286
120,902.2,17.386,-13.543,2.751,1020.571
130,994.1,18.443,-13.271,3.487,1052.286
140,1086.1,18.671,-12.629,3.781,1066
150,1178.1,18.6,-14.6,2.676,986.286
160,1270.1,17.386,-13.543,2.751,1020.571
170,1362,17.586,-13.471,2.907,1054.143
180,1454,18.443,-13.271,3.487,1052.286
190,1546,17.586,-13.471,2.907,1054.143
200,1638,17.386,-13.543,2.751,1020.571
210,1729.9,18.357,-15.214,2.286,958.571
220,1821.9,19.257,-11.9,4.426,1081.286
230,1913.9,17.386,-13.543,2.751,1020.571
240,2005.9,17.586,-13.471,2.907,1054.143
250,2097.8,17.586,-13.471,2.907,1054.143
260,2189.8,17.529,-13.414,2.925,1054
270,2281.8,17.529,-13.414,2.925,1054
280,2373.7,19.086,-12.557,4.158,1074.286
290,2465.7,17.586,-13.471,2.907,1054.143
300,2557.7,19.286,-11.771,4.54,1109.286
310,2649.7,19.243,-12.329,4.337,1111.143
320,2741.6,19.4,-12.086,4.479,1094.714
330,2833.6,16.814,-15.086,1.133,869.143
340,2925.6,12.743,-17.371,-2.564,604.857
350,3017.6,18.2,-12.086,3.765,1129
360,3109.5,18.271,-13.414,2.958,973.714
370,3201.5,18.9,-11.443,4.427,1122.143
380,3293.5,17.286,-12.971,2.862,1048.714
390,3385.5,9.5,-21.543,-6.59,497
400,3477.4,18.443,-13.271,3.487,1052.286
410,3569.4,18.629,-12.6,3.895,1079.857
420,3661.4,9.229,-16.229,-4.486,799.571
430,3913.5,14.9,-14.7,0.482,888
440,4165.6,17.886,-13.7,2.671,990
450,4417.7,10.714,-17.214,-3.999,774.571
460,4669.8,19.086,-12.557,4.158,1074.286
470,4921.9,9.586,-21.7,-7,454.857
480,5174,8.371,-14.886,-3.51,863.857
490,5511.3,10.271,-18.829,-4.592,621.143
500,5933.8,12.443,-18.586,-3.167,623.857
510,6356.3,11.071,-19.257,-4.363,530.571
520,6778.9,9.029,-19.086,-6.081,658.429
530,7201.4,10.714,-17.214,-3.999,774.571
540,7623.9,10.714,-17.214,-3.999,774.571
550,8046.5,9.229,-16,-4.333,773.286
560,8469,8.271,-12.014,-2.564,1010.857
570,8891.6,7.114,-21.1,-7.564,492
580,9314.1,8,-21.129,-7.461,449
590,9736.6,8.143,-16.786,-5.063,981.429
600,10159.2,8.143,-16.786,-5.063,981.429
610,10581.7,7.929,-19.414,-6.299,796.143
620,11004.2,NA,NA,NA,NA
625,11215.5,NA,NA,NA,NA
630,11426.8,NA,NA,NA,NA
634,11595.8,NA,NA,NA,NA
640,11849.3,NA,NA,NA,NA
648,12187.3,NA,NA,NA,NA
656,12525.4,NA,NA,NA,NA
