depth (cm) [1-1],age (BP) [1-1],Tanom (degC) [1-1],Panom (cm) [1-1],T-SD (degC) [1-1],T+SD (degC) [1-1],p-SD (cm) [1-1],p+SD (cm) [1-1],CoreSite (missing) [1-1],depth (cm) [2-1],age (BP) [2-1],Tanom (degC) [2-1],Panom (cm) [2-1],T-SD (degC) [2-1],T+SD (degC) [2-1],p-SD (cm) [2-1],p+SD (cm) [2-1],CoreSite (missing) [2-1],depth (cm) [3-1],age (BP) [3-1],Tanon (degC) [3-1],Panom (cm) [3-1],core (missing) [3-1],T-SD (degC) [3-1],T+SD (degC) [3-1],P-SD (cm) [3-1],P+SD (cm) [3-1]
200,10469,-1.314,-10.094,-1.674,-0.936,-14.463,-6.403,HCCM,10,408,0.119,11.269,-0.276,0.494,7.08,16.645,TM,10,408,0.119,11.269,TM,-0.276,0.494,7.08,16.645
206,10583,-1.618,-7.901,-1.997,-1.227,-12.142,-4.12,HCCM,30,1225,0.511,8.423,-0.027,1.016,3.754,14.102,TM,30,1225,0.511,8.423,TM,-0.027,1.016,3.754,14.102
220,10842,-2.855,1.097,-3.27,-2.448,-2.813,5.486,HCCM,40,1633,0.994,4.915,0.505,1.459,0.571,9.936,TM,40,1633,0.994,4.915,TM,0.505,1.459,0.571,9.936
240,11194,-1.774,-6.779,-2.183,-1.353,-11.025,-2.861,HCCM,50,2037,0.209,10.617,-0.355,0.727,5.817,16.801,TM,50,2037,0.209,10.617,TM,-0.355,0.727,5.817,16.801
250,11363,-4.866,15.781,-5.406,-4.376,10.66,22.677,HCCM,60,2417,-1.189,20.808,-1.824,-0.62,14.982,28.878,TM,60,2417,-1.189,20.808,TM,-1.824,-0.62,14.982,28.878
255,11446,-5.686,21.701,-6.22,-5.206,16.095,29.637,HCCM,75,3126,0.893,5.678,0.435,1.327,1.486,10.575,TM,75,3126,0.893,5.678,TM,0.435,1.327,1.486,10.575
NA,NA,NA,NA,NA,NA,NA,NA,NA,80,3662,0.267,10.207,-0.193,0.702,5.834,15.729,TM,80,3662,0.267,10.207,TM,-0.193,0.702,5.834,15.729
NA,NA,NA,NA,NA,NA,NA,NA,NA,85,4198,-0.185,13.558,-0.682,0.266,8.799,19.704,TM,85,4198,-0.185,13.558,TM,-0.682,0.266,8.799,19.704
NA,NA,NA,NA,NA,NA,NA,NA,NA,90,4735,0.257,10.28,-0.218,0.706,5.837,15.888,TM,90,4735,0.257,10.28,TM,-0.218,0.706,5.837,15.888
NA,NA,NA,NA,NA,NA,NA,NA,NA,120,5317,1.337,2.391,0.882,1.78,-1.726,7.008,TM,120,5317,1.337,2.391,TM,0.882,1.78,-1.726,7.008
NA,NA,NA,NA,NA,NA,NA,NA,NA,160,5533,0.47,8.743,-0.005,0.919,4.376,14.131,TM,160,5533,0.47,8.743,TM,-0.005,0.919,4.376,14.131
NA,NA,NA,NA,NA,NA,NA,NA,NA,175,6412,0.649,7.457,0.177,1.097,3.149,12.674,TM,175,6412,0.649,7.457,TM,0.177,1.097,3.149,12.674
NA,NA,NA,NA,NA,NA,NA,NA,NA,180,6705,1.994,-2.386,1.53,2.457,-6.745,1.959,TM,180,6705,1.994,-2.386,TM,1.53,2.457,-6.745,1.959
NA,NA,NA,NA,NA,NA,NA,NA,NA,185,7008,0.834,6.092,0.321,1.33,1.581,11.378,TM,185,7008,0.834,6.092,TM,0.321,1.33,1.581,11.378
NA,NA,NA,NA,NA,NA,NA,NA,NA,190,7327,-0.002,12.175,-0.574,0.53,7.18,18.609,TM,190,7327,-0.002,12.175,TM,-0.574,0.53,7.18,18.609
NA,NA,NA,NA,NA,NA,NA,NA,NA,195,7646,0.655,7.36,0.081,1.197,2.571,13.204,TM,195,7646,0.655,7.36,TM,0.081,1.197,2.571,13.204
NA,NA,NA,NA,NA,NA,NA,NA,NA,205,8283,0.58,7.975,-0.013,1.134,3.077,13.925,TM,205,8283,0.58,7.975,TM,-0.013,1.134,3.077,13.925
NA,NA,NA,NA,NA,NA,NA,NA,NA,230,8605,0.496,8.576,-0.064,1.02,3.819,14.461,TM,230,8605,0.496,8.576,TM,-0.064,1.02,3.819,14.461
NA,NA,NA,NA,NA,NA,NA,NA,NA,245,8982,0.095,11.462,-0.444,0.599,6.651,17.6,TM,245,8982,0.095,11.462,TM,-0.444,0.599,6.651,17.6
NA,NA,NA,NA,NA,NA,NA,NA,NA,248,9092,0.43,9.002,-0.068,0.902,4.488,14.635,TM,248,9092,0.43,9.002,TM,-0.068,0.902,4.488,14.635
NA,NA,NA,NA,NA,NA,NA,NA,NA,250,9166,-0.047,12.547,-0.629,0.482,7.526,19.02,TM,250,9166,-0.047,12.547,TM,-0.629,0.482,7.526,19.02
NA,NA,NA,NA,NA,NA,NA,NA,NA,253,9276,1.492,1.3,1.049,1.921,-2.784,5.74,TM,253,9276,1.492,1.3,TM,1.049,1.921,-2.784,5.74
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,10469,-1.314,-10.094,HCCM,-1.674,-0.936,-14.463,-6.403
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,10583,-1.618,-7.901,HCCM,-1.997,-1.227,-12.142,-4.12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,10842,-2.855,1.097,HCCM,-3.27,-2.448,-2.813,5.486
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,11194,-1.774,-6.779,HCCM,-2.183,-1.353,-11.025,-2.861
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,11363,-4.866,15.781,HCCM,-5.406,-4.376,10.66,22.677
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,11446,-5.686,21.701,HCCM,-6.22,-5.206,16.095,29.637
