year (AD),age (BP),depth (m),SST_LDI (degC),temperature (degC),sampleID (missing),LDI (missing),Uk37 (missing)
1923.2,26.8,0.007,17.3,20.1,434G 0 0-1.5,0.66,0.706
1870.8,79.2,0.022,18.6,20.5,434G 0 1.5-3,0.71,0.719
1818.4,131.6,0.037,17,19.6,434G 0 3-4.5,0.66,0.692
1766,184,0.052,17.5,19.6,434G 0 4.5-6,0.67,0.691
1713.6,236.4,0.068,NA,19.9,434G 0 6-7.5,NA,0.699
1661.2,288.8,0.083,18.5,20.2,434G 0 7.5-9,0.7,0.71
1608.8,341.2,0.098,15.7,19.6,434G 0 9-10.5,0.61,0.691
1556.4,393.6,0.113,20.1,19.4,434G 0 10.5-12,0.76,0.684
1504,446,0.128,19.7,19.6,434G 0 12-13.5,0.75,0.691
1399.2,550.8,0.158,21,19.8,434G 0 15-16.5,0.79,0.696
1294.4,655.6,0.188,22.3,20.2,434G 0 18-19.5,0.83,0.711
1189.6,760.4,0.217,20.9,20,434G 0 21-22.5,0.78,0.703
1084.8,865.2,0.247,21.3,20.2,434G 0 24-25.5,0.8,0.71
980,970,0.278,20.6,20.4,434G 0 27-28.5,0.78,0.718
798.4,1151.6,0.307,20.9,20.3,434G 0 30-31.5,0.78,0.715
616.8,1333.2,0.338,20.8,21,434G 0 33-34.5,0.78,0.737
435.1,1514.9,0.367,22.1,21.7,434G 1 0-1.5,0.82,0.759
253.5,1696.5,0.398,22,21.7,434G 1 3-4.5,0.82,0.76
71.9,1878.1,0.427,22.2,21.2,434G 1 6-7.5,0.83,0.745
-109.7,2059.7,0.458,21.4,20.5,434G 1 9-10.5,0.8,0.719
-291.3,2241.3,0.487,NA,20.5,434G 1 12-13.5,NA,0.72
-473,2423,0.517,21.5,21.2,434G 1 15-16.5,0.8,0.744
-654.6,2604.6,0.547,21.2,20.2,434G 1 18-19.5,0.8,0.711
-836.2,2786.2,0.578,21,21.3,434G 1 21-22.5,0.79,0.748
-1017.8,2967.8,0.608,21.5,21.1,434G 1 24-25.5,0.8,0.739
-1199.4,3149.4,0.637,21.5,22.2,434G 1 27-28.5,0.8,0.775
-1381,3331,0.667,21,21.4,434G 1 30-31.5,0.79,0.75
-1501.6,3451.6,0.698,19.6,21.4,434G 1 33-34.5,0.74,0.75
-1622.2,3572.2,0.728,21.3,21.1,434G 1 36-37.5,0.8,0.742
-1742.8,3692.8,0.757,20.3,21.8,434G 1 39-40.5,0.76,0.765
-1863.4,3813.4,0.787,20.5,21.3,434G 1 42-43.5,0.77,0.747
