age (Calibrated),temperature (degC),OriginalSampleID (missing),uncertaintyHigh (missing),uncertaintyLow (missing)
121.316,14.584,121.316,14.584,13.401
366.414,13.959,366.414,13.959,12.749
488.963,14.029,488.963,14.029,12.742
611.512,13.789,611.512,13.789,12.563
856.61,14.184,856.61,14.184,12.959
979.159,14.079,979.159,14.079,12.811
1101.708,13.09,1101.708,13.09,11.928
1224.257,13.463,1224.257,13.463,12.3
1346.806,13.029,1346.806,13.029,11.834
1591.904,12.909,1591.904,12.909,11.696
1837.002,12.32,1837.002,12.32,11.18
1959.551,13.624,1959.551,13.624,12.484
2082.1,13.843,2082.1,13.843,12.678
2204.65,13.129,2204.65,13.129,11.967
2327.199,14.138,2327.199,14.138,12.906
2449.748,13.828,2449.748,13.828,12.589
2523.277,13.499,2523.277,13.499,11.983
2572.297,12.124,2572.297,12.124,10.921
2694.846,14.136,2694.846,14.136,12.925
2768.375,12.571,2768.375,12.571,11.455
2817.395,13.932,2817.395,13.932,12.691
3062.493,13.611,3062.493,13.611,12.348
3307.591,13.04,3307.591,13.04,11.841
3552.689,13.29,3552.689,13.29,11.929
3797.787,13.815,3797.787,13.815,12.661
3920.336,12.698,3920.336,12.698,11.451
4042.885,13.472,4042.885,13.472,12.347
4287.983,13.66,4287.983,13.66,12.434
4533.081,13.331,4533.081,13.331,12.089
4778.179,13.277,4778.179,13.277,12.088
5023.277,13.456,5023.277,13.456,12.243
5268.375,14.115,5268.375,14.115,12.807
5513.473,13.919,5513.473,13.919,12.549
5758.571,13.345,5758.571,13.345,11.851
