year (AD),age (BP),MAAT (degC),core (missing),Section (missing),Composite_depth (cm),error (degC)
1552.937,397.063,16.68,3,0.1,38,0.92
1333.507,616.493,13.87,3,0.1,59,1.13
1166.322,783.678,12.66,3,0.1,75,1.05
915.546,1034.454,11.25,3,0.1,99,1.28
560.278,1389.722,15.3,3,0.2,133,0.89
351.298,1598.702,16.75,3,0.2,153,1.03
194.562,1755.438,16.33,3,0.2,168,1.02
-65.51,2015.51,18.37,3,0.3,193,0.69
-265.264,2215.264,17.65,3,0.3,213,1.02
-405.092,2355.092,18.7,3,0.3,227,0.88
-514.957,2464.957,19.53,3,0.3,238,0.72
-744.674,2694.674,16.36,3,0.3,261,1.29
-854.538,2804.538,17.36,3,0.3,272,1.1
-1224.083,3174.083,19.77,3,0.4,309,0.92
-1403.505,3353.505,19.95,3,0.4,322,0.84
-1558.82,3508.82,19.57,3,0.4,333,0.79
-1756.494,3706.494,19.8,3,0.4,347,0.83
-2053.004,4003.004,18.87,3,0.4,368,0.59
-2250.678,4200.678,19.15,3,0.4,382,0.58
-2535.966,4485.966,20.03,3,0.4,398,0.9
-2630.314,4580.314,20.11,3,0.4,403,0.99
-2856.749,4806.749,19.08,3,0.4,415,1.15
-3630.402,5580.402,20.52,3,1,456,0.84
-3837.583,5787.583,20.41,3,1,465,1.02
-4436.106,6386.106,21.64,3,1,491,0.99
-4620.267,6570.267,21.92,3,1,499,0.95
-4781.408,6731.408,21.1,3,1,506,1.03
-4985.838,6935.838,20.74,3,1,514,1
-5299.501,7249.501,18.25,3,2,526,0.86
-5482.471,7432.471,18.91,3,2,533,1.01
-5665.44,7615.44,18.32,3,2,540,1.02
-5900.687,7850.687,20.38,3,2,549,0.59
-6475.735,8425.735,20.72,3,2,571,0.9
-6611.392,8561.392,21.63,3,2,576,0.89
-6855.815,8805.815,21.06,3,2,585,0.72
-6991.74,8941.74,19.79,3,2,590,0.87
-7209.22,9159.22,19.06,3,2,598,0.92
-7426.7,9376.7,19.29,3,2,606,0.78
-8187.88,10137.88,19.48,3,3,634,0.76
-8454.708,10404.708,20.18,3,3,644,0.83
-8688.074,10638.074,18.78,3,3,653,0.89
-8843.651,10793.651,19.12,3,3,659,0.83
-9077.016,11027.016,19.62,3,3,668,0.81
-9276.204,11226.204,19.92,3,3,676,0.79
-9447.213,11397.213,18.62,3,3,683,0.8
-9667.081,11617.081,18.31,3,3,692,0.79
-10099.582,12049.582,18.39,3,3,713,0.59
-10427.821,12377.821,18.29,3,4,731,0.79
-10628.412,12578.412,18.56,3,4,742,0.65
-11066.064,13016.064,18.15,3,4,766,0.5
-11248.42,13198.42,16.13,3,4,776,0.69
-11412.539,13362.539,14.81,3,4,785,0.79
-11667.837,13617.837,12.05,3,4,799,0.94
-11851.576,13801.576,11.21,3,4,812,0.94
-12218.744,14168.744,14.25,3,5,839,0.84
-12469.77,14419.77,15.67,3,5,859,0.8
-12647.916,14597.916,15.93,3,5,875,0.63
-12859.464,14809.464,13.67,3,5,894,0.95
-13048.743,14998.743,11.9,3,5,911,0.81
-13182.353,15132.353,12.15,3,7,923,0.99
-13282.559,15232.559,12.42,3,7,932,0.78
-13461.99,15411.99,14.29,3,7,949,0.24
-13719.988,15669.988,15.9,3,7,974,0.27
-13874.918,15824.918,12.91,3,7,989,0.24
-14102.941,16052.941,17.24,3,7,1011,0.3
