depth (cm),age (BP),temperature (degC)
1,0,9.406
2,62.5,9.59
3,125,8.773
4,187.5,9.05
5,250,9.202
6,312.5,9.213
7,375,9.351
8,437.5,9.292
9,500,8.927
10,625,9.269
12,750,9.714
15,875,9.114
17,1000,9.713
20,1071.429,9.773
21,1142.857,9.585
22,1214.286,9.574
23,1285.714,9.659
24,1357.143,9.612
25,1428.571,9.234
26,1500,9.228
27,1555.556,9.541
28,1611.111,9.15
29,1666.667,9.662
30,1722.222,9.795
31,1777.778,9.668
32,1833.333,9.711
33,1888.889,9.425
34,1944.444,9.368
35,2000,9.399
36,2055.556,9.793
37,2111.111,9.557
38,2166.667,9.536
39,2222.222,9.461
40,2277.778,9.367
41,2333.333,9.69
42,2388.889,9.509
43,2444.444,9.323
44,2500,9.81
45,2600,9.594
46,2700,9.541
47,2800,9.66
50,2900,9.018
52,3000,9.3
55,3166.667,9.561
57,3333.333,9.496
60,3500,9.583
62,3625,9.591
65,3750,9.778
67,3875,9.685
70,4000,9.863
71,4071.429,10.098
72,4142.857,10.069
73,4214.286,10.456
74,4285.714,9.848
75,4357.143,10.274
76,4428.571,9.9
77,4500,9.931
78,4571.429,9.8
79,4642.857,9.711
80,4714.286,9.702
81,4785.714,9.811
82,4857.143,9.918
83,4928.571,9.684
85,5000,9.455
87,5125,9.702
90,5250,9.903
92,5375,9.393
95,5500,9.916
97,5666.667,10.018
100,5833.333,9.439
102,6000,9.773
105,6166.667,9.73
107,6333.333,9.762
110,6500,9.588
112,6625,9.967
115,6750,9.7
117,6875,10.15
120,7000,9.666
122,7166.667,9.933
125,7333.333,9.83
127,7500,9.995
130,7666.667,9.75
132,7833.333,9.829
135,8000,9.619
137,8125,9.842
140,8250,9.555
142,8375,9.619
145,8500,9.15
147,8666.667,9.169
150,8833.333,9.406
152,9000,9.51
155,9125,9.569
157,9250,9.656
160,9375,9.685
162,9500,9.578
