depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
0,0,14.294,15.21,13.379,Y
10,264.3,14.101,15.017,13.184,Y
20,528.6,14.388,15.28,13.497,Y
30,792.9,14.6,15.477,13.724,Y
40,1057.1,14.438,15.406,13.47,Y
50,1321.4,15.069,15.943,14.195,Y
60,1585.7,15.482,16.357,14.607,Y
70,1850,15.265,16.136,14.394,Y
80,2455.7,14.733,15.646,13.82,Y
90,3091.7,15.078,15.955,14.201,Y
100,3818.7,16.134,16.998,15.271,Y
110,4545.7,15.474,16.359,14.589,Y
120,5272.6,14.988,15.904,14.072,Y
130,5999.6,15.878,16.788,14.969,Y
140,6726.5,15.787,16.691,14.882,Y
150,7221.2,15.98,16.861,15.099,Y
160,7483.5,15.613,16.486,14.741,Y
170,7745.9,15.306,16.233,14.379,Y
180,8008.3,14.454,15.382,13.526,Y
190,8270.6,14.798,15.689,13.906,Y
200,8533,15.617,16.521,14.713,Y
210,8795.4,15.664,16.549,14.778,Y
220,9057.7,15.277,16.152,14.402,Y
230,9320.1,14.805,15.74,13.869,Y
240,9690.2,14.47,15.362,13.579,Y
250,10060.3,13.547,14.457,12.637,Y
260,10502.2,14.485,15.387,13.583,Y
275,11165,12.914,13.917,11.91,Y
