year (AD),age (BP),depth (cm),peatFlux (g/cm3),temperature (g/m2/yr)
2000,-50,0,0.039,187.925
1997.9,-47.9,1,0.058,278.687
1995.8,-45.8,2,0.049,235.906
1993.8,-43.8,3,0.08,381.361
1991.7,-41.7,4,0.076,366.693
1989.6,-39.6,5,0.085,407.64
1987.5,-37.5,6,0.085,409.474
1985.4,-35.4,7,0.186,894.731
1983.3,-33.3,8,0.16,766.388
1981.3,-31.3,9,0.108,516.426
1979.2,-29.2,10,0.057,275.631
1977.1,-27.1,11,0.102,488.924
1975,-25,12,0.108,517.648
1972.9,-22.9,13,0.11,529.26
1970.8,-20.8,14,0.087,418.03
1968.8,-18.8,15,0.1,480.368
1966.7,-16.7,16,0.086,411.307
1964.6,-14.6,17,0.077,369.749
1962.5,-12.5,18,0.126,606.266
1960.4,-10.4,19,0.164,789.001
1958.3,-8.3,20,0.142,680.827
1956.3,-6.3,21,0.148,711.384
1954.2,-4.2,22,0.187,896.564
1952.1,-2.1,23,0.14,672.882
1950,0,24,0.122,583.653
1930.2,19.8,25,0.12,60.821
1910.5,39.5,26,0.12,60.628
1890.7,59.3,27,0.089,44.907
1871,79,28,0.123,62.367
1851.2,98.8,29,0.141,71.516
1831.4,118.6,30,0.141,71.13
1811.7,138.3,31,0.073,37.047
1791.9,158.1,32,0.128,64.88
1772.1,177.9,33,0.093,46.84
1752.4,197.6,34,0.148,75.06
1732.6,217.4,35,0.091,45.938
1712.9,237.1,36,0.118,59.661
1693.1,256.9,37,0.141,71.452
1673.3,276.7,38,0.115,57.922
1653.6,296.4,39,0.117,59.017
1633.8,316.2,40,0.119,60.306
1614,336,41,0.13,65.524
1594.3,355.7,42,0.112,56.44
1574.5,375.5,43,0.11,55.667
1554.8,395.2,44,0.131,66.04
1535,415,45,0.136,68.552
1509.5,440.5,46,0.107,42.142
1484,466,47,0.145,57.021
1458.5,491.5,48,0.123,48.433
1433,517,49,0.121,47.484
1407.5,542.5,50,0.151,59.418
1382,568,51,0.153,60.067
1356.5,593.5,52,0.141,55.124
1331,619,53,0.144,56.322
1305.5,644.5,54,0.158,62.114
1280,670,55,0.133,52.078
1254.5,695.5,56,0.121,47.385
1229,721,57,0.118,46.486
1203.5,746.5,58,0.122,47.984
1178,772,59,0.128,50.23
1152.5,797.5,60,0.112,43.839
1127,823,61,0.12,47.135
1101.5,848.5,62,0.155,60.916
1076,874,63,0.138,53.925
1050.5,899.5,64,0.113,44.389
1025,925,65,0.105,41.343
1008,942,66,0.162,95.193
991,959,67,0.163,96.092
974,976,68,0.125,73.698
957,993,69,0.119,70.028
940,1010,70,0.087,51.454
923,1027,71,0.131,77.293
906,1044,72,0.097,56.996
889,1061,73,0.158,93.171
872,1078,74,0.146,85.981
855,1095,75,0.126,73.998
838,1112,76,0.138,80.963
821,1129,77,0.163,96.017
804,1146,78,0.15,88.153
787,1163,79,0.134,78.641
770,1180,80,0.125,73.773
753,1197,81,0.111,65.16
736,1214,82,0.145,85.157
719,1231,83,0.152,89.651
702,1248,84,0.123,72.35
685,1265,85,0.158,92.797
671.7,1278.3,86,0.139,104.742
658.5,1291.5,87,0.146,110.123
645.2,1304.8,88,0.113,85.331
632,1318,89,0.15,113.583
618.7,1331.3,90,0.121,91.289
605.5,1344.5,91,0.115,86.484
592.2,1357.8,92,0.109,82.16
579,1371,93,0.142,106.952
565.7,1384.3,94,0.118,88.79
552.5,1397.5,95,0.128,96.19
539.2,1410.8,96,0.129,96.958
526,1424,97,0.112,84.274
512.7,1437.3,98,0.123,92.826
499.5,1450.5,99,0.113,85.523
486.2,1463.8,100,0.111,83.986
473,1477,101,0.123,92.826
459.7,1490.3,102,0.149,112.43
446.5,1503.5,103,0.106,80.238
433.2,1516.8,104,0.126,94.748
420,1530,105,0.144,108.97
325,1625,106,0.139,14.636
230,1720,107,0.118,12.451
135,1815,108,0.14,14.783
40,1910,109,0.119,12.491
-55,2005,110,0.123,12.933
-92.2,2042.2,111,0.089,24.013
-129.4,2079.4,112,0.117,31.436
-166.7,2116.7,113,0.106,28.494
-203.9,2153.9,114,0.112,30.067
-241.1,2191.1,115,0.084,22.679
-278.3,2228.3,116,0.115,30.957
-315.6,2265.6,117,0.117,31.538
-352.8,2302.8,118,0.126,33.933
-390,2340,119,0.12,32.222
-458.3,2408.3,120,0.105,15.428
-526.7,2476.7,121,0.102,14.962
-595,2545,122,0.103,15.055
-663.3,2613.3,123,0.105,15.335
-731.7,2681.7,124,0.103,15.148
-800,2750,125,0.119,17.366
-830.5,2780.5,126,0.131,42.789
-861,2811,127,0.124,40.66
-891.5,2841.5,128,0.145,47.506
-922,2872,129,0.138,45.127
-952.5,2902.5,130,0.133,43.541
-983,2933,131,0.132,43.332
-1013.5,2963.5,132,0.143,46.922
-1044,2994,133,0.119,39.116
-1074.5,3024.5,134,0.092,30.099
-1105,3055,135,0.151,49.427
-1135.5,3085.5,136,0.144,47.298
-1166,3116,137,0.139,45.544
-1196.5,3146.5,138,0.144,47.381
-1227,3177,139,0.138,45.336
-1257.5,3207.5,140,0.155,50.846
-1288,3238,141,0.138,45.127
-1318.5,3268.5,142,0.129,42.246
-1349,3299,143,0.152,50.011
-1379.5,3329.5,144,0.161,52.766
-1410,3360,145,0.162,53.059
-1447.5,3397.5,146,0.161,43.053
-1485,3435,147,0.134,35.786
-1522.5,3472.5,148,0.141,37.586
-1560,3510,149,0.134,35.753
-1597.5,3547.5,150,0.137,36.432
-1635,3585,151,0.138,36.805
-1672.5,3622.5,152,0.095,25.227
-1710,3660,153,0.098,26.008
-1747.5,3697.5,154,0.112,29.811
-1785,3735,155,0.099,26.517
-1822.5,3772.5,156,0.083,22.205
-1860,3810,157,0.14,37.348
-1897.5,3847.5,158,0.116,30.897
-1935,3885,159,0.105,27.943
-1972.5,3922.5,160,0.132,35.209
-2010,3960,161,0.103,27.536
-2047.5,3997.5,162,0.107,28.555
-2085,4035,163,0.122,32.629
-2122.5,4072.5,164,0.132,35.243
-2160,4110,165,0.099,26.483
-2165.6,4115.6,166,0.099,176.662
-2171.2,4121.2,167,0.104,185.529
-2176.8,4126.8,168,0.107,190.304
-2182.4,4132.4,169,0.115,204.855
-2188,4138,170,0.101,180.072
-2193.6,4143.6,171,0.089,159.837
-2199.2,4149.2,172,0.101,180.3
-2204.8,4154.8,173,0.101,179.39
-2210.4,4160.4,174,0.098,175.525
-2216,4166,175,0.115,205.537
-2221.6,4171.6,176,0.11,195.761
-2227.2,4177.2,177,0.107,190.531
-2232.8,4182.8,178,0.081,145.286
-2238.4,4188.4,179,0.122,217.588
-2244,4194,180,0.089,158.928
-2249.6,4199.6,181,0.119,212.131
-2255.2,4205.2,182,0.089,159.61
-2260.8,4210.8,183,0.12,214.177
-2266.4,4216.4,184,0.12,213.722
-2272,4222,185,0.099,176.889
-2277.6,4227.6,186,0.137,244.871
-2283.2,4233.2,187,0.1,179.163
-2288.8,4238.8,188,0.124,221.453
-2294.4,4244.4,189,0.147,262.606
-2300,4250,190,0.15,268.29
-2323.6,4273.6,191,0.147,62.313
-2347.2,4297.2,192,0.174,73.589
-2370.8,4320.8,193,0.128,54.167
-2394.4,4344.4,194,0.12,50.768
-2418,4368,195,0.122,51.685
