depth (cm),age (BP),temperature (degC)
1116,19.45,11.395
1120,240.22,10.26
1124,475.69,11.361
1128,711.1,11.076
1132,946.42,11.105
1136,1181.64,10.829
1140,1416.72,10.759
1148,1886.34,10.511
1156,2355.05,11.438
1164,2822.59,11.726
1168,3055.86,11.252
1172,3288.74,11.084
1176,3521.2,11.723
1180,3753.22,11.161
1184,3984.77,11.27
1188,4215.79,11.111
1192,4446.18,11.335
1196,4675.83,11.658
1202,5018.65,11.337
1210,5472.06,11.123
1218,5920.4,11.718
1226,6362.75,12.289
1234,6798.17,12.512
1242,7225.73,12.118
1250,7644.52,12.223
1254,7850.33,12.112
1258,8053.6,12.528
1262,8254.2,11.915
1266,8452.03,11.878
1270,8646.97,11.64
1274,8838.87,11.534
