depth (mm),age (BP),depth (cm),Uk37 (missing),depth.top (mm),thickness (mm)
5,-55,0.25,-0.64,0,5
10,-53,0.75,-0.637,5,5
15,-50,1.25,-0.614,10,5
20,-45,1.75,-0.627,15,5
25,-40,2.25,-0.633,20,5
30,-33,2.75,-0.616,25,5
35,-25,3.25,-0.617,30,5
40,-16,3.75,-0.585,35,5
45,-6,4.25,-0.62,40,5
55,16,5.25,-0.651,50,5
60,29,5.75,-0.644,55,5
65,43,6.25,-0.637,60,5
70,58,6.75,-0.634,65,5
75,74,7.25,-0.637,70,5
80,85,7.75,-0.673,75,5
85,103,8.25,-0.648,80,5
90,122,8.75,-0.629,85,5
95,143,9.25,-0.6,90,5
100,164,9.75,-0.634,95,5
105,186,10.25,-0.597,100,5
110,208,10.75,-0.645,105,5
112.5,220,11,-0.661,107.5,5
115,233,11.25,-0.644,110,5
120,257,1.75,-0.646,115,5
125,282,12.25,-0.642,120,5
127.5,295,12.5,-0.64,122.5,5
130,309,12.75,-0.615,125,5
135,335,13.25,-0.628,130,5
140,362,13.75,-0.63,135,5
145,390,14.25,-0.637,140,5
150,419,14.75,-0.599,145,5
155,448,15.25,-0.624,150,5
160,478,15.75,-0.581,155,5
165,509,16.25,-0.625,160,5
170,540,16.75,-0.637,165,5
175,572,17.25,-0.633,170,5
180,604,17.75,-0.618,175,5
185,637,18.25,-0.628,180,5
190,670,18.75,-0.632,185,5
195,704,19.25,-0.645,190,5
200,739,19.75,-0.683,195,5
205,774,20.25,-0.68,200,5
207.5,792,20.5,-0.694,202.5,5
210,810,20.75,-0.622,205,5
215,846,21.25,-0.591,210,5
220,885,21.75,-0.618,215,5
225,924,22.25,-0.629,220,5
230,964,22.75,-0.653,225,5
235,1004,23.25,-0.651,230,5
240,1044,23.75,-0.666,235,5
245,1085,24.25,-0.674,240,5
250,1126,24.75,-0.648,245,5
255,1168,25.25,-0.659,250,5
260,1210,25.75,-0.65,255,5
265,1252,26.25,-0.646,260,5
270,1295,26.75,-0.635,265,5
275,1338,27.25,-0.668,270,5
280,1381,27.75,-0.679,275,5
285,1413,28.25,-0.669,280,5
290,1445,28.75,-0.671,285,5
295,1478,29.25,-0.657,290,5
300,1511,29.75,-0.641,295,5
305,1544,30.25,-0.601,300,5
310,1577,30.75,-0.658,305,5
320,1653,31.75,-0.658,315,5
325,1686,32.25,-0.623,320,5
330,1721,32.75,-0.6,325,5
335,1755,33.25,-0.557,330,5
340,1789,33.75,-0.566,335,5
345,1851,34.25,-0.637,340,5
350,1913,34.75,-0.667,345,5
355,1975,35.25,-0.689,350,5
365,2046,36.25,-0.656,360,5
370,2073,36.75,-0.657,365,5
375,2100,37.25,-0.64,370,5
385,2171,38.25,-0.605,380,5
390,2219,38.75,-0.622,385,5
395,2267,39.25,-0.639,390,5
400,2315,39.75,-0.584,395,5
405,2364,40.25,-0.58,400,5
410,2417,40.75,-0.628,405,5
420,2515,41.75,-0.659,415,5
430,2613,42.75,-0.594,425,5
440,2690,43.75,-0.629,435,5
450,2767,44.75,-0.632,445,5
460,2843,45.75,-0.627,455,5
470,2920,46.75,-0.607,465,5
475,2953,47.25,-0.634,470,5
480,2987,47.75,-0.591,475,5
485,3021,48.25,-0.57,480,5
490,3074,48.75,-0.572,485,5
495,3127,49.25,-0.559,490,5
500,3181,49.75,-0.542,495,5
505,3234,50.25,-0.532,500,5
510,3283,50.75,-0.56,505,5
515,3332,51.25,-0.563,510,5
520,3381,51.75,-0.529,515,5
525,3429,52.25,-0.594,520,5
530,3471,52.75,-0.578,525,5
535,3512,53.25,-0.564,530,5
540,3554,53.75,-0.558,535,5
545,3595,54.25,-0.615,540,5
550,3636,54.75,-0.598,545,5
555,3676,55.25,-0.619,550,5
565,3758,56.25,-0.626,560,5
575,3839,57.25,-0.59,570,5
585,3920,58.25,-0.595,580,5
595,3999,59.25,-0.6,590,5
610,4118,60.75,-0.565,605,5
615,4153,61.25,-0.647,610,5
635,4303,63.25,-0.656,630,5
645,4375,64.25,-0.646,640,5
655,4445,65.25,-0.682,650,5
665,4515,66.25,-0.673,660,5
685,4655,68.25,-0.699,680,5
695,4722,69.25,-0.685,690,5
705,4787,70.25,-0.68,700,5
715,4852,71.25,-0.676,710,5
725,4915,72.25,-0.675,720,5
735,4977,73.25,-0.662,730,5
745,5039,74.25,-0.698,740,5
755,5103,75.25,-0.678,750,5
765,5167,76.25,-0.65,760,5
775,5229,77.25,-0.62,770,5
785,5290,78.25,-0.646,780,5
795,5350,79.25,-0.612,790,5
805,5410,80.25,-0.626,800,5
815,5468,81.25,-0.618,810,5
825,5525,82.25,-0.636,820,5
835,5581,83.25,-0.638,830,5
845,5637,84.25,-0.65,840,5
855,5691,85.25,-0.59,850,5
865,5744,86.25,-0.571,860,5
875,5797,87.25,-0.541,870,5
885,5848,88.25,-0.509,880,5
895,5899,89.25,-0.529,890,5
905,5949,90.25,-0.486,900,5
915,5999,91.25,-0.52,910,5
930,6071,92.75,-0.49,925,5
935,6095,93.25,-0.545,930,5
940,6119,93.75,-0.478,935,5
