depth (cm),age (BP),temperature (degC)
1021,-47,14.146
1024,27,13.646
1028,135,13.743
1032,242,13.95
1036,350,14.578
1040,458,14.772
1044,565,14.198
1048,674,14.72
1052,782,14.89
1056,890,14.243
1060,999,14.215
1064,1108,14.422
1068,1217,13.921
1072,1326,14.386
1076,1436,14.967
1080,1547,14.225
1084,1658,15.003
1088,1770,14.97
1092,1882,14.376
1096,1996,14.463
1099,2081,14.364
1104,2225,14.461
1108,2342,14.529
1112,2459,14.386
1116,2577,13.951
1120,2697,14.077
1124,2817,14.639
1128,2939,14.46
1132,3061,14.272
1140,3309,14.034
1148,3562,14.431
1156,3818,15.43
1164,4078,14.719
1172,4341,15.724
1180,4609,14.711
1188,4880,14.937
1196,5156,15.132
1204,5434,14.701
1212,5717,14.189
1220,6004,15.417
1228,6294,14.199
1236,6588,14.993
1240,6737,15.362
1244,6886,14.927
1248,7037,14.395
1252,7189,14.532
1256,7341,15.076
1260,7495,14.831
1264,7649,14.696
1268,7805,14.284
1272,7961,14.801
1276,8118,14.238
1280,8276,14.746
1284,8435,14.573
1288,8594,14.246
1292,8754,14.588
1296,8914,14.339
