age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (2s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated (),note ()
2810,147.5,1450,1500,2740,125,2970,2750,50,2,NA,NA,1
3430,167.5,1650,1700,3210,85,3630,3250,50,1,1,1,NA
3570,187.5,1850,1900,3340,85,3800,3370,50,1,2,1,NA
4320,217.5,2150,2200,3890,85,4430,4180,50,1,3,1,NA
5600,272.5,2700,2750,4850,70,5640,5560,50,1,6,1,NA
7010,294.5,2920,2970,6170,990,7280,6770,50,1,4,1,NA
7670,317.5,3150,3200,6850,70,7720,7580,50,1,5,1,NA
9080,350.5,3480,3530,8160,45,9260,9010,50,1,7,1,NA
11080,382.5,3800,3850,9620,115,11220,10590,50,1,8,1,NA
12330,440.5,4380,4430,10390,150,12900,11620,50,1,9,1,NA
12330,448,4430,4530,10390,160,12900,11580,100,1,10,1,NA
