depth (cm),age (BP),OM (percent)
0.6,12,15.9
0.9,22,15
1.2,32,14.6
1.5,41,15.7
1.8,51,15.9
2.1,61,15.2
2.4,71,14.8
2.7,80,15
3,90,14.5
3.3,100,13.4
3.6,110,14.9
3.9,119,13.4
4.2,129,13.9
4.5,139,9.6
4.8,149,12
5.1,158,11.2
5.4,168,13.8
5.7,178,9.7
6,188,15.1
6.3,197,9.3
6.6,207,11.9
6.9,217,8.1
7.2,227,12.5
7.5,236,13.7
7.8,246,12.2
8.1,256,12.5
8.4,266,12.9
8.7,275,13.4
9,285,12.6
9.3,295,13.4
9.6,305,12.1
9.9,314,12.9
10.2,324,12.3
10.5,334,10.8
10.8,344,12.3
11.1,353,11.4
11.4,358,10
11.7,364,5.5
12,370,13.9
12.3,374,14.4
12.6,377,14.5
12.9,380,18.4
13.2,384,16.1
13.5,387,13.6
13.8,391,14.7
14.1,394,15.9
14.4,397,13.9
14.7,401,12.7
15,404,16.8
15.3,408,19.2
15.6,411,15.5
15.9,414,16.2
16.2,418,16.9
16.5,421,16.2
16.8,425,17.5
17.1,428,17.3
17.4,431,16.3
17.7,435,17.4
18,438,16.3
18.3,442,13.4
18.6,445,15.6
18.9,448,17.9
19.2,452,20.3
19.5,455,20
19.8,459,17.6
20.1,462,17.8
20.4,465,16.6
20.7,469,17.1
21,472,18.9
21.3,475,17.2
21.6,479,17.4
21.9,482,16.3
22.2,486,18.5
22.5,489,17.2
22.8,492,16.8
23.1,496,17.9
23.4,499,15.9
23.7,503,16
24,506,13.2
24.3,509,13.8
24.6,513,13.6
24.9,516,15
25.2,520,14.7
25.5,523,12.8
25.8,526,12.9
26.1,530,13.3
26.4,533,11.9
26.7,537,12.5
27,540,13.2
27.3,543,13.8
27.6,547,12.5
27.9,550,13.9
28.2,553,12.4
28.5,557,13.6
28.8,560,13.7
29.1,564,11.9
29.4,567,12.1
29.7,570,11.4
30,574,11.7
30.3,577,11.6
30.6,581,11.2
30.9,584,9.6
31.2,587,10.5
31.5,591,10.8
31.8,594,14.3
32.1,598,7.5
32.4,601,9.4
32.7,604,10.6
33,608,10.3
33.3,611,9.9
33.6,615,9.3
33.9,618,11.8
34.2,621,10.9
34.5,625,8.8
34.8,628,6.1
35.1,632,5.7
35.4,635,7.5
35.7,638,8.8
36,642,9.9
36.3,645,9.8
36.6,648,8.8
36.9,652,7.4
37.2,656,14
37.6,666,14.2
37.9,673,13.8
38.2,683,12.1
38.6,695,14.8
38.9,706,13.9
39.2,717,13
39.5,729,12
39.7,734,10.9
40.1,746,11.8
40.4,759,14.3
40.8,771,13.1
41.2,784,14.2
41.5,797,15.2
41.9,809,13
42.3,822,11.5
42.6,834,10.7
43,847,12.7
43.4,859,15.2
43.7,872,16.1
44.1,885,16.5
44.5,897,16.4
44.8,910,15.4
45.2,922,16.4
45.6,935,18
45.9,947,20.4
46.3,960,18.2
46.7,973,18.2
47,985,18.1
47.4,998,18.5
47.8,1010,19.3
48.1,1023,18.1
48.5,1035,14.6
48.9,1048,12.3
49.2,1061,13.1
49.6,1073,13.9
50,1086,13.2
50.3,1098,14.2
50.7,1111,16.9
51.1,1124,18.6
51.4,1136,19.7
51.8,1149,20.5
52.2,1161,21
52.5,1174,19.1
52.9,1186,19.4
53.3,1199,21
53.6,1212,20.7
54,1224,18.4
54.4,1237,15.3
54.7,1249,14.7
55.1,1262,14.3
55.5,1274,14.6
55.8,1287,14.3
56.2,1300,16.7
56.6,1312,16.5
56.9,1325,17.3
57.3,1337,16.3
57.7,1350,16.7
58,1362,17.2
58.4,1375,16.8
58.8,1388,17.4
59.1,1400,17.5
59.5,1413,17.6
59.9,1425,18.5
60.2,1438,19.2
60.6,1450,18.6
61,1463,18.1
61.3,1476,17.5
61.7,1488,17.6
62.1,1501,17.7
62.4,1513,17.4
62.8,1526,17.5
63.2,1538,19.7
63.5,1551,21.2
63.9,1564,20.3
64.3,1576,16.6
64.6,1589,16.9
65,1601,17.6
65.4,1614,15.6
65.7,1627,16.9
66.1,1639,18.6
66.5,1652,16
66.8,1664,15.4
67.2,1677,15.7
67.6,1689,15.1
67.9,1702,17.5
68.3,1715,18.4
68.7,1727,19.4
69,1740,21.8
69.4,1752,21.7
69.8,1765,20.5
70.1,1777,22.7
70.5,1790,25.1
70.9,1803,24.8
