age (bp),depth (cm),depth_top (mm),depth_bot (mm),U238 (ppm),U238_error (2s),U234/U238 (),U234/U238_error (2s),Th230/U234 (),Th230/U234_error (2s),Th230/Th232 (),Th230/Th232_error (2s),age_error (2s),thickness (mm),age_type (),lab_id (),note ()
253,30.25,300,305,1.15,0.001,1.686,0.002,0.002,0,4,1.3,0.002,5,1,10,1
1053,25.35,250,257,2.1,0.002,1.657,0.004,0.01,0,44,1.2,0.007,7,1,9,NA
2131,20.1,200,202,1.27,0.001,1.666,0.002,0.019,0,69,1.6,0.031,2,1,8,NA
3579,14.9,148,150,1.42,0.001,1.661,0.004,0.032,0,48,0.7,0.009,2,1,7,NA
3897,14.4,143,145,1.41,0.002,1.554,0.004,0.035,0,76,1,0.011,2,1,6,NA
5090,10.1,100,102,1.242,0.001,1.671,0.002,0.046,0,79,1,0.016,2,1,5,NA
7008,4.9,48,50,1.545,0.001,1.655,0.002,0.063,0,158,0.6,0.016,2,1,4,NA
7246,4.6,45,47,1.48,0.001,1.628,0.002,0.065,0,192,0.6,0.017,2,1,3,NA
8169,2.3,22,24,0.963,0.001,1.647,0.002,0.073,0,58,1.6,0.024,2,1,2,NA
9488,0.5,4,6,0.911,0.001,1.692,0.003,0.084,0,37,0.8,0.019,2,1,NA,NA
9944,0.15,0,3,0.976,0.001,1.685,0.004,0.088,0,36,1.5,0.022,3,1,1,NA
10409,-0.25,-5,0,0.968,0.001,1.741,0.003,0.092,0,21,0.7,0.021,5,1,11,NA
