age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (unitless),lab_id (unitless),material_dated (unitless)
-48,0,0,0,NA,NA,-44,-52,0,2,NA,NA
NA,633.75,6340,6335,1760,85,1760,1560,5,1,1,1
NA,657.75,6580,6575,2375,80,2470,2330,5,1,2,1
NA,679.75,6800,6795,3010,80,3315,3060,5,1,3,1
NA,705.75,7060,7055,4205,95,4860,4570,5,1,4,1
NA,729.75,7300,7295,5020,80,5890,5665,5,1,5,1
NA,749.75,7500,7495,5560,80,6430,6290,5,1,6,1
NA,781.75,7820,7815,6835,105,7710,7550,5,1,7,1
NA,801.75,8020,8015,7470,100,8350,8130,5,1,8,1
NA,835.75,8360,8355,9065,120,10270,9950,5,1,9,1
NA,848,8500,8460,9075,100,10290,9895,40,1,10,1
