depth (cm),age (BP),temperature (degC)
15,1197.86,12.28
20,1465.66,11.767
25,1730.97,12.845
30,1993.78,12.844
35,2254.1,12.611
40,2511.93,12.382
45,2767.27,11.928
50,3020.12,12.278
55,3270.47,12.235
60,3518.33,12.797
65,3763.69,11.857
70,4006.56,12.679
75,4246.94,13.29
80,4484.83,12.889
85,4720.23,13.105
90,4953.13,13.072
95,5183.54,12.925
100,5411.45,12.72
105,5636.88,11.357
110,5859.81,12.165
115,6080.25,12.488
120,6298.19,11.549
125,6513.64,14.53
130,6726.6,12.987
135,6937.07,13.742
140,7145.04,13.436
145,7350.52,13.076
150,7553.51,12.586
155,7754.01,12.731
160,7952.01,13.371
165,8147.52,13.661
170,8340.54,12.449
175,8531.06,13.215
180,8719.09,12.678
190,9087.68,11.429
195,9268.23,13.356
200,9446.29,11.552
205,9621.86,12.195
210,9794.94,11.316
215,9965.52,11.408
220,10133.61,11.914
225,10299.21,10.791
230,10462.31,11.511
235,10622.92,10.457
240,10781.04,10.29
245,10936.66,9.942
250,11089.8,10.279
255,11240.44,9.988
260,11388.58,9.88
265,11534.24,10.468
270,11677.4,11.546
275,11818.07,8.082
285,12091.93,9.858
290,12225.12,9.928
295,12355.82,11.896
300,12484.02,9.059
