d18O (permil),year (AD),depth (cm),d18O (permil)
-5.1,1995.625,NA,-5.1
-4.96,1995.458,NA,-4.96
-5.195,1995.292,NA,-5.195
-5.29,1995.125,NA,-5.29
-5.198,1994.958,NA,-5.198
-5.273,1994.792,NA,-5.273
-5.115,1994.625,NA,-5.115
-4.963,1994.458,NA,-4.963
-5.017,1994.292,NA,-5.017
-5.18,1994.125,NA,-5.18
-4.963,1993.958,NA,-4.963
-4.993,1993.792,NA,-4.993
-4.915,1993.625,NA,-4.915
-4.787,1993.458,NA,-4.787
-4.81,1993.292,NA,-4.81
-5.06,1993.125,NA,-5.06
-5.04,1992.958,NA,-5.04
-4.88,1992.792,NA,-4.88
-4.9,1992.625,NA,-4.9
-4.79,1992.458,NA,-4.79
-4.81,1992.292,NA,-4.81
-5.18,1992.125,NA,-5.18
-5.155,1991.958,NA,-5.155
-5.05,1991.792,NA,-5.05
-4.94,1991.625,NA,-4.94
-4.877,1991.458,NA,-4.877
-4.903,1991.292,NA,-4.903
-5.1,1991.125,NA,-5.1
-4.912,1990.958,NA,-4.912
-4.91,1990.792,NA,-4.91
-4.825,1990.625,NA,-4.825
-4.827,1990.458,NA,-4.827
-4.968,1990.292,NA,-4.968
-5.03,1990.125,NA,-5.03
-4.83,1989.958,NA,-4.83
-4.723,1989.792,NA,-4.723
-4.735,1989.625,NA,-4.735
-4.84,1989.458,NA,-4.84
-4.977,1989.292,NA,-4.977
-5.06,1989.125,NA,-5.06
-4.828,1988.958,NA,-4.828
-4.89,1988.792,NA,-4.89
-4.93,1988.625,NA,-4.93
-4.87,1988.458,NA,-4.87
-4.998,1988.292,NA,-4.998
-5.1,1988.125,NA,-5.1
-4.81,1987.958,NA,-4.81
-4.96,1987.792,NA,-4.96
-5.03,1987.625,NA,-5.03
-4.91,1987.458,NA,-4.91
-4.87,1987.292,NA,-4.87
-5.27,1987.125,NA,-5.27
-5.212,1986.958,NA,-5.212
-4.82,1986.792,NA,-4.82
-4.65,1986.625,NA,-4.65
-4.79,1986.458,NA,-4.79
-5.042,1986.292,NA,-5.042
-5.1,1986.125,NA,-5.1
-4.88,1985.958,NA,-4.88
-4.857,1985.792,NA,-4.857
-4.835,1985.625,NA,-4.835
-4.773,1985.458,NA,-4.773
-4.888,1985.292,NA,-4.888
-4.95,1985.125,NA,-4.95
-4.8,1984.958,NA,-4.8
-4.763,1984.792,NA,-4.763
-4.705,1984.625,NA,-4.705
-4.607,1984.458,NA,-4.607
-4.593,1984.292,NA,-4.593
-4.96,1984.125,NA,-4.96
-4.785,1983.958,NA,-4.785
-4.91,1983.792,NA,-4.91
-4.935,1983.625,NA,-4.935
-4.937,1983.458,NA,-4.937
-5.082,1983.292,NA,-5.082
-5.24,1983.125,NA,-5.24
-5.21,1982.958,NA,-5.21
-5.1,1982.792,NA,-5.1
-4.68,1982.625,NA,-4.68
-4.81,1982.458,NA,-4.81
-5.02,1982.292,NA,-5.02
-5.08,1982.125,NA,-5.08
-5.04,1981.958,NA,-5.04
-4.847,1981.792,NA,-4.847
-4.78,1981.625,NA,-4.78
-4.88,1981.458,NA,-4.88
-4.957,1981.292,NA,-4.957
-5.17,1981.125,NA,-5.17
-4.998,1980.958,NA,-4.998
