d18O (permil),year (AD)
-4.02,1995.625
-4.42,1995.458
-4.59,1995.291
-4.91,1995.125
-4.61,1994.958
-4.25,1994.791
-3.91,1994.625
-4.16,1994.458
-4.72,1994.291
-4.76,1994.125
-4.61,1993.958
-4.25,1993.791
-4.01,1993.625
-4.42,1993.458
-4.8,1993.291
-4.93,1993.125
-4.8,1992.958
-4.33,1992.791
-4.11,1992.625
-4.46,1992.458
-4.65,1992.291
-4.82,1992.125
-4.47,1991.958
-4.33,1991.791
-3.92,1991.625
-4.34,1991.458
-4.83,1991.291
-5.22,1991.125
-4.57,1990.958
-4.24,1990.791
-4.01,1990.625
-4.21,1990.458
-4.53,1990.291
-4.63,1990.125
-4.55,1989.958
-4.21,1989.791
-4.08,1989.625
-4.37,1989.458
-4.74,1989.291
-4.67,1989.125
-4.37,1988.958
-4.32,1988.791
-4.07,1988.625
-4.31,1988.458
-5,1988.291
-4.92,1988.125
-4.53,1987.958
-4.23,1987.791
-3.93,1987.625
-4.32,1987.458
-4.79,1987.291
-4.73,1987.125
-4.52,1986.958
-4.22,1986.791
-3.95,1986.625
-4.33,1986.458
-4.71,1986.291
-4.72,1986.125
-4.64,1985.958
-4.39,1985.791
-4.04,1985.625
-4.28,1985.458
-4.51,1985.291
-4.75,1985.125
-4.62,1984.958
-4.3,1984.791
-4.04,1984.625
-4.14,1984.458
-4.64,1984.291
-5.25,1984.125
-4.84,1983.958
-4.32,1983.791
-3.97,1983.625
-4.31,1983.458
-4.61,1983.291
-4.76,1983.125
-4.27,1982.958
-4.04,1982.791
-4.02,1982.625
-4.59,1982.458
-4.88,1982.291
-4.76,1982.125
-4.48,1981.958
-4.12,1981.791
-3.76,1981.625
-4.07,1981.458
-4.57,1981.291
-5.04,1981.125
-4.51,1980.958
-4.16,1980.791
-3.83,1980.625
-4.48,1980.458
-4.85,1980.291
-4.59,1980.125
-4.23,1979.958
-4.1,1979.791
-3.87,1979.625
-4.26,1979.458
-4.77,1979.291
-4.71,1979.125
-4.51,1978.958
-4.26,1978.791
-3.93,1978.625
-4.03,1978.458
-4.65,1978.291
-4.71,1978.125
-4.43,1977.958
-4.3,1977.791
-3.97,1977.625
-4.3,1977.458
-4.53,1977.291
-4.99,1977.125
-4.41,1976.958
-4.24,1976.791
-3.71,1976.625
-4.08,1976.458
-4.74,1976.291
-4.89,1976.125
-4.76,1975.958
-4.19,1975.791
-3.88,1975.625
-4.14,1975.458
-4.44,1975.291
-4.8,1975.125
-4.57,1974.958
-4.14,1974.791
-3.87,1974.625
-4.21,1974.458
-4.52,1974.291
-4.98,1974.125
-4.51,1973.958
-4.19,1973.791
-3.82,1973.625
-4.16,1973.458
-4.7,1973.291
-4.52,1973.125
-4.35,1972.958
-4.12,1972.791
-3.88,1972.625
-4.27,1972.458
-4.65,1972.291
-4.82,1972.125
-4.3,1971.958
-4.07,1971.791
-3.93,1971.625
-4.38,1971.458
-4.71,1971.291
-4.89,1971.125
-4.43,1970.958
-4.18,1970.791
-4.01,1970.625
-4.08,1970.458
-4.28,1970.291
-4.75,1970.125
-4.36,1969.958
-4,1969.791
-3.92,1969.625
-4.38,1969.458
-5.08,1969.291
-4.86,1969.125
-4.22,1968.958
-4.03,1968.791
-3.68,1968.625
-4.06,1968.458
-4.52,1968.291
-4.83,1968.125
-4.38,1967.958
-4.39,1967.791
-3.98,1967.625
-4.36,1967.458
-4.93,1967.291
-4.94,1967.125
-4.46,1966.958
-4.22,1966.791
-4.12,1966.625
-4.35,1966.458
-4.57,1966.291
-4.92,1966.125
-4.38,1965.958
-4.29,1965.791
-3.96,1965.625
-4.43,1965.458
-4.88,1965.291
-4.99,1965.125
-4.6,1964.958
-4.36,1964.791
-3.83,1964.625
-4.08,1964.458
-4.65,1964.291
-4.95,1964.125
-4.49,1963.958
-4.27,1963.791
-3.93,1963.625
-4.19,1963.458
-4.62,1963.291
-4.99,1963.125
-4.74,1962.958
-4.39,1962.791
-4.16,1962.625
-4.6,1962.458
-4.82,1962.291
-4.84,1962.125
-4.51,1961.958
-4.41,1961.791
-4.21,1961.625
-4.35,1961.458
-4.67,1961.291
-5.01,1961.125
-4.8,1960.958
-4.39,1960.791
-4.07,1960.625
-4.24,1960.458
-4.69,1960.291
-4.81,1960.125
-4.59,1959.958
-4.35,1959.791
-4.25,1959.625
-4.47,1959.458
-4.68,1959.291
-5.11,1959.125
-4.62,1958.958
-4.28,1958.791
-4.2,1958.625
-4.78,1958.458
-5.15,1958.291
-5,1958.125
-4.56,1957.958
-4.33,1957.791
-4.02,1957.625
-4.6,1957.458
-4.9,1957.291
-4.68,1957.125
-4.44,1956.958
-4.19,1956.791
-4.01,1956.625
-4.53,1956.458
-5.08,1956.291
-5.05,1956.125
-4.56,1955.958
-4.21,1955.791
-4.01,1955.625
-4.25,1955.458
-4.81,1955.291
-4.98,1955.125
-4.61,1954.958
-4.11,1954.791
-3.93,1954.625
-4.34,1954.458
-5,1954.291
-4.57,1954.125
-4.48,1953.958
-4.12,1953.791
-3.8,1953.625
-4.53,1953.458
-5.06,1953.291
-5.01,1953.125
-4.6,1952.958
-4.33,1952.791
-4.19,1952.625
-4.36,1952.458
-4.91,1952.291
-4.97,1952.125
-4.68,1951.958
-4.33,1951.791
-3.78,1951.625
-4.11,1951.458
-4.51,1951.291
-4.53,1951.125
-4.6,1950.958
-4.33,1950.791
-3.97,1950.625
-4.27,1950.458
-4.76,1950.291
-4.96,1950.125
-4.7,1949.958
-4.43,1949.791
-4.05,1949.625
-4.23,1949.458
-4.58,1949.291
-4.73,1949.125
-4.49,1948.958
-4.28,1948.791
-3.97,1948.625
-4.31,1948.458
-4.72,1948.291
-4.93,1948.125
-4.77,1947.958
-4.48,1947.791
-3.9,1947.625
-4.04,1947.458
-4.71,1947.291
-4.86,1947.125
-4.35,1946.958
-4.2,1946.791
-3.81,1946.625
-4.44,1946.458
-4.79,1946.291
-4.79,1946.125
-4.38,1945.958
-4.07,1945.791
-3.73,1945.625
-4.33,1945.458
-4.76,1945.291
-4.63,1945.125
-4.41,1944.958
-4.02,1944.791
-3.84,1944.625
-4.24,1944.458
-4.8,1944.291
-4.82,1944.125
-4.62,1943.958
-4.36,1943.791
-4.2,1943.625
-4.31,1943.458
-4.73,1943.291
-4.89,1943.125
-4.72,1942.958
-4.26,1942.791
-4.1,1942.625
-4.35,1942.458
-4.75,1942.291
-4.98,1942.125
-4.68,1941.958
-4.43,1941.791
-4.14,1941.625
-4.37,1941.458
-4.68,1941.291
-4.8,1941.125
-4.7,1940.958
-4.26,1940.791
-4.08,1940.625
-4.53,1940.458
-5.06,1940.291
-4.88,1940.125
-4.49,1939.958
-4.28,1939.791
-4.18,1939.625
-4.47,1939.458
-5.14,1939.291
-4.87,1939.125
-4.44,1938.958
-4.63,1938.791
-4.04,1938.625
-4.15,1938.458
-4.46,1938.291
-4.65,1938.125
-4.45,1937.958
-4.25,1937.791
-3.76,1937.625
-3.92,1937.458
-4.3,1937.291
-4.57,1937.125
-4.95,1936.958
-4.64,1936.791
-4.09,1936.625
-4.26,1936.458
-4.56,1936.291
-4.89,1936.125
-4.76,1935.958
-4.15,1935.791
-3.77,1935.625
-4.13,1935.458
-4.22,1935.291
-4.72,1935.125
-4.32,1934.958
-4.09,1934.791
-4.02,1934.625
-4.44,1934.458
-4.77,1934.291
-4.63,1934.125
-4.38,1933.958
-4.21,1933.791
-3.87,1933.625
-3.98,1933.458
-4.38,1933.291
-4.47,1933.125
-4.4,1932.958
-4.26,1932.791
-3.95,1932.625
-4.31,1932.458
-4.61,1932.291
-4.62,1932.125
-4.31,1931.958
-4.13,1931.791
-3.86,1931.625
-4.37,1931.458
-4.91,1931.291
-4.46,1931.125
-4.48,1930.958
-4.1,1930.791
-3.76,1930.625
-4.05,1930.458
-4.59,1930.291
-4.65,1930.125
-4.46,1929.958
-4.24,1929.791
-4.03,1929.625
-4.21,1929.458
-4.72,1929.291
-4.83,1929.125
-4.49,1928.958
-4.17,1928.791
-3.86,1928.625
-4.31,1928.458
-4.15,1928.291
-4.66,1928.125
-4.4,1927.958
-4.21,1927.791
-3.81,1927.625
-4.07,1927.458
-4.78,1927.291
-4.76,1927.125
-4.54,1926.958
-4.17,1926.791
-3.81,1926.625
-4.07,1926.458
-4.61,1926.291
-4.99,1926.125
-4.71,1925.958
-4.17,1925.791
-3.84,1925.625
-4.42,1925.458
-4.89,1925.291
-4.93,1925.125
-4.42,1924.958
-3.99,1924.791
-3.84,1924.625
-4.4,1924.458
-4.76,1924.291
-4.67,1924.125
-4.32,1923.958
-4.22,1923.791
-4,1923.625
-4.3,1923.458
-4.73,1923.291
-4.7,1923.125
-4.36,1922.958
-4.31,1922.791
-4.03,1922.625
-4.32,1922.458
-4.78,1922.291
-4.74,1922.125
-4.44,1921.958
-4.11,1921.791
