d18O (permil),year (AD),d13C (permil),d18O (permil) [2-1],year (AD) [2-1],d13C (permil) [3-1],year (AD) [3-1]
-4.165,1990,-2.29,-2.69,1990,-0.4855,1989
-4.34,1989,-2.0975,-2.8634,1989,-0.0797,1988
-4.1175,1988,-1.99,-2.6136,1988,-0.7932,1987
-4.2375,1987,-2.0325,-3.1404,1987,-0.4468,1986
-4.4175,1986,-1.7675,-2.7658,1986,-0.4645,1985
-4.775,1985,-2.9525,-2.7281,1985,-0.542,1984
-4.2025,1984,-2.805,-2.7897,1984,-0.4044,1983
-3.6625,1983,-1.0375,-2.7708,1983,-0.3009,1982
-3.64,1982,-0.89,-2.8447,1982,-0.0946,1981
-3.905,1981,-1.165,-2.98,1981,0.0367,1980
-4.3825,1980,-2.2375,-2.9254,1980,-0.014,1979
-4.3225,1979,-2.275,-3.0441,1979,-0.1357,1978
-4.6725,1978,-2.175,-2.8227,1978,-0.3528,1977
-4.04,1977,-1.9225,-3.1602,1977,-0.4289,1976
-4.3225,1976,-1.62,-3.5327,1976,-0.4834,1975
-4.7375,1975,-2.735,-3.3967,1975,-0.5898,1974
-4.625,1974,-2.825,-3.3526,1974,-0.315,1973
-4.27,1973,-1.6575,-3.3359,1973,-0.3269,1972
-4.04,1972,-1.9475,-3.3899,1972,-0.68,1971
-3.7525,1971,-1.245,-3.4539,1971,-0.6594,1970
-4.17,1970,-1.54,-3.7483,1970,-0.5884,1969
-4.55,1969,-2.2625,-3.8451,1969,-0.3468,1968
-3.9075,1968,-1.05,-3.5141,1968,-0.5567,1967
-4.1575,1967,-2.1225,-3.8403,1967,-0.8694,1966
-3.7625,1966,-1.01,-4.0008,1966,-0.7252,1965
-4.3925,1965,-2.1425,-4.1157,1965,-0.3721,1964
-3.9125,1964,-1.185,-3.8351,1964,-0.2655,1963
-3.6725,1963,-0.995,-3.9726,1963,-0.5722,1962
-4.0225,1962,-1.81,-3.6811,1962,-1.1144,1961
-4.1525,1961,-1.7175,-3.5102,1961,-0.6786,1960
-3.7775,1960,-0.8425,-3.4092,1960,-1.1352,1959
-3.4,1959,-0.44,-3.5449,1959,-0.9119,1958
-3.8875,1958,-1.09,-3.6542,1958,-0.854,1957
-4.14,1957,-1.8125,-3.5679,1957,-0.6659,1956
-4.3525,1956,-2.2525,-3.2387,1956,-0.6996,1955
-4.215,1955,-1.96,-3.3948,1955,-0.4537,1954
-4.115,1954,-1.9725,-3.7145,1954,-0.5224,1953
-4.0425,1953,-1.6175,-3.4612,1953,-0.5787,1952
-4.11,1952,-1.33,-3.5454,1952,-0.6925,1951
-3.9525,1951,-1.135,-3.8674,1951,-0.553,1950
-3.8,1950,-1.4325,-3.8294,1950,-0.2726,1949
-3.6525,1949,-0.9975,-3.4925,1949,-0.8502,1948
-3.865,1948,-1.39,-3.9492,1948,-0.6264,1947
-3.865,1947,-1.51,-4.1113,1947,-0.4684,1946
-3.7275,1946,-1.42,-3.7768,1946,-0.1126,1945
-3.5375,1945,-1.185,-3.5541,1945,-0.8262,1944
-3.4,1944,-0.6425,-4.3245,1944,-0.9633,1943
-3.245,1943,-0.395,-4.1972,1943,-0.344,1942
-3.54,1942,-0.9575,-3.7436,1942,-0.0715,1941
-3.67,1941,-1.2475,-3.3937,1941,-0.3101,1940
-3.52,1940,-0.8,-3.6783,1940,-0.37,1939
-3.4825,1939,-0.735,-3.8027,1939,-0.5545,1938
-3.7125,1938,-1.3675,-3.6401,1938,-0.6487,1937
-3.8725,1937,-1.2375,-3.7858,1937,-0.6969,1936
-3.9775,1936,-1.795,-3.4142,1936,-0.6681,1935
-4.3525,1935,-2.0525,-3.0658,1935,-0.1911,1934
-4.185,1934,-1.7225,-4.1729,1934,-0.8512,1933
-3.89,1933,-1.3025,-4.4304,1933,-0.7735,1932
-3.6075,1932,-0.395,-3.7296,1932,NA,NA
-4.04,1931,-1.3,NA,NA,NA,NA
-4.0075,1930,-1.375,NA,NA,NA,NA
-3.865,1929,-1.3575,NA,NA,NA,NA
-3.865,1928,-1.195,NA,NA,NA,NA
-4.0675,1927,-1.995,NA,NA,NA,NA
