d18O (permil),year (AD),depth (cm),d18O (permil),d18O (permil)
0.25,1959.374,NA,0.25,-4.9
0.21,1959.54,NA,0.21,-4.95
0.3,1959.706,NA,0.3,-4.96
0.26,1959.872,NA,0.26,-4.93
0.25,1960.042,NA,0.25,-4.94
0.29,1960.208,NA,0.29,-4.8
0.17,1960.374,NA,0.17,-5.07
0.04,1960.54,NA,0.04,-5.22
0.05,1960.706,NA,0.05,-5.32
0.1,1960.872,NA,0.1,-5.21
0.18,1961.042,NA,0.18,-5.08
0.33,1961.208,NA,0.33,-4.73
0.23,1961.374,NA,0.23,-4.91
0.08,1961.54,NA,0.08,-5.1
0.37,1961.706,NA,0.37,-4.84
0.15,1961.872,NA,0.15,-4.98
0.32,1962.042,NA,0.32,-4.78
0.16,1962.208,NA,0.16,-4.91
0.06,1962.374,NA,0.06,-5.12
-0.06,1962.54,NA,-0.06,-5.28
0.07,1962.706,NA,0.07,-5.26
0.2,1962.872,NA,0.2,-5.12
0.4,1963.042,NA,0.4,-4.85
0.08,1963.208,NA,0.08,-5.09
0.13,1963.374,NA,0.13,-5.11
0.23,1963.54,NA,0.23,-5.09
0.1,1963.706,NA,0.1,-5.25
0.15,1963.872,NA,0.15,-5.04
0.31,1964.042,NA,0.31,-4.79
0.07,1964.208,NA,0.07,-5.04
0.21,1964.374,NA,0.21,-4.98
0.26,1964.54,NA,0.26,-4.87
0.23,1964.706,NA,0.23,-4.85
0.19,1964.872,NA,0.19,-4.8
0.12,1965.042,NA,0.12,-4.73
0.18,1965.208,NA,0.18,-4.77
0.17,1965.374,NA,0.17,-4.79
0.21,1965.54,NA,0.21,-4.8
0.12,1965.706,NA,0.12,-4.81
0.1,1965.872,NA,0.1,-4.83
0.03,1966.042,NA,0.03,-4.85
0.06,1966.208,NA,0.06,-4.96
0.16,1966.374,NA,0.16,-5.01
0.07,1966.54,NA,0.07,-5.01
0.22,1966.706,NA,0.22,-4.96
0.28,1966.872,NA,0.28,-4.93
-0.21,1967.042,NA,-0.21,-4.9
-0.17,1967.208,NA,-0.17,-4.88
0.07,1967.374,NA,0.07,-4.87
0.19,1967.54,NA,0.19,-4.95
0.28,1967.706,NA,0.28,-4.84
0.1,1967.872,NA,0.1,-4.91
0.04,1968.042,NA,0.04,-4.97
-0.06,1968.208,NA,-0.06,-5.02
-0.08,1968.374,NA,-0.08,-5.05
-0.09,1968.54,NA,-0.09,-5.09
-0.1,1968.706,NA,-0.1,-5.12
-0.04,1968.872,NA,-0.04,-5.22
-0.18,1969.042,NA,-0.18,-5.35
-0.17,1969.208,NA,-0.17,-5.31
-0.2,1969.374,NA,-0.2,-5.3
-0.15,1969.54,NA,-0.15,-5.24
-0.05,1969.706,NA,-0.05,-5.14
-0.18,1969.872,NA,-0.18,-5.18
-0.13,1970.042,NA,-0.13,-5.11
-0.11,1970.208,NA,-0.11,-5.1
-0.07,1970.374,NA,-0.07,-5.16
-0.33,1970.54,NA,-0.33,-5.38
-0.32,1970.706,NA,-0.32,-5.4
-0.18,1970.872,NA,-0.18,-5.21
-0.34,1971.042,NA,-0.34,-5.29
-0.17,1971.208,NA,-0.17,-5.27
-0.11,1971.374,NA,-0.11,-5.26
-0.13,1971.54,NA,-0.13,-5.31
-0.16,1971.706,NA,-0.16,-5.36
-0.25,1971.872,NA,-0.25,-5.32
-0.49,1972.042,NA,-0.49,-5.64
-0.03,1972.208,NA,-0.03,-5.43
-0.16,1972.374,NA,-0.16,-5.37
-0.26,1972.54,NA,-0.26,-5.41
-0.18,1972.706,NA,-0.18,-5.27
-0.09,1972.872,NA,-0.09,-5.26
-0.1,1973.042,NA,-0.1,-5.08
-0.17,1973.208,NA,-0.17,-5.12
-0.17,1973.374,NA,-0.17,-5.14
-0.08,1973.54,NA,-0.08,-5.19
-0.2,1973.706,NA,-0.2,-5.22
-0.26,1973.872,NA,-0.26,-5.34
-0.39,1974.042,NA,-0.39,-5.32
-0.31,1974.208,NA,-0.31,-5.33
-0.23,1974.374,NA,-0.23,-5.32
-0.09,1974.54,NA,-0.09,-5.3
-0.15,1974.706,NA,-0.15,-5.19
-0.13,1974.872,NA,-0.13,-5.21
-0.25,1975.042,NA,-0.25,-5.27
-0.1,1975.208,NA,-0.1,-5.17
-0.17,1975.374,NA,-0.17,-5.06
-0.14,1975.54,NA,-0.14,-5.16
-0.2,1975.706,NA,-0.2,-5.13
-0.2,1975.872,NA,-0.2,-5.12
-0.1,1976.042,NA,-0.1,-5.02
-0.17,1976.208,NA,-0.17,-4.98
-0.1,1976.374,NA,-0.1,-5.15
-0.18,1976.54,NA,-0.18,-5.46
-0.61,1976.706,NA,-0.61,-6
-0.26,1976.872,NA,-0.26,-5.61
-0.15,1977.042,NA,-0.15,-5.47
-0.08,1977.208,NA,-0.08,-5.34
-0.02,1977.374,NA,-0.02,-5.26
-0.13,1977.54,NA,-0.13,-5.43
-0.24,1977.706,NA,-0.24,-5.76
-0.21,1977.872,NA,-0.21,-5.49
-0.18,1978.042,NA,-0.18,-5.6
-0.14,1978.208,NA,-0.14,-5.34
-0.05,1978.374,NA,-0.05,-5.34
-0.08,1978.54,NA,-0.08,-5.44
-0.11,1978.706,NA,-0.11,-5.53
-0.07,1978.872,NA,-0.07,-5.47
-0.15,1979.042,NA,-0.15,-5.55
-0.07,1979.208,NA,-0.07,-5.27
-0.14,1979.374,NA,-0.14,-5.38
0,1979.54,NA,0,-5.44
-0.15,1979.706,NA,-0.15,-5.47
-0.05,1979.872,NA,-0.05,-5.39
0.11,1980.042,NA,0.11,-5.19
-0.01,1980.208,NA,-0.01,-5.28
-0.3,1980.374,NA,-0.3,-5.63
-0.12,1980.54,NA,-0.12,-5.49
-0.21,1980.706,NA,-0.21,-5.59
-0.01,1980.872,NA,-0.01,-5.5
-0.04,1981.042,NA,-0.04,-5.38
0.15,1981.208,NA,0.15,-5.25
-0.04,1981.374,NA,-0.04,-5.45
-0.04,1981.54,NA,-0.04,-5.44
0.1,1981.706,NA,0.1,-5.35
0.07,1981.872,NA,0.07,-5.24
