d18O (permil),year (AD),depth (cm),d18O (permil),d18O (permil)
-0.1,1914.46,NA,-0.1,-5.09
0,1914.54,NA,0,-5.16
-0.11,1914.62,NA,-0.11,-5.31
-0.34,1914.71,NA,-0.34,-5.53
-0.42,1914.79,NA,-0.42,-5.61
-0.34,1914.87,NA,-0.34,-5.56
-0.2,1914.96,NA,-0.2,-5.46
-0.18,1915.04,NA,-0.18,-5.45
-0.18,1915.12,NA,-0.18,-5.45
-0.15,1915.21,NA,-0.15,-5.38
-0.07,1915.29,NA,-0.07,-5.3
-0.03,1915.37,NA,-0.03,-5.23
-0.05,1915.46,NA,-0.05,-5.18
-0.08,1915.54,NA,-0.08,-5.11
-0.16,1915.62,NA,-0.16,-5.01
-0.25,1915.71,NA,-0.25,-4.92
-0.18,1915.79,NA,-0.18,-4.95
0.09,1915.87,NA,0.09,-5.01
0.17,1915.96,NA,0.17,-5.19
0.01,1916.04,NA,0.01,-5.25
0.01,1916.12,NA,0.01,-5.2
0.15,1916.21,NA,0.15,-4.9
-0.11,1916.29,NA,-0.11,-5.1
-0.25,1916.37,NA,-0.25,-5.22
-0.42,1916.46,NA,-0.42,-5.4
-0.36,1916.54,NA,-0.36,-5.4
-0.32,1916.62,NA,-0.32,-5.11
-0.1,1916.71,NA,-0.1,-4.85
0.02,1916.79,NA,0.02,-5.01
-0.06,1916.87,NA,-0.06,-5.2
-0.16,1916.96,NA,-0.16,-5.37
-0.33,1917.04,NA,-0.33,-5.5
-0.53,1917.12,NA,-0.53,-5.63
-0.57,1917.21,NA,-0.57,-5.67
-0.51,1917.29,NA,-0.51,-5.65
-0.45,1917.37,NA,-0.45,-5.57
-0.35,1917.46,NA,-0.35,-5.43
-0.3,1917.54,NA,-0.3,-5.35
-0.29,1917.62,NA,-0.29,-5.3
-0.16,1917.71,NA,-0.16,-5.21
-0.08,1917.79,NA,-0.08,-5.2
-0.02,1917.87,NA,-0.02,-5.2
-0.24,1917.96,NA,-0.24,-5.52
-0.3,1918.04,NA,-0.3,-5.5
-0.23,1918.12,NA,-0.23,-5.37
-0.17,1918.21,NA,-0.17,-5.29
-0.19,1918.29,NA,-0.19,-5.24
-0.24,1918.37,NA,-0.24,-5.24
-0.29,1918.46,NA,-0.29,-5.22
-0.24,1918.54,NA,-0.24,-5.04
-0.19,1918.62,NA,-0.19,-4.92
-0.12,1918.71,NA,-0.12,-4.86
-0.01,1918.79,NA,-0.01,-4.94
-0.01,1918.87,NA,-0.01,-5.11
-0.06,1918.96,NA,-0.06,-5.42
-0.19,1919.04,NA,-0.19,-5.48
-0.23,1919.12,NA,-0.23,-5.46
-0.35,1919.21,NA,-0.35,-5.52
-0.45,1919.29,NA,-0.45,-5.55
-0.31,1919.37,NA,-0.31,-5.38
-0.13,1919.46,NA,-0.13,-5.26
-0.35,1919.54,NA,-0.35,-5.2
-0.41,1919.62,NA,-0.41,-5.07
-0.5,1919.71,NA,-0.5,-5.07
-0.41,1919.79,NA,-0.41,-5.12
-0.13,1919.87,NA,-0.13,-5.12
0.04,1919.96,NA,0.04,-5.13
-0.16,1920.04,NA,-0.16,-5.34
-0.28,1920.12,NA,-0.28,-5.42
-0.28,1920.21,NA,-0.28,-5.39
-0.36,1920.29,NA,-0.36,-5.45
-0.41,1920.37,NA,-0.41,-5.46
-0.26,1920.46,NA,-0.26,-5.26
-0.2,1920.54,NA,-0.2,-5.01
-0.21,1920.62,NA,-0.21,-4.85
-0.21,1920.71,NA,-0.21,-4.74
-0.17,1920.79,NA,-0.17,-4.81
-0.04,1920.87,NA,-0.04,-4.92
0.08,1920.96,NA,0.08,-5
-0.01,1921.04,NA,-0.01,-5.09
-0.22,1921.12,NA,-0.22,-5.21
-0.53,1921.21,NA,-0.53,-5.24
-0.7,1921.29,NA,-0.7,-5.28
-0.67,1921.37,NA,-0.67,-5.3
-0.47,1921.46,NA,-0.47,-5.2
-0.36,1921.54,NA,-0.36,-5.06
-0.26,1921.62,NA,-0.26,-4.93
-0.22,1921.71,NA,-0.22,-4.89
0.05,1921.79,NA,0.05,-4.86
0.09,1921.87,NA,0.09,-5.06
-0.05,1921.96,NA,-0.05,-5.3
-0.14,1922.04,NA,-0.14,-5.37
-0.34,1922.12,NA,-0.34,-5.41
-0.48,1922.21,NA,-0.48,-5.38
-0.46,1922.29,NA,-0.46,-5.33
-0.35,1922.37,NA,-0.35,-5.3
-0.4,1922.46,NA,-0.4,-5.28
-0.53,1922.54,NA,-0.53,-5.21
-0.54,1922.62,NA,-0.54,-5.09
-0.47,1922.71,NA,-0.47,-4.96
-0.23,1922.79,NA,-0.23,-4.94
-0.02,1922.87,NA,-0.02,-5
0.06,1922.96,NA,0.06,-5.25
-0.08,1923.04,NA,-0.08,-5.31
-0.15,1923.12,NA,-0.15,-5.23
-0.21,1923.21,NA,-0.21,-5.21
-0.29,1923.29,NA,-0.29,-5.25
-0.4,1923.37,NA,-0.4,-5.27
-0.37,1923.46,NA,-0.37,-5.21
-0.46,1923.54,NA,-0.46,-5.17
-0.53,1923.62,NA,-0.53,-5.15
-0.48,1923.71,NA,-0.48,-5.07
-0.34,1923.79,NA,-0.34,-5.05
-0.28,1923.87,NA,-0.28,-5.08
-0.13,1923.96,NA,-0.13,-5.08
-0.11,1924.04,NA,-0.11,-5.07
-0.29,1924.12,NA,-0.29,-5.13
-0.41,1924.21,NA,-0.41,-5.11
-0.66,1924.29,NA,-0.66,-5.33
-0.86,1924.37,NA,-0.86,-5.43
-0.73,1924.46,NA,-0.73,-5.4
-0.64,1924.54,NA,-0.64,-5.35
-0.73,1924.62,NA,-0.73,-5.15
-0.59,1924.71,NA,-0.59,-4.87
-0.62,1924.79,NA,-0.62,-4.89
-0.34,1924.87,NA,-0.34,-5.04
0.1,1924.96,NA,0.1,-5.14
0.07,1925.04,NA,0.07,-5.16
-0.1,1925.12,NA,-0.1,-5.21
-0.33,1925.21,NA,-0.33,-5.34
-0.55,1925.29,NA,-0.55,-5.48
-0.73,1925.37,NA,-0.73,-5.59
-0.78,1925.46,NA,-0.78,-5.59
-0.73,1925.54,NA,-0.73,-5.5
-0.77,1925.62,NA,-0.77,-5.5
-0.46,1925.71,NA,-0.46,-5.35
-0.21,1925.79,NA,-0.21,-5.07
-0.19,1925.87,NA,-0.19,-5.2
-0.35,1925.96,NA,-0.35,-5.57
-0.29,1926.04,NA,-0.29,-5.38
-0.31,1926.12,NA,-0.31,-5.28
-0.5,1926.21,NA,-0.5,-5.42
-0.45,1926.29,NA,-0.45,-5.42
-0.45,1926.37,NA,-0.45,-5.41
