d18O (permil),year (AD),d13C (permil),d18O (permil) [2-1],year (AD) [2-1],d13C (permil) [2-1]
-5.7948,2008.17,-3.0168,-5.7525,2008.17,-2.064
-5.9789,2008.08,-2.948,-5.6928,2008.08,-1.6292
-6.0968,2008,-3.0032,-5.8325,2008,-1.7015
-6.1898,2007.92,-2.9378,-5.7752,2007.92,-2.0109
-6.1269,2007.83,-2.7529,-5.7137,2007.83,-2.1681
-6.2323,2007.75,-2.6312,-5.7815,2007.75,-2.225
-6.0399,2007.67,-2.6214,-5.7379,2007.67,-2.5113
-5.975,2007.58,-3.0745,-5.8062,2007.58,-2.6042
-5.8324,2007.5,-2.3822,-5.7644,2007.5,-2.529
-5.7222,2007.42,-2.5463,-5.65,2007.42,-2.1678
-5.5861,2007.33,-2.5597,-5.5929,2007.33,-1.9471
-5.68,2007.25,-2.6106,-5.5938,2007.25,-2.1919
-5.5943,2007.17,-2.7109,-5.5745,2007.17,-2.3942
-5.8893,2007.08,-2.9904,-5.7506,2007.08,-2.5424
-5.8749,2007,-2.9317,-5.8089,2007,-2.7644
-5.9583,2006.92,-2.8477,-5.9173,2006.92,-2.7669
-6.0408,2006.83,-2.4167,-5.7649,2006.83,-2.4335
-5.8828,2006.75,-2.5953,-5.69,2006.75,-2.3113
-6.0207,2006.67,-2.7337,-5.7804,2006.67,-2.3238
-5.9589,2006.58,-2.7021,-5.803,2006.58,-2.4085
-5.978,2006.5,-2.7788,-5.8607,2006.5,-2.5023
-6.1507,2006.42,-2.7746,-5.9495,2006.42,-2.9354
-5.8968,2006.33,-2.7187,-5.8859,2006.33,-2.8874
-5.7575,2006.25,-2.5919,-5.789,2006.25,-2.6432
-5.7607,2006.17,-2.7739,-5.7184,2006.17,-2.2433
-5.8842,2006.08,-2.9617,-5.7405,2006.08,-2.1708
-5.9601,2006,-2.9323,-5.7122,2006,-2.5314
-6.004,2005.92,-3.1151,-5.8608,2005.92,-2.5427
-6.1057,2005.83,-2.8265,-5.9879,2005.83,-2.812
-6.0416,2005.75,-2.8189,-6.0096,2005.75,-2.8138
-6.123,2005.67,-2.9346,-5.9122,2005.67,-2.5329
