year (CE),d18O (per mil)
2004.92,-4.393
2004.83,-4.94
2004.75,-5.02
2004.67,-5.39
2004.58,-5.2565
2004.5,-5.238
2004.42,-5.29424
2004.33,-5.14677
2004.25,-5.27134
2004.17,-4.79386
2004.08,-4.49063
2004,-4.297
2003.92,-4.39267
2003.83,-4.85067
2003.75,-5.177
2003.67,-5.382
2003.58,-5.48017
2003.5,-5.768
2003.42,-5.51225
2003.33,-5.03283
2003.25,-5.07525
2003.17,-4.64642
2003.08,-4.58087
2003,-4.712
2002.92,-4.73467
2002.83,-5.00733
2002.75,-5.349
2002.67,-5.418
2002.58,-5.62733
2002.5,-5.687
2002.42,-5.49251
2002.33,-5.26647
2002.25,-5.10691
2002.17,-5.05348
2002.08,-4.67143
2002,-4.551
2001.92,-4.728
2001.83,-4.603
2001.75,-4.8905
2001.67,-5.31833
2001.58,-5.43383
2001.5,-5.839
2001.42,-5.5553
2001.33,-5.39313
2001.25,-5.38513
2001.17,-5.02112
2001.08,-4.82118
2001,-4.836
2000.92,-4.871
2000.83,-5.13233
2000.75,-5.1055
2000.67,-5.37267
2000.58,-5.34517
2000.5,-5.634
2000.42,-5.63002
2000.33,-5.29448
2000.25,-5.04982
2000.17,-5.00474
2000.08,-4.56069
2000,-4.495
1999.92,-4.56367
1999.83,-4.97667
1999.75,-5.254
1999.67,-5.26067
1999.58,-5.57
1999.5,-5.67
1999.42,-5.32306
1999.33,-4.82828
1999.25,-4.91367
1999.17,-4.9985
1999.08,-4.71732
1999,-4.577
1998.92,-4.699
1998.83,-4.915
1998.75,-5.011
1998.67,-5.196
1998.58,-5.682
1998.5,-5.629
1998.42,-5.35672
1998.33,-5.30015
1998.25,-5.30959
1998.17,-5.31053
1998.08,-5.15866
1998,-4.83
1997.92,-4.758
1997.83,-4.76133
1997.75,-4.758
1997.67,-5.372
1997.58,-5.41833
1997.5,-5.563
1997.42,-5.43562
1997.33,-5.04764
1997.25,-5.02632
1997.17,-4.89589
1997.08,-4.64575
1997,-4.727
1996.92,-4.75933
1996.83,-4.93767
