year (AD),d18O (permil)
1981,-4.13
1980,-4.26
1979,-4.44
1978,-4.15
1977,-4.26
1976,-4.48
1975,-4.17
1974,NA
1973,NA
1972,-4.65
1971,-4.37
1970,-4.35
1969,-4.54
1968,-4.35
1967,-4.14
1966,-4.23
1965,-4.54
1964,-4.31
1963,-4.38
1962,-4.44
1961,NA
1960,NA
1959,NA
1958,NA
1957,NA
1956,NA
1955,NA
1954,NA
1953,-4.18
1952,-3.94
1951,-3.92
1950,-3.5
1949,-3.84
1948,-4.03
1947,-3.67
1946,-3.79
1945,-3.69
1944,-3.68
1943,-3.88
1942,-4.09
1941,-4.29
1940,-4.2
1939,-4.04
1938,-3.81
1937,-3.93
1936,-3.96
1935,-3.83
1934,-4.05
1933,-3.86
1932,-4.09
1931,-4.01
1930,-4.12
1929,-3.9
1928,-3.71
1927,-3.88
1926,-3.81
1925,-4.02
1924,-4
1923,-4.04
1922,-4.17
1921,-3.99
1920,-3.89
1919,-4.02
1918,-4.16
1917,-3.65
1916,-4
1915,-3.89
1914,-3.81
1913,-3.9
1912,-3.95
1911,-4.08
1910,-3.82
1906,-4.13
1905,-4.34
1904,-3.94
1903,-4.21
1902,-4.32
1901,-4.14
1900,-3.75
1899,-3.71
1898,-3.96
1897,-3.85
1896,-4.15
1895,-4
1894,-4.07
1893,-4.06
1892,-3.9
1891,-4.05
1890,-3.69
1889,-4.08
1888,-4.54
1887,-4.29
1886,-4.19
1885,-4.08
1884,-4.25
1883,-3.79
1882,-3.84
1881,-4.02
1880,-3.97
1879,-3.72
1878,-3.99
1877,-4.05
1876,-4.15
1875,-4.04
1874,-4.12
1873,-4.3
1872,-4
1871,-4.3
1870,-4.32
1869,-4.15
1868,-4.13
1867,-4
1866,-4.26
1865,-4.41
1864,-4.34
1863,-4.17
1862,-4.02
1861,-4.06
1860,-4.1
1859,-3.91
1858,-3.9
1857,-3.85
1856,-4.01
1855,-3.96
1854,-4.11
1853,-4.26
1852,-4
1851,-4.09
1850,-3.97
1849,-3.77
1848,-3.67
1847,-4.15
1846,-3.98
1845,-3.94
1844,-3.7
1843,-4.03
1842,-4.12
1841,-4.04
1840,-4.45
1839,-4.05
1838,-4.23
1837,-4.25
1836,-3.95
1835,-3.81
1834,-3.67
1833,-3.91
1832,-4
1831,-4.33
1830,-4.25
1829,-3.94
1828,-4.17
1827,-4.26
1826,-3.99
1825,-4.13
1824,-4
1823,-4.28
1822,-3.86
1821,-3.84
1820,-4.04
1819,-4
1818,-3.95
1817,-4.02
1816,-3.93
1815,-3.84
1814,-3.78
1813,-3.89
1812,-3.79
1811,-3.54
1810,-3.67
1809,-3.97
1808,-3.81
1807,-4.09
1806,-3.69
1805,-3.69
1804,-4
1803,-3.83
1802,-3.81
1801,-4.03
1800,-4.29
1799,-4.24
1798,-4.19
1797,-3.83
1796,-4.12
1795,-4.34
1794,-3.93
1793,-4.02
1792,-4.22
1791,-4.29
1790,-4.17
1789,-3.89
1788,-3.95
1787,-3.86
1786,-4.23
1785,-3.88
1784,-3.99
1783,-3.78
1782,-4.01
1781,-3.95
1780,-3.98
1779,-4.26
1778,-4.1
1777,-3.74
1776,-4.04
1775,-3.96
1774,-3.96
1773,-4.05
1772,-4.12
1771,-4.23
1770,-3.99
1769,-3.86
1768,-4.09
1767,-4.08
1766,-4.03
1765,-3.82
1764,-3.98
1763,-4.37
1762,-4.44
1761,-4.38
1760,-4.25
1759,-4
1758,-4.17
1757,-4.1
1756,-3.85
1755,-4.08
1754,-4.13
1753,-4.07
1752,-3.99
1751,-4.3
1750,-3.74
1749,-4.26
1748,-4.29
1747,-4.13
1746,-4.01
1745,-3.95
1744,-4.25
1743,-3.84
1742,-4.1
1741,-4.24
1740,-4.06
1739,-4.13
1738,-3.94
1737,-4.03
1736,-4.1
1735,-4.12
1734,-4.1
1733,-4.39
1732,-3.95
1731,-4.01
1730,-3.93
1729,-4.27
1728,-4
1727,-4.08
1726,-4.06
1725,-4.02
1724,-4.08
1723,-4.03
1722,-4.08
1721,-4.29
1720,-4.06
1719,-4.13
1718,-4.13
1717,-4.06
1716,-4.04
1715,-4.17
1714,-4.24
1713,-4.12
1712,-4.17
1711,-3.99
1710,-3.93
1709,-4.19
1708,-4.05
1707,-4.18
1706,-4.21
1705,-4.01
1704,-4.18
1703,-4.5
1702,-4.13
1701,-3.67
1700,-3.73
1699,-4
1698,-4.18
1697,-3.87
1696,-3.62
1695,-3.9
1694,-4.03
1693,-3.99
1692,-3.98
1691,-3.85
1690,-3.99
1689,-3.96
1688,-3.99
1687,-4.21
1686,-4.1
1685,-4.05
1684,-3.77
1683,-3.95
1682,-3.88
1681,-4.06
1680,-3.94
1679,-4.1
1678,-3.75
1677,-3.75
1676,-3.84
1675,-4.1
1674,-4.32
1673,-4.02
1672,-4.15
1671,-4.07
1670,-4.31
1669,-4.06
1668,-4.08
1667,-4.08
1666,-4.21
1665,-4.11
1664,-4.04
1663,-3.98
1662,-4.1
1661,-4.14
1660,-4.12
1659,-4.07
1658,-4.23
1657,-3.91
1656,-3.96
1655,-3.79
1654,-3.98
1653,-4.12
1652,-4.27
1651,-4.01
1650,-3.9
1649,-3.61
1648,-3.67
1647,-4.06
1646,-3.98
1645,-3.73
1644,-3.83
1643,-4.01
1642,-3.92
1641,-3.74
1640,-3.94
1639,-3.62
1638,-3.58
1637,-3.63
1636,-3.97
1635,-3.73
1634,-3.99
1633,-4.31
1632,-4.05
1631,-3.38
1630,-3.85
1629,-3.87
1628,-4.16
1627,-4.01
1626,-3.82
1625,-3.77
1624,-3.7
1623,-4.32
1622,-4.11
1621,-4.27
1620,-3.86
1619,-4.04
1618,-4.02
1617,-3.9
1616,-3.89
1615,-3.76
1614,-3.8
1613,-3.77
1612,-3.88
1611,-4.09
1610,-4.12
1609,-3.57
1608,-3.94
1607,-4.42
1607,-4.42
