d18O (permil),year (AD),depth (cm)
-3.69,1986,NA
-4.08,1985,NA
-3.64,1984,NA
-3.37,1983,NA
-3.35,1982,NA
-3.57,1981,NA
-3.95,1980,NA
-3.72,1979,NA
-4.17,1978,NA
-3.52,1977,NA
-4.06,1976,NA
-3.89,1975,NA
-3.62,1974,NA
-3.45,1973,NA
-3.75,1972,NA
-3.64,1971,NA
-3.28,1970,NA
-3.47,1969,NA
-3.93,1968,NA
-3.69,1967,NA
-3.72,1966,NA
-3.03,1965,NA
-3.13,1964,NA
-3.39,1963,NA
-3.54,1962,NA
-3.57,1961,NA
-4.04,1960,NA
-3.88,1959,NA
-3.9,1958,NA
-3.72,1957,NA
-3.87,1956,NA
-3.4,1955,NA
-3.55,1954,NA
-3.53,1953,NA
-3.59,1952,NA
-3.41,1951,NA
-3.63,1950,NA
-3.56,1949,NA
-3.69,1948,NA
-3.62,1947,NA
-3.67,1946,NA
-3.41,1945,NA
-3.29,1944,NA
-3.36,1943,NA
-3.74,1942,NA
-3.86,1941,NA
-3.78,1940,NA
-3.81,1939,NA
-3.56,1938,NA
-3.94,1937,NA
-3.95,1936,NA
-4.35,1935,NA
-4.25,1934,NA
-3.95,1933,NA
-3.85,1932,NA
-3.54,1931,NA
-3.85,1930,NA
-3.91,1929,NA
-3.5,1928,NA
-3.47,1927,NA
-3.38,1926,NA
-3.36,1925,NA
-3.37,1924,NA
-3.65,1923,NA
-3.57,1922,NA
-3.72,1921,NA
-3.78,1920,NA
-3.96,1919,NA
-3.8,1918,NA
-3.73,1917,NA
-3.39,1916,NA
-3.59,1915,NA
-3.71,1914,NA
-3.58,1913,NA
-3.31,1912,NA
-3.15,1911,NA
-3.4,1910,NA
-3.49,1909,NA
-3.49,1908,NA
-3.61,1907,NA
-3.89,1906,NA
-3.46,1905,NA
-3.65,1904,NA
-3.79,1903,NA
-3.27,1902,NA
-3.34,1901,NA
-3.38,1900,NA
-3.39,1899,NA
-3.71,1898,NA
-3.12,1897,NA
-3.31,1896,NA
-3.33,1895,NA
-3.51,1894,NA
-3.37,1893,NA
-3.57,1892,NA
-3.8,1891,NA
-3.74,1890,NA
-3.48,1889,NA
-3.78,1888,NA
-3.51,1887,NA
-3.29,1886,NA
-3.46,1885,NA
-3.52,1884,NA
-3.71,1883,NA
-3.43,1882,NA
-3.44,1881,NA
-3.26,1880,NA
-3.35,1879,NA
-3.21,1878,NA
-3.47,1877,NA
-3.68,1876,NA
-3.28,1875,NA
-3.43,1874,NA
-3.4,1873,NA
-3.76,1872,NA
-3.57,1871,NA
-3.35,1870,NA
-3.06,1869,NA
-3.67,1868,NA
-3.17,1867,NA
-3.75,1866,NA
-3.67,1865,NA
-3.94,1864,NA
-3.56,1863,NA
-3.42,1862,NA
-3.84,1861,NA
-3.51,1860,NA
-3.28,1859,NA
-3.38,1858,NA
-3.3,1857,NA
-3.42,1856,NA
-3.31,1855,NA
-3.45,1854,NA
-3.76,1853,NA
-3.53,1852,NA
-3.58,1851,NA
-3.9,1850,NA
-3.86,1849,NA
-3.94,1848,NA
-4.02,1847,NA
-3.62,1846,NA
-4.06,1845,NA
-3.86,1844,NA
-4.11,1843,NA
-3.86,1842,NA
-3.27,1841,NA
-3.12,1840,NA
-3.41,1839,NA
-3.25,1838,NA
-3.78,1837,NA
-3.72,1836,NA
-3.81,1835,NA
-3.85,1834,NA
-3.53,1833,NA
-3.49,1832,NA
-3.65,1831,NA
-3.68,1830,NA
-3.66,1829,NA
-3.6,1828,NA
-3.58,1827,NA
-3.62,1826,NA
-3.44,1825,NA
-3.49,1824,NA
-3.43,1823,NA
-3.45,1822,NA
-3.52,1821,NA
-3.4,1820,NA
-3.38,1819,NA
-3.89,1818,NA
-3.77,1817,NA
-3.6,1816,NA
-3.43,1815,NA
-3.21,1814,NA
-2.99,1813,NA
-2.99,1812,NA
-3.15,1811,NA
-3.39,1810,NA
-3.41,1809,NA
-3.68,1808,NA
-3.69,1807,NA
-3.43,1806,NA
-3.6,1805,NA
-3.37,1804,NA
-3.44,1803,NA
-3.54,1802,NA
-3.54,1801,NA
-3.52,1800,NA
-2.85,1799,NA
-3,1798,NA
-3.41,1797,NA
-3.51,1796,NA
-3.66,1795,NA
-3.83,1794,NA
-3.68,1793,NA
-3.46,1792,NA
-3.46,1791,NA
-3.58,1790,NA
-3.71,1789,NA
-3.51,1788,NA
-3.42,1787,NA
-3.32,1786,NA
-3.66,1785,NA
-3.74,1784,NA
-3.41,1783,NA
-3.37,1782,NA
-2.97,1781,NA
-3.5,1780,NA
-3.55,1779,NA
-3.57,1778,NA
-3.44,1777,NA
-3.57,1776,NA
-3.5,1775,NA
-3.46,1774,NA
-3.43,1773,NA
-3.74,1772,NA
-3.46,1771,NA
-3.32,1770,NA
-3.23,1769,NA
-3.41,1768,NA
-3.26,1767,NA
-3.24,1766,NA
-3.35,1765,NA
-3.62,1764,NA
-3.55,1763,NA
-3.57,1762,NA
-3.44,1761,NA
-3.5,1760,NA
-3.25,1759,NA
-3.37,1758,NA
-3.74,1757,NA
-3.81,1756,NA
-3.74,1755,NA
-3.66,1754,NA
-3.59,1753,NA
-3.81,1752,NA
-3.99,1751,NA
