d18O (permil),year (AD),depth (cm)
-2.54,1985,NA
-2.49,1984,NA
-2.8,1983,NA
-3.2,1982,NA
-2.81,1981,NA
-2.6,1980,NA
-2.91,1979,NA
-2.58,1978,NA
-2.49,1977,NA
-2.4,1976,NA
-2.15,1975,NA
-2.02,1974,NA
-2.42,1973,NA
-2.2,1972,NA
-2.51,1971,NA
-2.33,1970,NA
-1.94,1969,NA
-2.91,1968,NA
-2.38,1967,NA
-2.54,1966,NA
-2.23,1965,NA
-2.3,1964,NA
-2.14,1963,NA
-1.98,1962,NA
-1.94,1961,NA
-2.48,1960,NA
-2.6,1959,NA
-2.47,1958,NA
-2.62,1957,NA
-2.6,1956,NA
-2.31,1955,NA
-2.34,1954,NA
-2.35,1953,NA
-2.69,1952,NA
-2.41,1951,NA
-2.47,1950,NA
-2.33,1949,NA
-2.36,1948,NA
-3.02,1947,NA
-2.58,1946,NA
-2.49,1945,NA
-2.21,1944,NA
-2.71,1943,NA
-2.5,1942,NA
-2.63,1941,NA
-2.3,1940,NA
-2.02,1939,NA
-2.39,1938,NA
-2.4,1937,NA
-2.55,1936,NA
-2.38,1935,NA
-2.1,1934,NA
-2.82,1933,NA
-2.47,1932,NA
-2.33,1931,NA
-2.13,1930,NA
-2.6,1929,NA
-2.46,1928,NA
-2.2,1927,NA
-2.3,1926,NA
-2.24,1925,NA
-2.23,1924,NA
-2.49,1923,NA
-2.12,1922,NA
-2.63,1921,NA
-2.68,1920,NA
-2.48,1919,NA
-2.37,1918,NA
-2.31,1917,NA
-2.3,1916,NA
-2.04,1915,NA
-2.22,1914,NA
-1.92,1913,NA
-2.11,1912,NA
-2.28,1911,NA
-2.19,1910,NA
-2.58,1909,NA
-3.1,1908,NA
-2.76,1907,NA
-2.45,1906,NA
-2.98,1905,NA
-2.5,1904,NA
-2.78,1903,NA
-2.77,1902,NA
-2.87,1901,NA
-3.86,1900,NA
-3.04,1899,NA
-3.73,1898,NA
-3,1897,NA
-2.71,1896,NA
-2.99,1895,NA
-3.21,1894,NA
-2.82,1893,NA
-3.22,1892,NA
-2.84,1891,NA
-2.53,1890,NA
-2.75,1889,NA
-1.84,1888,NA
-1.96,1887,NA
-2.29,1886,NA
-2.31,1885,NA
-2.49,1884,NA
-1.89,1883,NA
-1.64,1882,NA
-2.49,1881,NA
-2.47,1880,NA
-2.54,1879,NA
-2.24,1878,NA
-2.45,1877,NA
-2.38,1876,NA
-2.02,1875,NA
-2.67,1874,NA
-2.66,1873,NA
-2.95,1872,NA
-3.52,1871,NA
-3.39,1870,NA
-3.09,1869,NA
-3.02,1868,NA
-3.11,1867,NA
-2.73,1866,NA
-2.8,1865,NA
-2.66,1864,NA
-2.38,1863,NA
-2.69,1862,NA
-2.03,1861,NA
-2.44,1860,NA
-2.35,1859,NA
-2.31,1858,NA
-2.84,1857,NA
-3.46,1856,NA
-3.01,1855,NA
-3.24,1854,NA
-2.66,1853,NA
-2.54,1852,NA
-2.34,1851,NA
-2.71,1850,NA
-3.1,1849,NA
-3.33,1848,NA
-2.97,1847,NA
-3.21,1846,NA
-2.3,1845,NA
-2.81,1844,NA
-2.64,1843,NA
-2.69,1842,NA
-2.71,1841,NA
-2.73,1840,NA
-2.19,1839,NA
-1.96,1838,NA
-2.06,1837,NA
-2.92,1836,NA
-2.88,1835,NA
-2.81,1834,NA
-3.48,1833,NA
-3.25,1832,NA
-3.08,1831,NA
-3.07,1830,NA
-3.23,1829,NA
-2.74,1828,NA
-3.02,1827,NA
-3.13,1826,NA
-3.5,1825,NA
-2.91,1824,NA
