d18O (permil),year (AD),year (AD) [1-2],d18O (permil) [1-2]
-5.07,1951.94,1891.75,-3.72
-5.05,1952.05,1892,-3.79
-4.87,1952.15,1892.25,-3.83
-4.48,1952.19,1892.5,-3.75
-4.36,1952.23,1892.75,-3.64
-4.51,1952.27,1893,-3.4
-4.67,1952.31,1893.25,-3.14
-4.5,1952.36,1893.5,-2.91
-4.55,1952.4,1893.75,-2.7
-4.61,1952.44,1894,-2.89
-4.68,1952.48,1894.25,-3.32
-4.83,1952.52,1894.5,-3.6
-4.8,1952.56,1894.75,-3.73
-4.8,1952.66,1895,-3.88
-4.77,1952.76,1895.25,-4.08
-4.69,1952.87,1895.5,-4.3
-4.65,1952.97,1895.75,-4.59
-4.88,1953.07,1896,-4.83
-5.03,1953.17,1896.25,-4.78
-4.92,1953.25,1896.5,-4.68
-4.9,1953.34,1896.75,-4.69
-4.82,1953.42,1897,-4.73
-4.77,1953.5,1897.25,-4.78
-4.56,1953.59,1897.5,-4.82
-4.54,1953.67,1897.75,-4.8
-4.84,1953.7,1898,-4.64
-4.84,1953.73,1898.25,-4.49
-4.82,1953.76,1898.5,-4.34
-4.92,1953.79,1898.75,-4.2
-5.2,1953.81,1899,-4.26
-5.09,1953.84,1899.25,-4.38
-5.35,1953.87,1899.5,-4.64
-5.37,1953.9,1899.75,-4.86
-5.37,1953.94,1900,-4.81
-5.06,1953.99,1900.25,-4.71
-5.11,1954.03,1900.5,-4.73
-5.17,1954.07,1900.75,-4.5
-4.96,1954.12,1901,-4.8
-4.64,1954.16,1901.25,-4.71
-4.54,1954.2,1901.5,-4.66
-4.66,1954.25,1901.75,-4.59
-4.55,1954.29,1902,-4.34
-4.58,1954.33,1902.25,-4.19
-4.6,1954.38,1902.5,-4.39
-4.5,1954.42,1902.75,-4.3
-4.57,1954.48,1903,-4.3
-4.69,1954.54,1903.25,-4.27
-4.53,1954.61,1903.5,-3.9
-4.57,1954.67,1903.75,-3.75
-4.52,1954.73,1904,-3.86
-4.4,1954.79,1904.25,-3.98
-4.44,1954.86,1904.5,-3.99
-4.44,1954.92,1904.75,-4.12
-4.47,1954.98,1905,-4.4
-4.46,1955.04,1905.25,-4.51
-4.33,1955.1,1905.5,-4.64
-4.36,1955.17,1905.75,-4.79
-4.53,1955.23,1906,-4.72
-4.56,1955.29,1906.25,-4.61
-4.36,1955.35,1906.5,-4.5
-4.43,1955.42,1906.75,-4.48
-4.61,1955.48,1907,-4.54
-4.49,1955.54,1907.25,-4.65
-4.43,1955.57,1907.5,-4.71
-4.31,1955.61,1907.75,-4.87
-4.48,1955.64,1908,-5
-4.41,1955.67,1908.25,-4.94
-4.34,1955.71,1908.5,-4.74
-4.33,1955.74,1908.75,-4.35
-4.27,1955.77,1909,-3.94
-4.31,1955.8,1909.25,-3.96
-4.36,1955.84,1909.5,-4.29
-4.27,1955.87,1909.75,-4.68
-4.3,1955.93,1910,-5
-4.35,1955.99,1910.25,-5.04
-4.34,1956.05,1910.5,-4.96
-4.42,1956.12,1910.75,-4.84
-4.34,1956.18,1911,-4.77
-4.46,1956.24,1911.25,-4.9
-4.58,1956.3,1911.5,-5.08
-4.42,1956.36,1911.75,-5.24
-4.38,1956.42,1912,-5.37
-4.4,1956.49,1912.25,-5.31
-4.52,1956.55,1912.5,-5.19
-4.5,1956.61,1912.75,-5.1
-4.48,1956.67,1913,-4.92
-4.52,1956.73,1913.25,-4.71
-4.46,1956.79,1913.5,-4.59
-4.49,1956.85,1913.75,-4.85
-4.44,1956.92,1914,-5.01
-4.58,1956.98,1914.25,-4.98
-4.78,1957.04,1914.5,-4.94
-4.96,1957.1,1914.75,-4.9
-4.76,1957.18,1915,-4.78
-4.64,1957.26,1915.25,-4.64
-4.55,1957.34,1915.5,-4.53
-4.64,1957.43,1915.75,-4.46
-4.63,1957.51,1916,-4.48
-4.76,1957.59,1916.25,-4.49
-4.9,1957.67,1916.5,-4.5
-5.02,1957.75,1916.75,-4.4
-5.03,1957.82,1917,-4.26
-5.04,1957.9,1917.25,-4.33
-4.93,1957.97,1917.5,-4.48
-4.99,1958.04,1917.75,-4.48
-4.99,1958.11,1918,-4.98
-4.9,1958.19,1918.25,-4.64
-4.86,1958.26,1918.5,-5.04
-5.05,1958.33,1918.75,-5.16
-4.97,1958.4,1919,-5.52
-4.81,1958.48,1919.25,-5.58
-4.63,1958.55,1919.5,-5.14
-4.77,1958.62,1919.75,-4.97
-4.88,1958.69,1920,-4.99
-5.06,1958.77,1920.25,-4.98
-5.07,1958.84,1920.5,-4.76
-5.11,1958.91,1920.75,-4.84
-5.1,1958.94,1921,-4.72
-5.08,1958.97,1921.25,-4.63
-5.1,1959,1921.5,-4.69
-5.05,1959.03,1921.75,-4.8
-4.67,1959.07,1922,-4.95
-4.66,1959.1,1922.25,-4.78
-4.44,1959.13,1922.5,-4.89
-4.87,1959.16,1922.75,-4.86
-5.02,1959.19,1923,-4.85
-5.17,1959.22,1923.25,-4.96
-4.98,1959.27,1923.5,-5.02
-4.97,1959.33,1923.75,-5.2
-4.93,1959.38,1924,-5.34
-4.75,1959.44,1924.25,-4.93
-4.86,1959.49,1924.5,-4.43
-5.01,1959.55,1924.75,-4.39
-4.85,1959.6,1925,-4.47
-4.79,1959.66,1925.25,-4.46
-4.8,1959.71,1925.5,-4.6
-4.57,1959.77,1925.75,-4.98
-4.56,1959.82,1926,-5.14
-4.72,1959.88,1926.25,-5.15
-4.66,1959.93,1926.5,-4.96
-4.76,1959.98,1926.75,-4.77
-4.73,1960.04,1927,-4.59
-4.76,1960.09,1927.25,-4.33
-4.78,1960.15,1927.5,-4.24
-4.57,1960.2,1927.75,-4.46
-4.53,1960.26,1928,-4.63
-4.39,1960.31,1928.25,-4.54
-4.47,1960.37,1928.5,-4.55
-4.53,1960.42,1928.75,-4.55
-4.52,1960.48,1929,-4.63
-4.68,1960.53,1929.25,-4.81
-4.68,1960.58,1929.5,-4.83
-4.5,1960.64,1929.75,-4.9
-4.32,1960.69,1930,-4.89
-4.45,1960.75,1930.25,-5.07
-4.4,1960.8,1930.5,-5.2
-4.52,1960.86,1930.75,-5.05
-4.32,1960.91,1931,-4.67
-4.41,1960.97,1931.25,-4.57
-4.54,1961.02,1931.5,-4.47
