d18O (permil),year (AD),depth (cm),d18O (permil) [1-2],year (AD) [1-2]
-17.34,1997,NA,-17.8,1996
-18.58,1990,NA,-18.79,1995
-17.67,1980,NA,-16.49,1994
-17.97,1970,NA,-14.62,1993
-17.91,1960,NA,-16.99,1992
-17.14,1950,NA,-16.27,1991
-18.41,1940,NA,-18.94,1990
-19.01,1930,NA,-17.64,1989
-19.78,1920,NA,-20.78,1988
-18.58,1910,NA,-15.91,1987
-20.24,1900,NA,-20.15,1986
-18.65,1890,NA,-21.89,1985
-18.65,1880,NA,-19.7,1984
-20.2,1870,NA,-18.04,1983
-18.98,1860,NA,-14.74,1982
-19.72,1850,NA,-17.74,1981
-19.97,1840,NA,-19.18,1980
-19.35,1830,NA,-14.28,1979
-20.67,1820,NA,-20.2,1978
-19.63,1810,NA,-17.3,1977
-18.67,1800,NA,-15.38,1976
-21.52,1790,NA,-19.82,1975
-21.04,1780,NA,-18.61,1974
-21.08,1770,NA,-16.35,1973
-19.63,1760,NA,-17.58,1972
-19.29,1750,NA,-18.16,1971
-21.99,1740,NA,-18.97,1970
-19.77,1730,NA,-19.35,1969
-20.68,1720,NA,-17.84,1968
-19.93,1710,NA,-16.65,1967
-19.42,1700,NA,-17.06,1966
-19.58,1690,NA,-15.35,1965
-19.28,1680,NA,-20.55,1964
-20.63,1670,NA,-17.46,1963
-20.72,1660,NA,-18.49,1962
-19.95,1650,NA,-17.81,1961
-20.04,1640,NA,-19.12,1960
-20.84,1630,NA,-19.75,1959
-21.29,1620,NA,-19.59,1958
-20.78,1610,NA,-17.73,1957
-21.1,1600,NA,-17.14,1956
-20.83,1590,NA,-18.62,1955
-20.53,1580,NA,-17.51,1954
-20.71,1570,NA,-21.05,1953
-20.69,1560,NA,-17.13,1952
-19.98,1550,NA,-15.89,1951
-20.56,1540,NA,-14.72,1950
-20.71,1530,NA,-18,1949
-21.33,1520,NA,-17.18,1948
-20.56,1510,NA,-15.28,1947
-19.93,1500,NA,-16.86,1946
-20.34,1490,NA,-14.67,1945
-20.58,1480,NA,-17.04,1944
-20.77,1470,NA,-19.88,1943
-20.24,1460,NA,-17.64,1942
-21.29,1450,NA,-16.13,1941
-20.6,1440,NA,-18.68,1940
-21.38,1430,NA,-16.34,1939
-20.79,1420,NA,-20.95,1938
-21.09,1410,NA,-17.04,1937
-20.46,1400,NA,-18.59,1936
-19.81,1390,NA,-19.8,1935
-20.6,1380,NA,-19.89,1934
-20.71,1370,NA,-17.44,1933
-20.27,1360,NA,-16.6,1932
-20.36,1350,NA,-18.89,1931
-20.69,1340,NA,-18.54,1930
-21.03,1330,NA,-20.78,1929
-20.41,1320,NA,-19,1928
-21.12,1310,NA,-18.08,1927
-20.35,1300,NA,-19.92,1926
-20.42,1290,NA,-20.21,1925
-21,1280,NA,-18.79,1924
-20.24,1270,NA,-21.59,1923
-20.44,1260,NA,-19.79,1922
-21.12,1250,NA,-16.18,1921
-19.67,1240,NA,-15.78,1920
-20.89,1230,NA,-14.73,1919
-21.3,1220,NA,-18.49,1918
-20.69,1210,NA,-19.78,1917
-21.34,1200,NA,-19.25,1916
-20.78,1190,NA,-22,1915
-21.08,1180,NA,-21.65,1914
-20.98,1170,NA,-19.72,1913
-20.77,1160,NA,-19.46,1912
-20.5,1150,NA,-20.16,1911
