d18O (permil),year (AD)
-32.22,1992
-31.1,1991
-27.35,1990
-26.98,1989
-28.86,1988
-29.64,1987
-26.77,1986
-27.57,1985
-28.6,1984
-27.31,1983
-26.51,1982
-27.45,1981
-28.04,1980
-26.56,1979
-27.76,1978
-30.81,1977
-31.17,1976
-28.68,1975
-27.52,1974
-28.89,1973
-30.09,1972
-29.92,1971
-30.11,1970
-29.83,1969
-29.13,1968
-29.06,1967
-28.04,1966
-28.62,1965
-30.21,1964
-27.88,1963
-29.09,1962
-29.46,1961
-29.27,1960
-28.93,1959
-30.61,1958
-27.51,1957
-26.49,1956
-27.66,1955
-28.66,1954
-29.97,1953
-29.95,1952
-29.04,1951
-28.61,1950
-26.42,1949
-27.33,1948
-29.45,1947
-27.62,1946
-26.85,1945
-29.21,1944
-29.82,1943
-28.91,1942
-27.84,1941
-26.39,1940
-27.38,1939
-28.63,1938
-28.87,1937
-29.17,1936
-29.2,1935
-27.91,1934
-28.23,1933
-30.18,1932
-29.32,1931
-28.34,1930
-28.29,1929
-29.26,1928
-29.72,1927
-29.7,1926
-29.15,1925
-29.27,1924
-29.46,1923
-28.12,1922
-27.27,1921
-28.79,1920
-29.55,1919
-27.26,1918
-26.88,1917
-27.06,1916
-27.07,1915
-28.23,1914
-28,1913
-26.8,1912
-26.86,1911
-27.75,1910
-28.52,1909
-29.04,1908
-29.24,1907
-28.97,1906
-27.85,1905
-27.67,1904
-28.63,1903
-28.69,1902
-27.09,1901
-27.38,1900
-28.03,1899
-28.95,1898
-29.59,1897
-30.41,1896
-29.85,1895
-28.55,1894
-28.7,1893
-28.47,1892
-27.2,1891
-26.74,1890
-27.28,1889
-27.26,1888
-28.67,1887
-28.43,1886
-26.63,1885
-29.22,1884
-29.39,1883
-28.21,1882
-27.97,1881
-29,1880
-29.36,1879
-29.36,1878
-29.65,1877
-29.8,1876
-29.71,1875
-29.36,1874
-29.21,1873
-28.93,1872
-29.29,1871
-29.96,1870
-30.26,1869
-29.96,1868
-30.05,1867
-30.05,1866
-28.68,1865
-27.96,1864
-29.15,1863
-31.29,1862
-30.66,1861
-29.89,1860
-29.52,1859
