d18O (permil),year (AD),depth (m)
-27.14,1960,23.1
-26.76,1940,36.1
-26.94,1920,47.05
-27.86,1900,56.05
-27.63,1880,64.7
-27.23,1860,72.55
-27.74,1840,79.85
-27.77,1820,86.6
-27.49,1800,92.85
-27.38,1780,98.65
-27.47,1760,104.5
-27.74,1740,111.25
-27.65,1720,117.15
-27.97,1700,122.25
-27.07,1680,127.2
-27.26,1660,131.35
-27.35,1640,136.35
-27.63,1620,140.2
-27.56,1600,144.25
-27.34,1580,148.4
-27.61,1560,151.9
-27.13,1540,155.525
-27.01,1520,159.075
-27.5,1500,162.525
-27.32,1480,166.075
-27.48,1460,169.075
-26.73,1440,172.15
-27.58,1420,174.575
-26.71,1400,177.15
-26.72,1380,179.35
-27.6,1360,181.925
-27.63,1340,184.475
-27,1320,186.8
-27.17,1300,188.975
-27.71,1280,191.375
-27.46,1260,193.975
-27.78,1240,195.775
-27.32,1220,197.475
-27,1200,199.125
-27.5,1180,201.15
-26.55,1160,202.726
-27.21,1140,204.3
-27.46,1120,205.842
-27.11,1100,207.352
-27.41,1080,208.832
-27.76,1060,210.282
-27.35,1040,211.703
-27.42,1020,213.096
-27.15,1000,214.462
-27.16,980,215.802
-26.81,960,217.115
-27.29,940,218.405
-27.16,920,219.667
-27.39,900,220.882
-26.92,880,222.02
-27.07,860,223.07
-27.03,840,224.093
-26.9,820,225.099
-27.52,800,226.089
-27.88,780,227.06
-26.51,760,228.013
-26.96,740,228.947
-27.2,720,229.862
-27.42,700,230.756
-27.67,680,231.629
-27.28,660,232.48
-27.52,640,233.31
-27.07,620,234.116
-27.29,600,234.899
-27.46,580,235.658
-27.02,560,236.392
-26.89,540,237.101
-27.27,520,237.785
-26.97,500,238.451
-27.2,480,239.101
-27.86,460,239.736
-26.97,440,240.355
-26.71,420,240.96
-26.45,400,241.55
-27.11,380,242.127
-27.26,360,242.69
-27.26,340,243.239
-26.86,320,243.776
-27.73,300,244.301
-26.79,280,244.814
-27.59,260,245.315
-27.33,240,245.805
-27.62,220,246.284
-27.5,200,246.753
-27.43,180,247.212
-26.89,160,247.659
-27.25,140,248.093
-26.53,120,248.513
-27.33,100,248.921
-27.73,80,249.319
-26.81,60,249.706
-27.08,40,250.084
-27.21,20,250.455
-26.96,0,250.818
-27.16,-20,251.176
-26.1,-40,251.53
-26.98,-60,251.879
-27.7,-80,252.222
-26.96,-100,252.558
-27.09,-120,252.887
-27.37,-140,253.21
-26.73,-160,253.527
-27.14,-180,253.839
-27.45,-200,254.145
-27.59,-220,254.447
-27.45,-240,254.744
-26.85,-260,255.037
-27.27,-280,255.33
-26.97,-300,255.624
-26.95,-320,255.918
-27.89,-340,256.211
-27.56,-360,256.503
-27.34,-380,256.794
-27.4,-400,257.083
-26.85,-420,257.371
-27.32,-440,257.655
-27.16,-460,257.937
-27.77,-480,258.216
-27.62,-500,258.491
-26.65,-520,258.762
-26.79,-540,259.028
-26.74,-560,259.29
-26.92,-580,259.546
-27.09,-600,259.797
-27.49,-620,260.041
-26.83,-640,260.28
-26.96,-660,260.511
-26.76,-680,260.735
-26.75,-700,260.951
-27.6,-720,261.159
-27.34,-740,261.359
-27.25,-760,261.55
-26.84,-780,261.734
-27.03,-800,261.911
-27.13,-820,262.083
-26.7,-840,262.248
-27.33,-860,262.41
-27.02,-880,262.567
-26.88,-900,262.722
-27.18,-920,262.874
-27.24,-940,263.025
-26.77,-960,263.175
-26.36,-980,263.325
-27.04,-1000,263.476
-26.91,-1020,263.628
-26.7,-1040,263.783
-27.15,-1060,263.941
-26.95,-1080,264.103
-27.12,-1100,264.267
-26.97,-1120,264.433
-26.86,-1140,264.601
-27.36,-1160,264.771
-26.37,-1180,264.943
-26.82,-1200,265.116
-27.17,-1220,265.29
-27.14,-1240,265.465
-27.02,-1260,265.642
-26.59,-1280,265.819
-27.13,-1300,265.998
-26.74,-1320,266.177
-26.81,-1340,266.356
-26.93,-1360,266.536
-27.28,-1380,266.716
-26.63,-1400,266.897
-26.91,-1420,267.077
-26.95,-1440,267.258
-26.87,-1460,267.438
-26.6,-1480,267.618
-26.89,-1500,267.797
-27.17,-1520,267.976
-26.61,-1540,268.154
-26.79,-1560,268.331
-27.22,-1580,268.508
-26.44,-1600,268.683
-26.18,-1620,268.857
-26.39,-1640,269.029
-26.42,-1660,269.2
-26.62,-1680,269.37
-26.56,-1700,269.538
-26.61,-1720,269.703
-26.94,-1740,269.867
-26.78,-1760,270.029
-26.47,-1780,270.188
-27.2,-1800,270.346
-27.09,-1820,270.5
