d18O (permil),year (AD)
-27.97,0
-27.97,1
-27.97,2
-28,3
-28,4
-28,5
-28,6
-28,7
-28.52,8
-29.3,9
-29.3,10
-29.3,11
-29.3,12
-29.3,13
-29.27,14
-29.21,15
-29.21,16
-29.21,17
-29.21,18
-29.21,19
-28.37,20
-26.91,21
-26.91,22
-26.91,23
-26.91,24
-26.91,25
-26.71,26
-26.44,27
-26.44,28
-26.44,29
-26.44,30
-26.44,31
-26.96,32
-27.52,33
-27.52,34
-27.52,35
-27.52,36
-27.52,37
-27.78,38
-27.99,39
-27.99,40
-27.99,41
-27.99,42
-27.99,43
-28.13,44
-28.26,45
-28.26,46
-28.26,47
-28.26,48
-28.26,49
-29.28,50
-29.9,51
-29.9,52
-29.9,53
-29.9,54
-29.9,55
-29.89,56
-29.88,57
-29.88,58
-29.88,59
-29.88,60
-29.88,61
-28.72,62
-28.49,63
-28.49,64
-28.49,65
-28.49,66
-28.49,67
-26.72,68
-26.4,69
-26.4,70
-26.4,71
-26.4,72
-26.4,73
-26.79,74
-26.8,75
-26.8,76
-26.8,77
-26.8,78
-26.81,79
-26.87,80
-26.87,81
-26.87,82
-26.87,83
-26.87,84
-27.32,85
-28.55,86
-28.55,87
-28.55,88
-28.55,89
-28.55,90
-29.08,91
-29.78,92
-29.78,93
-29.78,94
-29.78,95
-29.78,96
-29.6,97
-29.41,98
-29.41,99
-29.41,100
-29.41,101
-29.41,102
-29.02,103
-28.83,104
-28.83,105
-28.83,106
-28.83,107
-28.83,108
-28.42,109
-28.36,110
-28.36,111
-28.36,112
-28.36,113
-28.34,114
-28.11,115
-28.11,116
-28.11,117
-28.11,118
-28.11,119
-28.24,120
-28.6,121
-28.6,122
-28.6,123
-28.6,124
-28.6,125
-28.08,126
-27.26,127
-27.26,128
-27.26,129
-27.26,130
-27.26,131
-27.26,132
-27.24,133
-27.24,134
-27.24,135
-27.24,136
-27.24,137
-27.24,138
-26.83,139
-26.71,140
-26.71,141
-26.71,142
-26.71,143
-26.71,144
-27.13,145
-27.58,146
-27.58,147
-27.58,148
-27.58,149
-27.58,150
-27.62,151
-27.98,152
-27.98,153
-27.98,154
-27.98,155
-27.98,156
-27.98,157
-28.25,158
-28.31,159
-28.31,160
-28.31,161
-28.31,162
-28.31,163
-29.05,164
-29.61,165
-29.61,166
-29.61,167
-29.61,168
-29.61,169
-29.41,170
-28.69,171
-28.69,172
-28.69,173
-28.69,174
-28.69,175
-28.69,176
-28.23,177
-28.22,178
-28.22,179
-28.22,180
-28.22,181
-28.22,182
-27.82,183
-27.69,184
-27.69,185
-27.69,186
-27.69,187
-27.69,188
-27.82,189
-27.93,190
-27.93,191
-27.93,192
-27.93,193
-27.93,194
-27.83,195
-27.51,196
-27.51,197
-27.51,198
-27.51,199
-27.51,200
-27.52,201
-27.65,202
-27.65,203
-27.65,204
-27.65,205
-27.65,206
-27.65,207
-28.04,208
-28.09,209
-28.09,210
-28.09,211
-28.09,212
-28.09,213
-28.44,214
-28.58,215
-28.58,216
-28.58,217
-28.58,218
-28.58,219
-28.58,220
-28.59,221
-28.59,222
-28.59,223
-28.59,224
-28.59,225
-28.67,226
-28.84,227
-28.84,228
-28.84,229
-28.84,230
-28.84,231
-28.67,232
-27.92,233
-27.92,234
-27.92,235
-27.92,236
-27.92,237
-27.92,238
-27.79,239
-27.79,240
-27.79,241
-27.79,242
-27.79,243
-27.79,244
-27.88,245
-27.9,246
-27.9,247
-27.9,248
-27.9,249
-27.9,250
-28.01,251
-28.04,252
-28.04,253
-28.04,254
-28.04,255
-28.04,256
-28.3,257
-28.42,258
-28.42,259
-28.42,260
-28.42,261
-28.42,262
-28.42,263
-28.41,264
-28.41,265
-28.41,266
-28.41,267
-28.41,268
-28.35,269
-28.27,270
-28.27,271
-28.27,272
-28.27,273
-28.27,274
-28.36,275
-28.49,276
-28.49,277
-28.49,278
-28.49,279
-28.49,280
-28.01,281
-27.15,282
-27.15,283
-27.15,284
-27.15,285
-27.15,286
-27.25,287
-27.58,288
-27.58,289
-27.58,290
-27.58,291
-27.58,292
-27.43,293
-26.96,294
-26.96,295
-26.96,296
-26.96,297
-26.96,298
-27.35,299
-28.41,300
-28.41,301
-28.41,302
-28.41,303
-28.41,304
-28.35,305
-28.13,306
-28.13,307
-28.13,308
-28.13,309
-28.13,310
-27.86,311
-27.17,312
-27.17,313
-27.17,314
-27.17,315
-27.17,316
-27.76,317
-28.71,318
-28.71,319
-28.71,320
-28.71,321
-28.71,322
-28.36,323
-28.02,324
-28.02,325
-28.02,326
-28.02,327
-28.02,328
-27.95,329
-27.89,330
-27.89,331
-27.89,332
-27.89,333
-27.89,334
-27.69,335
-27.62,336
-27.62,337
-27.62,338
-27.62,339
-27.62,340
-27.76,341
-27.77,342
-27.77,343
-27.77,344
-27.77,345
-27.78,346
-27.8,347
-27.8,348
-27.8,349
-27.8,350
-27.8,351
-27.31,352
-26.5,353
-26.5,354
-26.5,355
-26.5,356
-26.5,357
-27.4,358
-27.81,359
-27.81,360
-27.81,361
-27.81,362
-27.84,363
-28.75,364
-28.75,365
-28.75,366
-28.75,367
-28.75,368
-28.74,369
-28.72,370
-28.72,371
-28.72,372
-28.72,373
-28.72,374
-27.54,375
-27.11,376
-27.11,377
-27.11,378
-27.11,379
-27.22,380
-27.69,381
-27.69,382
-27.69,383
-27.69,384
-27.69,385
-28.08,386
-28.26,387
-28.26,388
-28.26,389
-28.26,390
-28.17,391
-27.48,392
-27.48,393
-27.48,394
-27.48,395
-27.48,396
-27.77,397
-27.9,398
-27.9,399
-27.9,400
-27.9,401
-27.91,402
-27.95,403
-27.95,404
-27.95,405
-27.95,406
-27.95,407
-27.39,408
-27.35,409
-27.35,410
-27.35,411
-27.35,412
-27.22,413
-27.11,414
-27.11,415
-27.11,416
-27.11,417
-27.31,418
-27.85,419
-27.85,420
-27.85,421
-27.85,422
-27.85,423
-28.49,424
-28.69,425
-28.69,426
-28.69,427
-28.69,428
-28.49,429
-28.05,430
-28.05,431
-28.05,432
-28.05,433
-28.05,434
-26.97,435
-26.95,436
-26.95,437
-26.95,438
-26.95,439
-26.85,440
-26.78,441
-26.78,442
-26.78,443
-26.78,444
-27.18,445
-28.17,446
-28.17,447
-28.17,448
-28.17,449
-28.17,450
-27.9,451
-27.9,452
-27.9,453
-27.9,454
-27.9,455
-27.69,456
-27.63,457
-27.63,458
-27.63,459
-27.63,460
-27.68,461
-27.72,462
-27.72,463
-27.72,464
-27.72,465
-27.99,466
-28.23,467
-28.23,468
-28.23,469
-28.23,470
-28.19,471
-28.13,472
-28.13,473
-28.13,474
-28.13,475
-27.98,476
-27.71,477
-27.71,478
-27.71,479
-27.71,480
-27.58,481
-27.33,482
-27.33,483
-27.33,484
-27.33,485
-27.54,486
-27.88,487
-27.88,488
-27.88,489
-27.88,490
-27.44,491
-27.06,492
-27.06,493
-27.06,494
-27.06,495
-27.45,496
-27.66,497
-27.66,498
-27.66,499
-27.66,500
-28.65,501
-28.88,502
-28.88,503
-28.88,504
-28.88,505
-29.22,506
-29.22,507
-29.22,508
-29.22,509
-29.16,510
-28.97,511
-28.97,512
-28.97,513
-28.97,514
-28.68,515
-28.5,516
-28.5,517
-28.5,518
-28.5,519
-28.36,520
-28.35,521
-28.35,522
-28.35,523
-28.35,524
-28.36,525
-28.36,526
-28.36,527
-28.36,528
-28.12,529
-27.63,530
-27.63,531
-27.63,532
-27.63,533
-27.38,534
-26.96,535
-26.96,536
-26.96,537
-26.96,538
-26.88,539
-26.77,540
-26.77,541
-26.77,542
-26.77,543
-27.11,544
-27.47,545
-27.47,546
-27.47,547
-27.47,548
-27.2,549
-27.04,550
-27.04,551
-27.04,552
-27.04,553
-27.65,554
-27.91,555
-27.91,556
-27.91,557
-27.91,558
-27.38,559
-27.23,560
-27.23,561
-27.23,562
-27.23,563
-27.08,564
-27.06,565
-27.06,566
-27.06,567
-27.06,568
-27.14,569
-27.14,570
-27.14,571
-27.14,572
-27.18,573
-27.65,574
-27.65,575
-27.65,576
-27.65,577
-27.88,578
-28.88,579
-28.88,580
-28.88,581
-28.88,582
-28.78,583
-28.56,584
-28.56,585
-28.56,586
-28.56,587
-27.94,588
-27.36,589
-27.36,590
-27.36,591
-27.36,592
-27.34,593
-27.33,594
-27.33,595
-27.33,596
-27.33,597
-27.58,598
-27.63,599
-27.63,600
-27.63,601
-27.63,602
-28.02,603
-28.03,604
-28.03,605
-28.03,606
-28.24,607
-29.35,608
-29.35,609
-29.35,610
-29.35,611
-29.25,612
-29.07,613
-29.07,614
-29.07,615
-29.07,616
-28.79,617
-28.56,618
-28.56,619
-28.56,620
-28.56,621
-27.15,622
-26.7,623
-26.7,624
-26.7,625
-26.72,626
-27.08,627
-27.08,628
-27.08,629
-27.08,630
-27.29,631
-27.8,632
-27.8,633
-27.8,634
-27.8,635
-28.22,636
-28.41,637
-28.41,638
-28.41,639
-28.43,640
-29.62,641
-29.62,642
-29.62,643
-29.62,644
-29.56,645
-29.4,646
-29.4,647
-29.4,648
-29.4,649
-28.87,650
-28.5,651
-28.5,652
-28.5,653
-28.5,654
-27.8,655
-27.71,656
-27.71,657
-27.71,658
-27.79,659
-28.11,660
-28.11,661
-28.11,662
-28.11,663
-28.62,664
-29.04,665
-29.04,666
-29.04,667
-29.04,668
-29,669
-28.99,670
-28.99,671
-28.99,672
-29.05,673
-29.21,674
-29.21,675
-29.21,676
-29.21,677
-29.8,678
-30.04,679
-30.04,680
-30.04,681
-29.92,682
-28.93,683
-28.93,684
-28.93,685
-28.93,686
-28.62,687
-28.34,688
-28.34,689
-28.34,690
-28.34,691
-27.79,692
-27.76,693
-27.76,694
-27.76,695
-27.62,696
-27.41,697
-27.41,698
-27.41,699
-27.41,700
-27.21,701
-27.18,702
-27.18,703
-27.18,704
-27.25,705
-27.4,706
-27.4,707
-27.4,708
-27.4,709
-27.45,710
-27.46,711
-27.46,712
