d18O (permil),year (AD)
-34.16,0
-33.69,1
-36.28,2
-35.48,3
-34.06,4
-33.54,5
-34.71,6
-36.81,7
-36.32,8
-34.07,9
-34.67,10
-36.69,11
-36.21,12
-36.35,13
-34.02,14
-35.47,15
-35.47,16
-35.21,17
-36.07,18
-36.04,19
-36.91,20
-36.75,21
-34.94,22
-36.45,23
-36.51,24
-35.75,25
-35,26
-34.56,27
-35.31,28
-35.66,29
-34.76,30
-34.18,31
-35.33,32
-33.93,33
-34.29,34
-35.02,35
-34.16,36
-35.28,37
-33.58,38
-34.76,39
-35.77,40
-35.66,41
-35.68,42
-35.63,43
-35.53,44
-34.87,45
-35.02,46
-36.1,47
-34.81,48
-34.9,49
-35.4,50
-32.6,51
-32.42,52
-35.52,53
-33.49,54
-34.46,55
-34.03,56
-32.77,57
-34.7,58
-34.29,59
-33.9,60
-33.83,61
-34.25,62
-34.58,63
-34.44,64
-34.2,65
-33.6,66
-33.81,67
-35.08,68
-36.17,69
-35.08,70
-33.43,71
-34.28,72
-34.43,73
-32.71,74
-33.79,75
-35.35,76
-34.65,77
-34.26,78
-35.04,79
-36.1,80
-34.82,81
-35.36,82
-33.49,83
-34.88,84
-36.17,85
-34.13,86
-34.01,87
-33.54,88
-33.59,89
-34.59,90
-34.87,91
-35.78,92
-35.35,93
-34.85,94
-37.4,95
-35.55,96
-35.14,97
-36.12,98
-36.08,99
-34.09,100
-33.35,101
-33.43,102
-34.67,103
-34.77,104
-35.55,105
-35.84,106
-34.68,107
-34.54,108
-32.5,109
-32.85,110
-34.16,111
-34,112
-35.71,113
-36.54,114
-35.56,115
-34.79,116
-34.89,117
-34.12,118
-33.45,119
-34.57,120
-35.67,121
-35.32,122
-35.3,123
-36.4,124
-36.64,125
-35.93,126
-36.57,127
-37.53,128
-35.82,129
-34.73,130
-35.53,131
-33.83,132
-34.71,133
-34.88,134
-34.87,135
-34.47,136
-34.51,137
-36.04,138
-35.17,139
-35.07,140
-35.38,141
-34.93,142
-36.92,143
-35.94,144
-35.67,145
-34.99,146
-32.08,147
-33.28,148
-34.44,149
-35.3,150
-33.72,151
-33.97,152
-35.28,153
-36.79,154
-34.86,155
-35.58,156
-36.2,157
-36.73,158
-33.85,159
-34.57,160
-35.61,161
-35.04,162
-36.53,163
-36.96,164
-36.06,165
-38.48,166
-38.69,167
-35.41,168
-36.12,169
-37.44,170
-36.34,171
-35.07,172
-34.45,173
-33.6,174
-33.99,175
-33.63,176
-33.69,177
-32.42,178
-34.78,179
-36,180
-35.47,181
-34.82,182
-35.9,183
-35.07,184
-35.91,185
-35.64,186
-35.82,187
-34.55,188
-35.44,189
-36.19,190
-35.44,191
-35.19,192
-35.53,193
-34.69,194
-35.27,195
-36.44,196
-35.9,197
-35.98,198
-34.58,199
-35.44,200
-34.33,201
-34.55,202
-35.85,203
-35.97,204
-35.57,205
-35.69,206
-35.52,207
-36.22,208
-35.71,209
-35.28,210
-34.68,211
-35.67,212
-36.7,213
-35.11,214
-34.78,215
-35.44,216
-34.91,217
-35.58,218
-35.69,219
-36.11,220
-35.4,221
-35.11,222
-35.08,223
-35.25,224
-36.42,225
-36.11,226
-36.33,227
-35.66,228
-35.42,229
-38.03,230
-37.62,231
-36.09,232
-34.99,233
-35.46,234
-37.08,235
-36.38,236
-34.15,237
-34.51,238
-36.82,239
-37.75,240
-35.82,241
-35.11,242
-35.64,243
-37.52,244
-35.82,245
-36.79,246
-36.33,247
-34.26,248
-34.24,249
-35.06,250
-36.24,251
-35.38,252
-34.64,253
-33.97,254
-34.34,255
-32.87,256
-35.93,257
-37.79,258
-36.39,259
-35.89,260
-36.01,261
-35.69,262
-34.73,263
-36.96,264
-36.05,265
-33.77,266
-33.86,267
-33.23,268
-33.87,269
-33.88,270
-35,271
-34.63,272
-35.01,273
-35.62,274
-34.65,275
-34.98,276
-35.14,277
-36.14,278
-34.66,279
-36.7,280
-35.13,281
-34.96,282
-34.76,283
-34.83,284
-36.88,285
-35.42,286
-36.27,287
-35.69,288
-36.07,289
-35.85,290
-35.09,291
-35.59,292
-36.91,293
-37.43,294
-36.78,295
-35.18,296
-35.58,297
-35.47,298
-35.8,299
-35.47,300
-34.53,301
-33.74,302
-35.02,303
-37.26,304
-35.47,305
-35.94,306
-35.93,307
-34.42,308
-33.25,309
-33.64,310
-34.89,311
-35.56,312
-35.64,313
-36.3,314
-36.29,315
-35.3,316
-36.6,317
-36.28,318
-34.85,319
-35.12,320
-35.71,321
-36.13,322
-35.22,323
-34.33,324
-35.56,325
-35.41,326
-35.39,327
-36.93,328
-36.08,329
-35.42,330
-33.98,331
-34.68,332
-34.96,333
-36.26,334
-35.97,335
-36.17,336
-35.56,337
-34.81,338
-36.21,339
-37.44,340
-36.36,341
-35.92,342
-35.95,343
-35.52,344
-36.16,345
-36.66,346
-36.46,347
-34.71,348
-35.74,349
-36.1,350
-36.37,351
-35.72,352
-34.79,353
-34.21,354
-34.39,355
-35.43,356
-35.88,357
-37.11,358
-36.2,359
-34.73,360
-35.75,361
-35.45,362
-36.41,363
-36.72,364
-36.13,365
-35.29,366
-37.39,367
-35.01,368
-34.85,369
-35.27,370
-35.72,371
-32.69,372
-34.27,373
-35.19,374
-34.63,375
-34.52,376
-35.41,377
-35.33,378
-34.03,379
-32.82,380
-33.72,381
-34.12,382
-35.34,383
-34.31,384
-33.41,385
-34.06,386
-34.4,387
-34.91,388
-34.56,389
-34.55,390
-34.95,391
-34.59,392
-33.07,393
-34.69,394
-36.31,395
-36.52,396
-36.63,397
-35.7,398
-34.74,399
-34.77,400
-33.87,401
-34.97,402
-35.75,403
-34.93,404
-35.4,405
-34.25,406
-34.56,407
-34,408
-33.57,409
-34.34,410
-33.82,411
-33.18,412
-34.65,413
-35.79,414
-33.89,415
-34.08,416
-34.13,417
-34.45,418
-35.2,419
-35.44,420
-34.84,421
-35.33,422
-34.63,423
-36.41,424
-37.46,425
-37.49,426
-35.71,427
-36.08,428
-35.81,429
-35.62,430
-35.35,431
-35.12,432
-36.27,433
-36.18,434
-35.62,435
-35.42,436
-34.48,437
-36.26,438
-36.92,439
-36.5,440
-35.81,441
-36.63,442
-36.91,443
-36.16,444
-34.73,445
-34.45,446
-35,447
-35.8,448
-35.48,449
-34.69,450
-35.19,451
-35.5,452
-33.87,453
-33.5,454
-35.26,455
-35.59,456
-35.16,457
-35.99,458
-34.87,459
-35.24,460
-36.91,461
-34.58,462
-35.52,463
-34.37,464
-33.61,465
-33.12,466
-35.38,467
-35.39,468
-35.5,469
-35.24,470
-36.57,471
-36.73,472
-37.22,473
-36.49,474
-36.12,475
-36,476
-34.88,477
-34.32,478
-36.19,479
-36.61,480
-37.49,481
-35.6,482
-34.92,483
-35.91,484
-36.83,485
-35.46,486
-36.54,487
-37.4,488
-35.49,489
-34.83,490
-37.11,491
-36.02,492
-35.13,493
-34.1,494
-34.54,495
-34.99,496
-35.74,497
-36.09,498
-35.71,499
-36.08,500
-36,501
-36.18,502
-35.68,503
-35.86,504
-36.75,505
-36.25,506
-34.32,507
-35.02,508
-36.19,509
-35.44,510
-35.96,511
-36.96,512
-35.93,513
-35.12,514
-33.1,515
-33.92,516
-34.56,517
-34.14,518
-33.18,519
-34.35,520
-35.5,521
-36.35,522
-36.08,523
-35.09,524
-35.16,525
-34.88,526
-36,527
-35.18,528
-35.9,529
-38.05,530
-37.42,531
-36.97,532
-36.44,533
-35,534
-34.69,535
-34.51,536
-35.6,537
-36.77,538
-36.24,539
-36.53,540
-36.04,541
-35.39,542
-34.07,543
-34.78,544
-34.53,545
-36.1,546
-35.5,547
-32.56,548
-30.72,549
-32.85,550
-35.59,551
-34.87,552
-34.43,553
-34.58,554
-34.03,555
-34.43,556
-33.55,557
-33.19,558
-34.99,559
-34.56,560
-34.03,561
-34.32,562
-35.5,563
-37.01,564
-38.42,565
-35.82,566
-35.11,567
-35.67,568
-35.35,569
-36.6,570
-34.45,571
-32.9,572
-33.48,573
-35.04,574
-36.63,575
-36.79,576
-35.94,577
-34.21,578
-34.78,579
-34.95,580
-34.84,581
-34.23,582
-35.26,583
-36.57,584
-35.88,585
-35.63,586
-35.12,587
-35,588
-35.13,589
-35.83,590
-35.86,591
-33.68,592
-34.29,593
-35.5,594
-35.54,595
-34.23,596
-34.56,597
-34.43,598
-35.65,599
-36.8,600
-35.48,601
-35.55,602
-34.67,603
-35.42,604
-34.68,605
-34.17,606
-36.66,607
-35.5,608
-34.87,609
-34.79,610
-35.57,611
-35.55,612
-33.72,613
-35.1,614
-37.04,615
-36.8,616
-33.96,617
-34.08,618
-35.19,619
-35.25,620
-35.5,621
-35.75,622
-35.26,623
-34.82,624
-34.98,625
-35.28,626
-37.15,627
-35.64,628
-33.79,629
-35.44,630
-35.89,631
-34.69,632
-36.48,633
-35.38,634
-35.73,635
-36.36,636
-36.61,637
-36.11,638
-33.64,639
-32.8,640
-33.81,641
-35,642
-35.38,643
-34.69,644
-33.93,645
-33.91,646
-36.61,647
-36.96,648
-35.7,649
-33.85,650
-35.19,651
-34.47,652
-34.71,653
-34.84,654
-35.9,655
-34.78,656
-33.62,657
-34.45,658
-34.6,659
-32.94,660
-33.83,661
-34.24,662
-36.06,663
-33.87,664
-32.86,665
-34.89,666
-36.37,667
-34.93,668
-34.27,669
-34.59,670
-35.21,671
-34.79,672
-34.88,673
-36.94,674
-37.19,675
-36.93,676
-35.37,677
-37.06,678
-37.64,679
-34.6,680
-34.6,681
-37.7,682
-34.88,683
-34.84,684
-34.9,685
-34.2,686
-36.18,687
-36.36,688
-35.18,689
-34.07,690
-34.47,691
-35.09,692
-35.73,693
-36.22,694
-36.01,695
-34.64,696
-34.92,697
-35.17,698
-36.66,699
-35.91,700
-35.3,701
-35.95,702
-35.24,703
-35.38,704
-36.04,705
-34.12,706
-34.73,707
-35.59,708
-35.89,709
-35.95,710
-35,711
-35.2,712
-36.29,713
-36.08,714
-34.03,715
-34.9,716
-36.88,717
-34.32,718
-34,719
-35.69,720
-36.1,721
-36.23,722
-36.16,723
-35.52,724
-35.97,725
-35.81,726
-33.5,727
-34.41,728
-34.5,729
-34.3,730
-33.3,731
-35.07,732
-35.04,733
-35.27,734
-36.23,735
-35.44,736
-36.87,737
-37.32,738
-36.66,739
-35.24,740
-34.02,741
-34.32,742
-34.7,743
-33.89,744
-34.22,745
-34.82,746
-35.27,747
-34.63,748
-34.62,749
-35.56,750
-35.23,751
-37.24,752
-35.6,753
-35.71,754
-37.02,755
-35.53,756
-36.61,757
-34.57,758
-34.47,759
-34.3,760
-36.2,761
-36.5,762
-35.01,763
-35.59,764
-36.67,765
-35.75,766
-35.63,767
-36.07,768
-33.72,769
-34.65,770
-34.81,771
-34.1,772
-34.36,773
-34.67,774
-35.37,775
-35.27,776
-36.55,777
-36.51,778
-34.77,779
-35.13,780
-35.49,781
-35.93,782
-35.21,783
-34.83,784
-35.04,785
-35.37,786
-34.89,787
-35.94,788
-36.05,789
-35.82,790
-34.1,791
-34.67,792
-35.04,793
-35.96,794
-35.48,795
-34.05,796
-35.33,797
-36.36,798
-37.64,799
-37.12,800
-34.93,801
-36.45,802
-36.58,803
-35.35,804
-36.05,805
-33.74,806
-34.02,807
-35.22,808
-37.53,809
-38.19,810
-36.77,811
-36.25,812
-35.25,813
-35.4,814
-34.97,815
-34.77,816
-34.27,817
-32.27,818
-33.58,819
-34.32,820
-34.23,821
-35.1,822
-36.97,823
-37.33,824
-35.86,825
-35.02,826
-33.43,827
-34.48,828
-37.15,829
-36.55,830
-34.79,831
-35.66,832
-35.74,833
-35.87,834
-37.01,835
-36.98,836
-33.77,837
-33.63,838
-36.26,839
-34.2,840
-34.82,841
-37.08,842
-36.1,843
-36.72,844
-33.49,845
-35.6,846
-37.22,847
-36.2,848
-36.02,849
-36.14,850
-36.25,851
-36.45,852
