dD (permil),year (AD),depth (cm),dD (permil)
-285.7,1970,NA,-252.9
-290,1969,NA,-208
-279.2,1968,NA,-236.8
-286.2,1967,NA,-252
-294.8,1966,NA,-219.8
-278.9,1965,NA,-256.5
-287.5,1964,NA,-246.9
-281.7,1963,NA,-252.1
-259.4,1962,NA,-241.1
-284.6,1961,NA,-224.4
-286.5,1960,NA,-252.5
-299.5,1959,NA,-225.1
-280.7,1958,NA,-241.5
-303.3,1957,NA,-262.9
-311.2,1956,NA,-264.3
-287.3,1955,NA,-252.4
-294.1,1954,NA,-254.5
-285.8,1953,NA,-226.7
-284.8,1952,NA,-251.2
-292.2,1951,NA,-255.1
-295.7,1950,NA,-235.8
-294.9,1949,NA,-262.5
-294.6,1948,NA,-239.3
-269.4,1947,NA,-246.7
-275.8,1946,NA,-255.6
-308.8,1945,NA,-249.4
-300.9,1944,NA,-246.3
-280.4,1943,NA,-274.8
-265.6,1942,NA,-214.5
-281.3,1941,NA,-243
-280.4,1940,NA,-234.2
-278.5,1939,NA,-228.4
-282.5,1938,NA,-255.7
-309,1937,NA,-251.5
-273,1936,NA,-245.3
-281.9,1935,NA,-226.9
-284.4,1934,NA,-220.7
-295.1,1933,NA,-247.5
-274.4,1932,NA,-227.1
-305.1,1931,NA,-237.2
-292.6,1930,NA,-246.1
-292,1929,NA,-244.1
-294.5,1928,NA,-225.8
-272.3,1927,NA,-231.1
-311.7,1926,NA,-275.2
-306.9,1925,NA,-245.4
-305.4,1924,NA,-286.5
-318,1923,NA,-245.2
-312,1922,NA,-261.6
-300.4,1921,NA,-265
-293.4,1920,NA,-256.2
-300,1919,NA,-260.5
-331.7,1918,NA,-246.2
-295.6,1917,NA,-266.7
-278.8,1916,NA,-227.1
-333.3,1915,NA,-238.5
-312.4,1914,NA,-247.2
-304,1913,NA,-263.6
-296.2,1912,NA,-243.1
-301.2,1911,NA,-247.6
-299,1910,NA,-233.3
-283.4,1909,NA,-212.6
-268,1908,NA,-229
-325.3,1907,NA,-242.2
-310.7,1906,NA,-248.3
-270.8,1905,NA,-252.8
-312.8,1904,NA,-240.7
-269,1903,NA,-240
-346,1902,NA,-235.3
-303.7,1901,NA,-211.7
-310.8,1900,NA,-200.8
-300.1,1899,NA,-270.8
-279.1,1898,NA,-215.6
-325,1897,NA,-249.7
-314.4,1896,NA,-242.6
-282.5,1895,NA,-254.6
-303.5,1894,NA,-238
-316.1,1893,NA,-208.7
-275.6,1892,NA,-247.3
-310.6,1891,NA,-235.6
-286.6,1890,NA,-208.5
-307.9,1889,NA,-259.4
-269.6,1888,NA,-240.9
-304.5,1887,NA,-246.1
-327.2,1886,NA,-234.2
-306.5,1885,NA,-248.9
-286.3,1884,NA,-249
-302.8,1883,NA,-236.4
-297.1,1882,NA,-239.6
-290.6,1881,NA,-234.6
-312.7,1880,NA,-230.8
-267.8,1879,NA,-231.4
-309.8,1878,NA,-241.2
-313.1,1877,NA,-223.5
-287.6,1876,NA,-215.2
-271.7,1875,NA,-251.9
-289.7,1874,NA,-223.5
-315.8,1873,NA,-254.9
