d18O (permil),year (AD),depth (cm),d18O (permil)
-29.4,1970,NA,-26.93
-26.56,1969,NA,-24.45
-27.75,1968,NA,-26.68
-28.88,1967,NA,-26.57
-29.61,1966,NA,-29.2
-27.24,1965,NA,-26.84
-29.06,1964,NA,-25.01
-27.54,1963,NA,-27.09
-29,1962,NA,-27.48
-27.2,1961,NA,-25.8
-25.89,1960,NA,-25.59
-26.85,1959,NA,-25.42
-30.18,1958,NA,-26.14
-28.22,1957,NA,-26.33
-27.88,1956,NA,-27.06
-27.65,1955,NA,-26.1
-27.75,1954,NA,-25.79
-27.34,1953,NA,-24.25
-30.19,1952,NA,-27.07
-27.52,1951,NA,-27.54
-25.85,1950,NA,-25.18
-31.16,1949,NA,-27.61
-25.42,1948,NA,-26.44
-25.55,1947,NA,-23.7
-26.1,1946,NA,-24.99
-27.98,1945,NA,-24.95
-28.71,1944,NA,-26.35
-30.01,1943,NA,-28.73
-26.25,1942,NA,-27.26
-26.61,1941,NA,-23.76
-26.18,1940,NA,-25.04
-27.24,1939,NA,-25.74
-29.26,1938,NA,-26.48
-25.62,1937,NA,-25.92
-28.51,1936,NA,-26.85
-27.98,1935,NA,-25.3
-27.45,1934,NA,-26.68
-25.94,1933,NA,-24.65
-29.42,1932,NA,-22.75
-27.83,1931,NA,-26.42
-27.9,1930,NA,-27.47
-28.59,1929,NA,-24.77
-27.63,1928,NA,-27.6
-29.32,1927,NA,-24.9
-28.02,1926,NA,-27.88
-28.06,1925,NA,-25.22
-28.9,1924,NA,-26.63
-28.49,1923,NA,-26.84
-28.54,1922,NA,-26.11
-28.49,1921,NA,-28.07
-28.84,1920,NA,-24.28
-30.4,1919,NA,-27.76
-28.47,1918,NA,-27.35
-25.75,1917,NA,-25.42
-27.76,1916,NA,-26.03
-29.83,1915,NA,-26.8
-28.88,1914,NA,-27.03
-28.34,1913,NA,-27.12
-28.1,1912,NA,-26.68
-28.68,1911,NA,-26.24
-28.62,1910,NA,-27.88
-25.77,1909,NA,-25.88
-29.12,1908,NA,-26.03
-30.95,1907,NA,-28.9
-29.28,1906,NA,-27.73
-28.49,1905,NA,-27.84
-28.48,1904,NA,-27.58
-29.17,1903,NA,-28.33
-27.57,1902,NA,-28.07
-28.24,1901,NA,-24.6
-29.42,1900,NA,-27.84
-27.8,1899,NA,-26.45
-29.66,1898,NA,-25.44
-27.1,1897,NA,-26.22
-28.05,1896,NA,-27.47
-28.45,1895,NA,-24.62
-29.99,1894,NA,-28.01
-28.15,1893,NA,-26.68
-27.65,1892,NA,-26.23
-26.7,1891,NA,-26.63
-30.08,1890,NA,-26.68
-28.72,1889,NA,-26.2
-31.06,1888,NA,-27.91
-29.31,1887,NA,-28.67
-28.83,1886,NA,-27.64
-27.45,1885,NA,-27.16
-28.75,1884,NA,-24.55
-28.77,1883,NA,-27.49
-30.29,1882,NA,-26.84
-28.11,1881,NA,-26.82
-29.66,1880,NA,-26.53
-29.49,1879,NA,-26.27
-30.77,1878,NA,-28.93
-27.6,1877,NA,-30.02
-28.16,1876,NA,-26.18
-28.82,1875,NA,-27.16
-26.94,1874,NA,-28.45
-29.12,1873,NA,-26.26
-27.8,1872,NA,-27.03
-28.14,1871,NA,-26.12
-28.21,1870,NA,-24.71
-28.69,1869,NA,-28.31
-28.34,1868,NA,-26.34
-27.68,1867,NA,-26.77
-28.5,1866,NA,-27.18
-27.06,1865,NA,-26.05
-27.53,1864,NA,-25.78
-26.27,1863,NA,-26.27
-27.5,1862,NA,-24.5
-27.08,1861,NA,-25.27
-27.66,1860,NA,-25.85
-29.05,1859,NA,-27.07
-28.3,1858,NA,-25.11
-29.96,1857,NA,-28.95
-27.53,1856,NA,-26.78
-28.7,1855,NA,-26
-29.86,1854,NA,-28.55
-29.64,1853,NA,-26.9
-28.12,1852,NA,-27.43
-28.37,1851,NA,-27.34
-28.55,1850,NA,-27.48
-27.63,1849,NA,-27.48
-28.56,1848,NA,-26.91
-27.35,1847,NA,-25.25
-29.26,1846,NA,-25.77
-28.83,1845,NA,-27.03
-29.62,1844,NA,-27.03
-28.35,1843,NA,-26.61
-28.12,1842,NA,-26.44
-28.93,1841,NA,-27.25
-29.65,1840,NA,-25.82
-29.83,1839,NA,-28.21
-27.25,1838,NA,-28.26
-30.06,1837,NA,-26.61
-28.94,1836,NA,-29.12
-30.12,1835,NA,-28.1
-28.55,1834,NA,-27.8
-28.54,1833,NA,-27.89
-28.3,1832,NA,-27.55
-26.31,1831,NA,-22.56
-28.54,1830,NA,-26.4
-27.65,1829,NA,-27.23
-25.98,1828,NA,-26.86
-28.05,1827,NA,-24.57
-26.9,1826,NA,-25.89
-31.24,1825,NA,-27.11
-29.68,1824,NA,-28.37
-29.1,1823,NA,-27.93
-27.11,1822,NA,-27.2
-30.99,1821,NA,-25.98
-28.75,1820,NA,-25.82
-28.75,1819,NA,-25.64
-27.94,1818,NA,-27.23
-30.6,1817,NA,-27.75
-25.07,1816,NA,-25.66
-29.01,1815,NA,-25.3
-29.4,1814,NA,-28.21
-28.34,1813,NA,-28.23
-27.72,1812,NA,-27.36
-28.6,1811,NA,-24.54
-28.13,1810,NA,-27.26
-27.99,1809,NA,-27.61
-28.16,1808,NA,-24.69
-29.53,1807,NA,-27.48
-28.54,1806,NA,-28.4
-26.36,1805,NA,-26.12
-29.44,1804,NA,-25.52
-28.78,1803,NA,-29.58
-29.56,1802,NA,-27.61
