dD (permil),year (AD)
-242.524,2000
-236.75,1999
-212.97,1998
-228.592,1997
-230.488,1996
-227.068,1995
-223.092,1994
-206.18,1993
-199.988,1992
-200.8259,1991
-203.4651,1990
-202.3207,1989
-196.2365,1988
-204.6383,1987
-218.3142,1986
-219.3181,1985
-219.2051,1984
-232.2519,1983
-240.7953,1982
-229.5298,1981
-213.7226,1980
-219.1176,1979
-225.4249,1978
-238.0384,1977
-240.8696,1976
-230.512,1975
-221.2057,1974
-225.0173,1973
-230.563,1972
-230.4068,1971
-231.3116,1970
-223.8867,1969
-214.3623,1968
-209.3711,1967
-216.7776,1966
-241.3362,1965
-243.9742,1964
-238.3888,1963
-227.0487,1962
-218.6308,1961
-212.324,1960
-209.0121,1959
-208.3623,1958
-207.454,1957
-205.768,1956
-206.9562,1955
-207.8505,1954
-208.4782,1953
-209.2852,1952
-209.5413,1951
-211.8868,1950
-214.3816,1949
-215.8505,1948
-217.4026,1947
-217.7391,1946
-219.5755,1945
-221.085,1944
-223.0625,1943
-222.9604,1942
-223.0173,1941
-223.7124,1940
-223.7103,1939
-223.6668,1938
-223.6625,1937
-221.3098,1936
-221.5742,1935
-220.9449,1934
-219.3969,1933
-218.7408,1932
-218.2605,1931
-216.983,1930
-215.8663,1929
-215.8193,1928
-217.2497,1927
-218.4097,1926
-218.9262,1925
-217.6852,1924
-218.6572,1923
-219.428,1922
-219.7196,1921
-219.3488,1920
-218.9272,1919
-218.2877,1918
-218.0888,1917
-217.8479,1916
-217.3835,1915
-216.3347,1914
-215.1118,1913
-215.7497,1912
-217.4253,1911
-219.6473,1910
-221.1084,1909
-222.4125,1908
-223.6217,1907
-225.142,1906
-225.3957,1905
-225.424,1904
-224.9282,1903
-222.7855,1902
-221.3993,1901
-218.6111,1900
-217.2932,1899
-213.0443,1898
-209.003,1897
-208.6523,1896
-209.8386,1895
-211.9791,1894
-214.4028,1893
-217.587,1892
-221.7688,1891
-225.8849,1890
-228.5664,1889
-231.1676,1888
-235.4197,1887
-237.9669,1886
-239.4414,1885
-241.8401,1884
-244.6886,1883
-256.0045,1882
-255.4091,1881
-255.7975,1880
-264.9713,1879
-228.2731,1878
-216.3518,1877
-220.1349,1876
-226.8062,1875
-233.6859,1874
-236.1205,1873
-234.5334,1872
-227.259,1871
-217.9836,1870
-205.032,1869
-199.1621,1868
-198.4611,1867
-198.3822,1866
-199.1954,1865
-200.2616,1864
-211.8591,1863
-204.2985,1862
-198.1711,1861
-199.821,1860
-199.3368,1859
-199.6703,1858
-201.0984,1857
-209.8564,1856
-213.6099,1855
-213.5334,1854
-212.6558,1853
-209.5628,1852
-211.178,1851
-211.8776,1850
-213.0919,1849
-214.276,1848
-216.4848,1847
-218.387,1846
-223.5897,1845
-229.043,1844
-230.2579,1843
-233.761,1842
-239.0481,1841
-237.9666,1840
-229.0963,1839
-229.844,1838
-226.7789,1837
