dD (permil),year (AD)
-159.865625,2007
-135.487857142857,2006
-147.520892857143,2005
-144.855524691358,2004
-148.698166666667,2003
-153.080166666667,2002
-135.984130434783,2001
-142.426153846154,2000
-137.438777777778,1999
-142.447777777778,1998
-144.956515151515,1997
-144.039946236559,1996
-140.248494623656,1995
-137.33524691358,1994
-142.365961538462,1993
-141.539431818182,1992
-142.811060606061,1991
-155.858611111111,1990
-126.691264367816,1989
-153.585166666667,1988
-147.43,1987
-162.881616161616,1986
-137.997552083333,1985
-148.180069444444,1984
-141.727013888889,1983
-151.244382716049,1982
-142.9228,1981
-161.969682539683,1980
-149.575747126437,1979
-145.497962962963,1978
-151.253,1977
-133.080714285714,1976
-154.684,1975
-143.231111111111,1974
-134.471666666667,1973
-151.4425,1972
-141.2,1971
-156.603888888889,1970
-143.743571428571,1969
-161.345714285714,1968
-153.076428571429,1967
-147.135,1966
-153.062857142857,1965
-151.223571428571,1964
-147.31,1963
-151.499285714286,1962
-149.325,1961
-156.1825,1960
-154.568333333333,1959
-159.57875,1958
-148.359166666667,1957
-141.136666666667,1956
-140.846666666667,1955
-140.055625,1954
-155.138125,1953
-143.348125,1952
-161.393333333333,1951
-134.687142857143,1950
-158.952857142857,1949
-164.762142857143,1948
-161.866666666667,1947
-146.989,1946
-152.445714285714,1945
-152.702857142857,1944
-146.215,1943
-137.818,1942
-155.57375,1941
-163.58625,1940
-158.703333333333,1939
-160.011,1938
-151.483,1937
-140.977857142857,1936
-132.056666666667,1935
-146.155833333333,1934
-145.525,1933
-157.200714285714,1932
-150.889166666667,1931
-150.86,1930
-163.2675,1929
-145.41,1928
-164.538,1927
-162.595833333333,1926
-158.625833333333,1925
-146.027142857143,1924
-154.863333333333,1923
-161.438,1922
-147.93,1921
-152.104,1920
-153.2775,1919
-154.015,1918
-157.955,1917
-149.370714285714,1916
-144.45,1915
-152.09,1914
-142.692,1913
-157.074,1912
-159.648333333333,1911
-147.420833333333,1910
-141.378,1909
-147.656666666667,1908
-152.618,1907
-156.485,1906
-154.611,1905
-142.052,1904
-154.319166666667,1903
-138.866,1902
-162.444,1901
-154.46625,1900
-164.70375,1899
-145.23125,1898
-141.25,1897
-155.73,1896
-150.76,1895
-148.18875,1894
-134.618,1893
-144.452,1892
-136.794,1891
-135.213,1890
-138.52,1889
-140.711,1888
-144.842,1887
-147.145,1886
-145.06,1885
-148.595,1884
-153.254,1883
-154.345,1882
-160.0575,1881
-141.112,1880
-151.56,1879
-158.19,1878
-157.2475,1877
-145.28,1876
-144.608,1875
-143.008,1874
-164.512,1873
-137.828,1872
-158.51,1871
-145.226,1870
-139.161666666667,1869
-147.616,1868
-162.092,1867
-156.045,1866
