d18O (permil),year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil)
-10.01,1993,NA,-11.29,-11.37,-10.56
-12.55,1992,NA,-13.48,-11.45,-13.45
-11.14,1991,NA,-12.77,-10.56,-14.8
-13.49,1990,NA,-14.21,-10.66,-12.44
-15.44,1989,NA,-14.11,-11.56,-13.87
-13.86,1988,NA,-12.02,-12.2,-11.76
-11.52,1987,NA,-18.02,-12.41,-10.39
-14.22,1986,NA,-12.67,-13.69,-13.44
-15.08,1985,NA,-13.97,-15.59,-14.52
-15.73,1984,NA,-14.86,-14.9,-13.61
-9.98,1983,NA,-10.73,-14.33,-10.2
-15.1,1982,NA,-9.8,-15.68,-16.07
-13.96,1981,NA,-15.91,-14.45,-16.36
-15.31,1980,NA,-14.92,-13.49,-14.59
-10.07,1979,NA,-14.4,-12.98,-13.33
-11.44,1978,NA,-14.28,-12.21,-11.4
-12.29,1977,NA,-12.51,-13,-13.55
-13.55,1976,NA,-13.37,-13.9,-13.79
-17.72,1975,NA,-14.6,-14.4,-11.8
-13.31,1974,NA,-13.92,-14.19,-11.27
-11.3,1973,NA,-14.68,-13.64,-13.94
-11.82,1972,NA,-11.83,-12.91,-12.25
-14.62,1971,NA,-11.24,-12.17,-11.63
-10.56,1970,NA,-11.02,-11.45,-13.21
-15.41,1969,NA,-11.84,-11.13,-13.87
-12.17,1968,NA,-13.56,-11.14,-12.25
-13.09,1967,NA,-15.3,-11.28,-12.74
-14.99,1966,NA,-13.01,-12.78,-12.67
-16.28,1965,NA,-14.78,-13.84,-13.29
-13.72,1964,NA,-15.11,-13.08,-11.65
-14.58,1963,NA,-11.46,-12.8,-13.9
-13.45,1962,NA,-12.27,-12.77,-16.34
-17.35,1961,NA,-15.65,-13.31,-14.86
-12.52,1960,NA,-14.03,-14.12,-12.43
-11.05,1959,NA,-12.66,-14.35,-12.89
-13.23,1958,NA,-13.6,-13.69,-14.22
-17.68,1957,NA,-13.42,-14.51,-13.31
-14.85,1956,NA,-12.35,-12.54,-11.07
-14.69,1955,NA,-14.8,-11.9,-12.91
-13.33,1954,NA,-14.8,-13.52,-14.74
-16.02,1953,NA,-13.01,-14.4,-14.26
-11.6,1952,NA,-13.14,-14.45,-14.81
-14.48,1951,NA,-12.42,-14.56,-13.74
-13.96,1950,NA,-10.3,-14.05,-11.66
-10.72,1949,NA,-11.83,-12.45,-12.2
-12.38,1948,NA,-12.76,-10.81,-11.82
-10.4,1947,NA,-11.25,-11.5,-11.95
-13.03,1946,NA,-13.04,-12.31,-14.11
-11.28,1945,NA,-12.93,-13.15,-14.03
-12.61,1944,NA,-14.71,-13.49,-16.13
-16.35,1943,NA,-17.09,-13.49,-15.21
-15.18,1942,NA,-16.37,-13.49,-14.01
-13.02,1941,NA,-14.53,-13.52,-14.94
-18.03,1940,NA,-14.44,-13.68,-15.17
-14.07,1939,NA,-16.26,-13.89,-11.53
-14.73,1938,NA,-13.22,-14.08,-13.84
-10.42,1937,NA,-13.46,-14.03,-10.79
-14.05,1936,NA,-10.82,-13.73,-13.32
-17.01,1935,NA,-12.3,-13.35,-13.45
-14.04,1934,NA,-17.02,-13.28,-12.78
-12.77,1933,NA,-14.45,-13.5,-15
-13.55,1932,NA,-12.73,-13.96,-14.29
-12.01,1931,NA,-15.39,-14.3,-14.65
-14.02,1930,NA,-15.89,-14.56,-15.69
-14.24,1929,NA,-15.98,-14.74,-15
-18.92,1928,NA,-15.74,-14.94,-14.61
-17.05,1927,NA,-14.7,-15.18,-13.64
-13.78,1926,NA,-14.21,-15.43,-15.15
-10.03,1925,NA,-15.66,-15.51,-14.81
-13.32,1924,NA,-13.55,-15.23,-13.95
-14.99,1923,NA,-14.03,-14.74,-13.32
-13.68,1922,NA,-14.18,-14.06,-14.57
-12.03,1921,NA,-13.33,-13.12,-16.33
-15.88,1920,NA,-13.77,-12.51,-15.66
-14.36,1919,NA,-13.4,-12.08,-13.42
-13.86,1918,NA,-14.3,-12.16,-12.5
-15.2,1917,NA,-15.41,-12.36,-13.96
-13.96,1916,NA,-16.32,-12.62,-12.07
-16.02,1915,NA,-13.79,-13.04,-13
-13.06,1914,NA,-13.82,-13.48,-14.84
-11.19,1913,NA,-13.06,-13.95,-15.83
-13.66,1912,NA,-10.93,-14.47,-14.96
-12.98,1911,NA,-13.23,-14.88,-13.29
-14.7,1910,NA,-14.15,-14.95,-13.89
-15.2,1909,NA,-12.64,-14.75,-13.53
-15.47,1908,NA,-15.01,-14.34,-14.65
-14.64,1907,NA,-14.78,-14.55,-16.74
-13.18,1906,NA,-12.82,-15.08,-14.43
-15.67,1905,NA,-15.98,-15.44,-13.39
-14.59,1904,NA,-17.37,-15.49,-13.95
-13.67,1903,NA,-14.34,-15.52,-13.69
-13.53,1902,NA,-14.75,-15.71,-13.92
-15.91,1901,NA,-14.13,-16.1,-14.05
-15.86,1900,NA,-11.88,-16.37,-13.44
-15.22,1899,NA,-14.95,-16.31,-14.63
-19.06,1898,NA,-16.29,-15.96,-15.21
-14.87,1897,NA,-16.09,-15.56,-15.27
-15.87,1896,NA,-17.83,-15.15,-16.92
-18.1,1895,NA,-14.43,-15.11,-17.25
-19.89,1894,NA,-15.61,-16.06,-15.17
-19.94,1893,NA,-16.47,-17.24,-13.52
-17.06,1892,NA,-13.05,-18.39,-19.4
-13.28,1891,NA,-13.06,-19.08,-15.28
-11.14,1890,NA,-12.68,-19.18,-14.95
-15.13,1889,NA,-12.21,-18.29,-14.34
-16.54,1888,NA,-12.51,-17.24,-12.89
-14.96,1887,NA,-14.57,-15.85,-13.79
-14.03,1886,NA,-12.36,-14.13,-15.33
-14.02,1885,NA,-12.53,-12.86,-14.05
-14.12,1884,NA,-14.12,-15.08,-12.31
-14.17,1883,NA,-11.17,-18.95,-14.1
-13.91,1882,NA,-13.06,-16.63,-13.12
-12.77,1881,NA,-15.02,-14.22,-12.99
-12.18,1880,NA,-14.47,-14.62,-14.69
