d18O (permil),year (AD)
-34.26,1998.84935
-33.14,1998.77525
-34.94,1998.7012
-34.2,1998.62715
-34.73,1998.5531
-34.81,1998.47905
-35.27,1998.40495
-35.85,1998.3309
-35.4,1998.25685
-34.58,1998.1828
-33.82,1998.10875
-34.58,1998.034
-35.14,1997.9381
-33.75,1997.82175
-34.2,1997.7054
-33.65,1997.589
-32.92,1997.4726
-32.89,1997.3562
-33.31,1997.23985
-33.94,1997.1235
-34.12,1997.00515
-33.9,1996.8823
-33.41,1996.75695
-33.01,1996.63165
-32.63,1996.50635
-32.44,1996.381
-32.45,1996.25565
-31.65,1996.13035
-30.24,1995.987
-30.27,1995.7805
-30.98,1995.58495
-33.46,1995.45645
-34.91,1995.339
-35.83,1995.2216
-35.55,1995.1042
-35.43,1994.9816
-34.32,1994.85065
-34.21,1994.7165
-33.48,1994.5823
-32.77,1994.4481
-32.59,1994.3139
-34.19,1994.1797
-33.74,1994.0479
-36.95,1993.931
-37.6,1993.8266
-35.15,1993.7222
-36.58,1993.61785
-35.47,1993.5135
-33.99,1993.4091
-33.13,1993.3047
-31.84,1993.2003
-31.25,1993.09595
-30.73,1992.99465
-31.1,1992.8985
-27.94,1992.80455
-32.89,1992.7106
-34.77,1992.61665
-31.12,1992.52275
-32.9,1992.4288
-33.65,1992.33485
-31.89,1992.2409
-30.43,1992.14695
-28.06,1992.05835
-28.28,1991.975
-28.28,1991.89165
-29,1991.80835
-29.91,1991.725
-29.82,1991.64165
-33.02,1991.55835
-34.27,1991.475
-34.71,1991.39165
-35.87,1991.30835
-34.92,1991.22505
-34.12,1991.1417
-34.18,1991.05835
-32.62,1990.9528
-33.92,1990.81945
-31.83,1990.6806
-34.04,1990.54175
-34.27,1990.40285
-32,1990.26395
-33.01,1990.12505
-31.98,1989.9921
-29.79,1989.8691
-30.99,1989.75005
-31.59,1989.631
-33.23,1989.51195
-34.55,1989.3929
-30.48,1989.2739
-34.71,1989.15485
-35.06,1989.0358
-35.79,1988.9167
-31.98,1988.7922
-33.74,1988.66235
-31.51,1988.53245
-34.09,1988.4026
-32.19,1988.27275
-28.98,1988.14285
-33.11,1988.013
-30.77,1987.88315
-33.57,1987.75325
-34.06,1987.62335
-34.99,1987.4935
-35.31,1987.36365
-35.68,1987.23375
-35.64,1987.1039
-33.67,1986.993
-33.74,1986.9091
-34.09,1986.83335
-34.43,1986.7576
-34.36,1986.6818
-35.06,1986.60605
-35.81,1986.5303
-35.75,1986.45455
-35.51,1986.3788
-28.83,1986.30305
-32.86,1986.2273
-34.67,1986.1515
-34.07,1986.07575
-34.83,1985.9865
-35.06,1985.87015
-35.27,1985.74025
-34.61,1985.6104
-35.08,1985.48055
-28.03,1985.35065
-34.87,1985.2186
-34,1985.0844
-33.25,1984.9632
-31,1984.8569
-30.33,1984.7525
-33.14,1984.64815
-32.85,1984.5438
-32.29,1984.4394
-32.47,1984.335
-32.18,1984.23065
-31,1984.1263
-33.54,1984.01755
-33.64,1983.8939
-34.49,1983.7597
-35.07,1983.6255
-33.58,1983.4913
-31.67,1983.3571
-33.85,1983.2229
-33.32,1983.0887
-33.8,1982.96155
-34.39,1982.8428
-34.51,1982.7254
-32.05,1982.60795
-35.54,1982.4905
-35.19,1982.3731
-35.33,1982.2557
-35.1,1982.13825
-32.16,1982.0229
-34.37,1981.91415
-34.88,1981.8098
-33.58,1981.7054
-35.87,1981.601
-35.86,1981.4966
-34.73,1981.3835
-35.01,1981.26165
-32.64,1981.1398
-33.32,1981.02455
-31.46,1980.92805
-32.36,1980.8437
-30.41,1980.7593
