dD (permil),year (AD)
-280.340492,2001.985
-277.167815,2001.96
-278.793691,2001.935
-270.699026,2001.905
-264.770267,2001.88
-263.719138,2001.855
-283.430235,2001.825
-303.719937,2001.8
-291.856633,2001.775
-279.396403,2001.745
-270.1021,2001.72
-295.380329,2001.695
-276.256514,2001.67
-254.593594,2001.645
-247.336939,2001.615
-238.476589,2001.59
-247.486412,2001.565
-234.472652,2001.535
-235.03004,2001.51
-241.252922,2001.485
-239.682977,2001.455
-236.617342,2001.43
-236.544053,2001.405
-228.282557,2001.375
-214.4385,2001.35
-216.251458,2001.325
-220.300719,2001.295
-215.601493,2001.27
-222.399122,2001.245
-248.512469,2001.215
-270.321005,2001.19
-274.945977,2001.165
-272.35094,2001.135
-264.027726,2001.11
-261.760564,2001.085
-264.614044,2001.06
-251.03711,2001.035
-228.900698,2001.005
-224.787791,2000.98
-225.791668,2000.955
-222.550523,2000.93
-218.56298,2000.905
-216.966998,2000.88
-225.574692,2000.86
-238.765891,2000.835
-236.677131,2000.81
-231.176539,2000.785
-233.645248,2000.76
-252.087275,2000.735
-263.761568,2000.71
-247.324403,2000.685
-230.795625,2000.66
-220.566988,2000.645
-215.304947,2000.64
-265.18717,2000.615
-270.463404,2000.59
-271.899836,2000.565
-254.889209,2000.54
-234.997042,2000.52
-225.619746,2000.495
-223.092013,2000.47
-227.359853,2000.445
-238.550523,2000.42
-243.203018,2000.395
-241.735737,2000.37
-233.552898,2000.35
-228.115667,2000.325
-228.115667,2000.3
-226.998335,2000.28
-219.251245,2000.255
-212.868283,2000.23
-210.354046,2000.205
-211.187948,2000.18
-212.102829,2000.16
-211.892667,2000.135
-216.765929,2000.11
-221.325877,2000.085
-229.133702,2000.06
-238.959279,2000.035
-239.688099,2000.01
-231.466698,1999.98
-232.119358,1999.94005
-237.219172,1999.90005
-240.887375,1999.86005
-237.035039,1999.82005
-231.731811,1999.775
-215.648598,1999.73
-215.388305,1999.68505
-225.864615,1999.64
-237.437047,1999.59995
-251.924761,1999.56
-264.02742,1999.515
-266.637098,1999.47005
-254.243296,1999.43
-251.256676,1999.38495
-256.898285,1999.34
-263.468272,1999.3
-263.738205,1999.26005
-255.438716,1999.215
-245.430933,1999.16995
-244.537261,1999.13
-243.832542,1999.085
-243.179881,1999.04005
-246.93774,1999
-254.115078,1998.95995
-257.006258,1998.92
-250.917331,1998.885
-250.373608,1998.85005
-256.202242,1998.81
-260.783362,1998.76995
-267.400383,1998.73
-269.821386,1998.695
-270.020003,1998.66005
-264.259154,1998.62
-250.558459,1998.57995
-236.809555,1998.54
-240.14458,1998.5
-256.120691,1998.465
-268.012624,1998.43
-271.555908,1998.395
-272.239496,1998.36
-270.069175,1998.32
-261.430313,1998.285
-242.392999,1998.25
-223.661323,1998.215
-210.445599,1998.18
-207.590725,1998.145
-206.343104,1998.11
-202.166368,1998.07
-203.989592,1998.035
-208.281063,1998
-215.6993,1997.955
-225.499974,1997.905
-235.507941,1997.86
-246.710501,1997.815
-265.265736,1997.77
-279.607597,1997.725
-282.895378,1997.675
-270.574394,1997.63
-246.892727,1997.585
-230.912761,1997.54
-225.208798,1997.495
-228.800289,1997.445
-234.941016,1997.4
-241.539718,1997.355
-248.602181,1997.31
-259.652404,1997.26505
-262.191034,1997.21505
-260.063136,1997.16505
-255.60583,1997.12005
-248.777658,1997.075
-247.429764,1997.025
-249.597193,1996.975
-253.157831,1996.92995
-258.830941,1996.87995
-266.863347,1996.82995
-271.801768,1996.78495
-272.608769,1996.73495
-267.843896,1996.68495
-264.562864,1996.63505
-265.104722,1996.58505
-263.768398,1996.53505
-260.692731,1996.48505
-260.362989,1996.435
-254.092101,1996.385
-246.414505,1996.335
-242.330328,1996.28495
-245.241123,1996.23495
-248.614715,1996.18495
-248.58579,1996.13495
-247.112556,1996.08505
-243.573129,1996.04005
-235.195554,1995.99505
-223.573584,1995.94505
-218.62637899999999,1995.89505
-223.791782,1995.85005
-235.867541,1995.805
-246.141437,1995.745
-252.227063,1995.685
-251.158293,1995.64
-253.089411,1995.595
-256.088335,1995.545
-263.912161,1995.495
-272.436282,1995.445
-271.182309,1995.395
-261.956928,1995.345
-249.663171,1995.295
-239.251338,1995.25
-234.426437,1995.205
