d18O (permil),year (AD),d18OUncertainty (per mil),deuteriumExcess (permil),d excess stdev (permil)
-33.55,2011,NA,9.9,NA
-30.58,2010,NA,11.41,NA
-33.18,2009,NA,9.52,NA
-33.89215,2008,0.279802153,9.859,0.381
-32.30016667,2007,0.942508665,10.412,0.898
-33.4255,2006,1.080971295,11.018,0.901
-32.57264,2005,0.643922195,10.855,0.979
-32.15166,2004,0.715989545,11.558,0.803
-32.0482,2003,0.686219925,11.543,0.437
-31.0675,2002,1.134349488,10.65,1.054
-31.07345,2001,0.438067122,11.592,1.542
-32.612,2000,0.323439917,11.472,1.265
-33.28745,1999,0.973703738,10.642,0.806
-31.6507,1998,0.156821108,10.933,1.26
-33.219825,1997,0.726095119,11.267,1.383
-34.82585,1996,0.697195881,10.712,0.862
-32.444075,1995,0.743427192,10.817,0.867
-32.4324,1994,0.660387588,11.048,1.147
-32.003075,1993,1.501099847,11.158,0.546
-33.00555,1992,0.715494004,11.269,1.28
-34.978575,1991,0.765432725,10.91,0.887
-33.15205,1990,1.146686838,10.75,1.116
-32.664175,1989,0.113199481,11.139,1.168
-32.196325,1988,0.410699658,12.069,1.094
-33.50255,1987,0.530609062,11.333,0.425
-33.029425,1986,0.895130454,10.991,0.861
-32.29395,1985,0.899616705,11.447,1.596
-34.4985,1984,0.683306788,10.742,1.544
-36.535775,1983,1.527213367,11.444,1.447
-34.93705,1982,1.914868109,9.666,1.533
-32.66295,1981,1.146394791,11.231,1.227
-33.1537,1980,0.7896125,11.293,1.322
-35.3432,1979,0.783623962,10.21,1.169
-34.018025,1978,0.360856697,10.846,1.644
-33.8952,1977,0.973751457,9.337,1.61
-32.887975,1976,0.309590325,11.488,1.05
-32.63675,1975,0.559760285,11.282,1.026
-33.24215,1974,0.959968592,11.284,1.387
-32.53775,1973,0.045322879,11.933,2.662
-33.795,1972,1.011051169,9.695,1.666
-32.33385,1971,1.311213053,10.615,0.62
-34.099775,1970,0.544398527,11.247,1.053
-34.613525,1969,0.935388716,11.055,1.155
-33.506775,1968,0.680008551,11.26,0.972
-33.39585,1967,0.282098476,10.872,1.614
-33.55355,1966,0.432420894,11.305,1.193
-34.193675,1965,1.106130729,10.527,1.123
-33.411675,1964,0.819872536,11.173,0.993
-33.778725,1963,0.593244061,10.454,1.158
-35.306225,1962,0.866173891,11.752,1.149
-33.98825,1961,1.166609608,10.521,0.786
-32.520675,1960,1.125967623,10.585,1.194
-33.863575,1959,0.449997766,10.196,1.161
-33.567975,1958,2.145281755,11.261,0.827
-33.724775,1957,1.39326747,10.883,1.379
-33.5756,1956,0.245470093,11.748,1.063
-33.45625,1955,0.582965125,11.139,0.74
-32.7748,1954,0.345611641,11.705,1.881
-32.67455,1953,0.411582349,10.217,0.88
-32.70245,1952,0.522744134,11.392,0.1
-33.941975,1951,0.512706754,10.164,0.902
-33.097125,1950,0.636005264,10.702,0.664
-34.8481,1949,0.456141959,10.813,1.666
-35.065475,1948,0.670147483,10.654,1.043
-33.899375,1947,0.765523104,9.424,0.728
-32.61455,1946,0.74474061,11.039,0.744
-33.1448,1945,0.169910035,10.463,1.165
-33.4814,1944,0.327015769,9.449,1.304
-33.831275,1943,0.728720044,9.46,2.022
-33.735125,1942,1.646831889,9.7,1.012
-33.9767,1941,0.852499994,9.137,1.462
-34.293175,1940,0.60666566,9.654,1.016
-31.751025,1939,0.897409592,10.561,2.029
-35.273875,1938,1.181152986,9.386,1.101
-34.60795,1937,1.016279937,10.845,0.967
-32.835175,1936,0.603712798,10.735,0.332
-32.53225,1935,1.315779334,10.542,0.33
-33.5347,1934,1.37402473,9.592,1.755
-31.369125,1933,0.538916384,11.613,1.525
-32.48025,1932,0.451642901,10.121,1.677
-32.9642,1931,1.057254492,11.424,1.139
-33.232625,1930,1.060387103,12.184,1.005
-31.1487,1929,0.7048853,10.706,0.792
-29.87285,1928,1.09987194,9.767,0.507
-32.478225,1927,0.459001993,9.719,0.525
-33.734925,1926,1.71510961,9.701,0.957
-34.6584,1925,1.026414721,10.882,1.482
-34.166875,1924,1.288926107,11.805,1.255
-33.1988,1923,0.534692292,11.963,0.22
-34.6589,1922,1.395826859,12.382,2.285
-35.800425,1921,0.501604481,12.418,1.951
-35.3967,1920,1.528382662,11.815,0.696
-33.15886667,1919,1.698701296,13.177,1.382
-33.4288,1918,0.355796894,11.885,1.358
-33.91873333,1917,0.772774542,11.438,1.467
-32.99103333,1916,0.462158375,10.706,1.046
-33.17973333,1915,1.10832268,10.695,1.199
-35.24735,1914,1.304377626,11.174,1.136
-33.764475,1913,0.694728745,11.195,0.535
-31.912325,1912,1.487220592,11.794,1.045
-34.9813,1911,1.394332234,10.159,1.09
-34.513225,1910,0.598751781,10.577,0.851
-32.12495,1909,0.358502938,10.928,0.139
-31.4202,1908,1.487200388,11.048,0.846
