d18O (permil),year (AD),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
-34.3,1994,0.49,0.16,165
-34.2,1993,0.97,0.33,165
-35.2,1992,1.44,0.49,165
-37.7,1991,1.9,0.66,165
-35.9,1990,2.35,0.82,165
-34.2,1989,2.8,0.99,165
-34.6,1988,3.23,1.15,165
-34.2,1987,3.67,1.32,165
-35.2,1986,4.09,1.48,165
-32.4,1985,4.51,1.65,165
-35.7,1984,4.92,1.81,165
-34.3,1983,5.33,1.98,165
-33.4,1982,5.73,2.14,165
-32.5,1981,6.13,2.31,165
-34.8,1980,6.53,2.47,165
-32.4,1979,6.91,2.64,165
-33.4,1978,7.3,2.8,165
-34.4,1977,7.68,2.97,165
-33.7,1976,8.05,3.13,165
-33.4,1975,8.43,3.3,165
-31.2,1974,8.8,3.46,165
-30,1973,9.16,3.63,165
-32.1,1972,9.52,3.79,165
-30.4,1971,9.88,3.96,165
-34.7,1970,10.24,4.12,165
-31.9,1969,10.59,4.29,165
-33.9,1968,10.94,4.45,165
-36.5,1967,11.29,4.62,165
-33,1966,11.63,4.78,165
-34.9,1965,11.97,4.95,165
-33.5,1964,12.31,5.11,165
-34.6,1963,12.65,5.28,165
-36.4,1962,12.98,5.44,165
-33.9,1961,13.31,5.61,165
-34,1960,13.64,5.77,165
-31.9,1959,13.97,5.94,165
-33.8,1958,14.29,6.1,165
-34.9,1957,14.62,6.27,165
-34.1,1956,14.94,6.43,165
-34.6,1955,15.26,6.6,165
-34,1954,15.57,6.76,165
-34.1,1953,15.89,6.93,165
-33.5,1952,16.2,7.09,165
-32.6,1951,16.51,7.26,165
-34.1,1950,16.82,7.42,165
-35.3,1949,17.13,7.59,165
-34.1,1948,17.43,7.75,165
-32.7,1947,17.74,7.92,165
-35.5,1946,18.04,8.08,165
NA,1945,18.33,8.25,165
NA,1944,18.62,8.41,165
NA,1943,18.9,8.57,165
NA,1942,19.19,8.74,165
NA,1941,19.48,8.9,165
NA,1940,19.77,9.07,165
NA,1939,20.06,9.23,165
NA,1938,20.35,9.4,165
NA,1937,20.64,9.56,165
NA,1936,20.92,9.73,165
NA,1935,21.21,9.89,165
NA,1934,21.5,10.06,165
NA,1933,21.79,10.22,165
NA,1932,22.08,10.39,165
NA,1931,22.37,10.55,165
NA,1930,22.66,10.72,165
NA,1929,22.94,10.88,165
NA,1928,23.23,11.05,165
NA,1927,23.52,11.21,165
NA,1926,23.81,11.38,165
-35.1,1925,24.09,11.54,165
-35.2,1924,24.37,11.71,165
-34.7,1923,24.64,11.87,165
-33.8,1922,24.92,12.04,165
-34,1921,25.19,12.2,165
-36.2,1920,25.46,12.37,165
-33.9,1919,25.73,12.53,165
-33.9,1918,26,12.7,165
-35.2,1917,26.27,12.86,165
-34.4,1916,26.54,13.03,165
-33.7,1915,26.81,13.19,165
-32.9,1914,27.07,13.36,165
-34.2,1913,27.34,13.52,165
-35.3,1912,27.6,13.69,182
-33.6,1911,27.89,13.87,182
-33.1,1910,28.18,14.05,182
-35.1,1909,28.47,14.23,182
-35.9,1908,28.76,14.41,182
-35.4,1907,29.05,14.6,182
-36.1,1906,29.33,14.78,182
-33.7,1905,29.62,14.96,182
-32.1,1904,29.9,15.14,182
-33,1903,30.18,15.32,182
-33.1,1902,30.47,15.5,182
-33.4,1901,30.75,15.69,182
-32.5,1900,31.03,15.87,182
-33.3,1899,31.31,16.05,182
-35.9,1898,31.59,16.23,182
-35.4,1897,31.87,16.41,182
-33,1896,32.14,16.59,182
-32.8,1895,32.42,16.78,182
-33.7,1894,32.7,16.96,182
-32.2,1893,32.97,17.14,182
-30.4,1892,33.25,17.32,182
-32.4,1891,33.52,17.5,182
-34,1890,33.79,17.68,182
-35,1889,34.07,17.87,182
-36.2,1888,34.34,18.05,182
-35.7,1887,34.61,18.23,182
-35,1886,34.88,18.41,182
-34.2,1885,35.15,18.59,182
-35.5,1884,35.42,18.77,182
-33.9,1883,35.69,18.96,182
-33.4,1882,35.96,19.14,182
-32.6,1881,36.22,19.32,182
-31.4,1880,36.49,19.5,182
-32.8,1879,36.76,19.68,182
-32.7,1878,37.02,19.86,182
-32,1877,37.29,20.05,182
-32.1,1876,37.55,20.23,182
-32.9,1875,37.82,20.41,182
-35,1874,38.08,20.59,182
-36.3,1873,38.34,20.77,182
-34.8,1872,38.6,20.95,182
-34.3,1871,38.87,21.14,182
-33,1870,39.13,21.32,182
-34.8,1869,39.39,21.5,182
-35.1,1868,39.65,21.68,182
-36.3,1867,39.91,21.86,182
-34.8,1866,40.17,22.05,182
-33.6,1865,40.42,22.23,182
-34.8,1864,40.68,22.41,182
-33.6,1863,40.94,22.59,182
-35.1,1862,41.2,22.77,182
-36.2,1861,41.45,22.95,182
-35,1860,41.71,23.14,182
-36.4,1859,41.97,23.32,182
-35.4,1858,42.22,23.5,182
-33.9,1857,42.48,23.68,182
-34.3,1856,42.73,23.86,182
-32.8,1855,42.98,24.04,182
-35.6,1854,43.24,24.23,182
-34.8,1853,43.49,24.41,182
-33.9,1852,43.74,24.59,182
-32.6,1851,43.99,24.77,182
-32.9,1850,44.25,24.95,182
-32.4,1849,44.5,25.13,182
-34,1848,44.75,25.32,182
-34.5,1847,45,25.5,182
-35.7,1846,45.25,25.68,182
-38.3,1845,45.5,25.86,182
-34.9,1844,45.75,26.04,182
-35.3,1843,46,26.22,182
-36,1842,46.25,26.41,182
-33.5,1841,46.49,26.59,182
-31.6,1840,46.74,26.77,182
-33.6,1839,46.99,26.95,182
-31.3,1838,47.24,27.13,182
-35.2,1837,47.48,27.31,182
-34.1,1836,47.73,27.5,182
-32.8,1835,47.97,27.68,182
-33.3,1834,48.22,27.86,182
-34,1833,48.46,28.04,182
-31.2,1832,48.71,28.22,182
-34,1831,48.95,28.4,182
-35.8,1830,49.2,28.59,182
-32.1,1829,49.44,28.77,182
-30.1,1828,49.69,28.95,182
-28.2,1827,49.93,29.13,182
-33.3,1826,50.17,29.31,182
-32.6,1825,50.41,29.49,182
-34.2,1824,50.66,29.68,182
-34.9,1823,50.9,29.86,182
-35.4,1822,51.14,30.04,182
-34.4,1821,51.38,30.22,182
-34.6,1820,51.62,30.4,182
-34.7,1819,51.86,30.58,182
-35.6,1818,52.1,30.77,182
-35.6,1817,52.34,30.95,182
-36.1,1816,52.58,31.13,184
-35.7,1815,52.82,31.31,184
-35.6,1814,53.07,31.5,184
-35.3,1813,53.31,31.68,184
-33.1,1812,53.55,31.86,184
-36,1811,53.79,32.05,184
-35.8,1810,54.03,32.23,184
-36.3,1809,54.27,32.42,184
-34.9,1808,54.51,32.6,184
-34.1,1807,54.75,32.78,184
-33.1,1806,54.99,32.97,184
-32.6,1805,55.23,33.15,184
-32.8,1804,55.47,33.33,184
-33.7,1803,55.71,33.52,184
-33.2,1802,55.95,33.7,184
-34.1,1801,56.19,33.89,184
-37.8,1800,56.42,34.07,184
-36.1,1799,56.66,34.25,184
-35.7,1798,56.9,34.44,184
-33.8,1797,57.14,34.62,184
-35.2,1796,57.37,34.8,184
-36,1795,57.61,34.99,184
-35.1,1794,57.85,35.17,184
-33.6,1793,58.08,35.36,184
-36.2,1792,58.32,35.54,184
-35.4,1791,58.56,35.72,184
-35.7,1790,58.79,35.91,184
-33.5,1789,59.03,36.09,184
-33.5,1788,59.26,36.27,184
-34.7,1787,59.5,36.46,184
-34.6,1786,59.73,36.64,184
-33.2,1785,59.96,36.83,184
-33.4,1784,60.2,37.01,184
-35.3,1783,60.43,37.19,171
-34.7,1782,60.65,37.36,171
-33.9,1781,60.87,37.54,171
-35.1,1780,61.09,37.71,171
-37,1779,61.3,37.88,171
-35.9,1778,61.52,38.05,171
-35.1,1777,61.74,38.22,171
-34.6,1776,61.96,38.39,171
