d18O (permil),year (AD)
-36.2,818
-35.39,819
-36.77,820
-35.55,821
-35.51,822
-36.52,823
-34.67,824
-34.11,825
-33.98,826
-34.37,827
-33.26,828
-33.54,829
-33.88,830
-35.5,831
-35.46,832
-33.66,833
-35.59,834
-35.13,835
-36.02,836
-35.69,837
-33.57,838
-34.15,839
-35.13,840
-36.35,841
-36.7,842
-34.97,843
-37.65,844
-36.39,845
-33.85,846
-34.19,847
-34.94,848
-34.67,849
-35.79,850
-35.26,851
-34.7,852
-36.39,853
-37.51,854
-36.43,855
-37.33,856
-36.6,857
-34.04,858
-34.79,859
-35.85,860
-35.22,861
-34.31,862
-34.95,863
-35.1,864
-34.91,865
-34.5,866
-35.16,867
-35.71,868
-36.33,869
-34.81,870
-36.24,871
-33.67,872
-33.65,873
-35.34,874
-35.66,875
-36.14,876
-36.07,877
-35.4,878
-35.36,879
-35.6,880
-34.69,881
-35.43,882
-36.05,883
-35.18,884
-35.31,885
-34.3,886
-34.94,887
-36.29,888
-34.59,889
-35.01,890
-34.49,891
-34.35,892
-35.75,893
-34.25,894
-33.52,895
-34.67,896
-33.94,897
-35.63,898
-37.08,899
-35.79,900
-35.94,901
-35.77,902
-35.45,903
-33.15,904
-34.95,905
-34.74,906
-34.98,907
-35.75,908
-33.11,909
-35.51,910
-35.33,911
-33.82,912
-34.31,913
-36.25,914
-35.03,915
-34.88,916
-34.94,917
-35.99,918
-36.48,919
-35.42,920
-35.64,921
-33.93,922
-35.41,923
-35.12,924
-33.72,925
-33.24,926
-35.12,927
-34.51,928
-33.81,929
-35.21,930
-35.28,931
-34.87,932
-34.61,933
-34.53,934
-33.31,935
-34.3,936
-34.36,937
-34.12,938
-33.27,939
-35.37,940
-34.23,941
-33.93,942
-33.88,943
-35.5,944
-35.94,945
-34.68,946
-33.83,947
-34.39,948
-35.7,949
-33.83,950
-34.28,951
-33.03,952
-35.38,953
-33.38,954
-34.19,955
-33.56,956
-33.93,957
-36.44,958
-35.78,959
-34.89,960
-34.84,961
-35.41,962
-36.58,963
-36.01,964
-35.72,965
-33.35,966
-34,967
-35.09,968
-35.14,969
-34.71,970
-35.63,971
-33.92,972
-32.57,973
-31.76,974
-34.43,975
-35.55,976
-35.39,977
-33.88,978
-35.54,979
-35.31,980
-33.26,981
-33.16,982
-33.11,983
-33.8,984
-33.73,985
-35.81,986
-35.65,987
-35.23,988
-33.23,989
-33.35,990
-34.3,991
-33.25,992
-34.65,993
-32.89,994
-33.18,995
-34.77,996
-35.11,997
-34.96,998
-36.07,999
-35.96,1000
-34.5,1001
-32.85,1002
-35.27,1003
-35.94,1004
-37.3,1005
-35.01,1006
-32.84,1007
-35.52,1008
-35.46,1009
-34.55,1010
-36.35,1011
-32.63,1012
-33.37,1013
-34.47,1014
-36.49,1015
-34.36,1016
-34.45,1017
-33.91,1018
-34.31,1019
-34.03,1020
-35.25,1021
-33.9,1022
-35.07,1023
-35.24,1024
-34.78,1025
-36.51,1026
-36.25,1027
-34.25,1028
-35.81,1029
-37.27,1030
-36.2,1031
-34.2,1032
-35.23,1033
-36.48,1034
-34.6,1035
-35.04,1036
-36.49,1037
-35.03,1038
-33.29,1039
-33.94,1040
-35.02,1041
-36.43,1042
-35.81,1043
-34.36,1044
-34.15,1045
-36,1046
-36.05,1047
-34.71,1048
-33.03,1049
-33.28,1050
-35.09,1051
-36.3,1052
-34.44,1053
-34.33,1054
-35.25,1055
-35.76,1056
-35.02,1057
-35.45,1058
-36.24,1059
-35.9,1060
-34.99,1061
-32.92,1062
-35.5,1063
-36.37,1064
-35.33,1065
-34.37,1066
-33.68,1067
-35.27,1068
-35.57,1069
-34.29,1070
-34.6,1071
-34.69,1072
-34.74,1073
-34.36,1074
-34.72,1075
-35.63,1076
-35.68,1077
-35.95,1078
-35.13,1079
-34.87,1080
-35.28,1081
-33.24,1082
-34.83,1083
-34.4,1084
-34.6,1085
-34.98,1086
-34.12,1087
-35.12,1088
-34.34,1089
-34.91,1090
-34.49,1091
-35.02,1092
-36.18,1093
-35.48,1094
-35.36,1095
-35.17,1096
-34.83,1097
-34.59,1098
-34.85,1099
-36.22,1100
-34.37,1101
-32.93,1102
-33.82,1103
-34.38,1104
-37.11,1105
-35.01,1106
-33.63,1107
-34.69,1108
-34.69,1109
-36.35,1110
-34.51,1111
-36.27,1112
-33.7,1113
-33.68,1114
-34.45,1115
-35,1116
-35.37,1117
-34.71,1118
-35.35,1119
-33.91,1120
-33.6,1121
-31.45,1122
-34.33,1123
-36,1124
-34.57,1125
-33.48,1126
-34.45,1127
-34.99,1128
-34.1,1129
-34.17,1130
-33.89,1131
-34.11,1132
-34.56,1133
-35.06,1134
-33.73,1135
-34.55,1136
-34.77,1137
-35.71,1138
-34.11,1139
-34.92,1140
-33.35,1141
-34.51,1142
-35.7,1143
-34.69,1144
-34.02,1145
-34.44,1146
-35.54,1147
-34.17,1148
-36.1,1149
-34.89,1150
-35.96,1151
-36.44,1152
-36.41,1153
-35.45,1154
-35.81,1155
-36.55,1156
-36.04,1157
-34.7,1158
-34.81,1159
-35.37,1160
-34.49,1161
-37.26,1162
-35.23,1163
-35.29,1164
-36.25,1165
-34.88,1166
-34.81,1167
-35.26,1168
-35.4,1169
-35.93,1170
-36.56,1171
-34.59,1172
-34.22,1173
-34.04,1174
-33.82,1175
-35.55,1176
-35.89,1177
-34.85,1178
-34.47,1179
-36.53,1180
-35.66,1181
-35.03,1182
-35.46,1183
-36.84,1184
-34.89,1185
-35.47,1186
-35.05,1187
-34.72,1188
-35.68,1189
-34.3,1190
-33.42,1191
-33.5,1192
-35.46,1193
-35.83,1194
-35.35,1195
-35.9,1196
-34.76,1197
-34.81,1198
-35.32,1199
-36.02,1200
-35.72,1201
-32.8,1202
-32.62,1203
-31.82,1204
-34.88,1205
-35.53,1206
-35.46,1207
-35.58,1208
-34.51,1209
-34.26,1210
-34.14,1211
-33.82,1212
-35.79,1213
-35.21,1214
-35.55,1215
-35.89,1216
-35.19,1217
-32.42,1218
-34.23,1219
-32.94,1220
-32.84,1221
-32.65,1222
-33.13,1223
-33.56,1224
-35.47,1225
-36.09,1226
-35.97,1227
-35.53,1228
-35.55,1229
-36.7,1230
-34.13,1231
-35.49,1232
-38.09,1233
-37.73,1234
-35.18,1235
-34.82,1236
-35.44,1237
-34.74,1238
-35.18,1239
-35.1,1240
-35.15,1241
-35.37,1242
-34.98,1243
-34.16,1244
-34.71,1245
-35.97,1246
-35.29,1247
-33.93,1248
-33.38,1249
-35.4,1250
-35.25,1251
-37.1,1252
-33.29,1253
-33.41,1254
-33.38,1255
-34.77,1256
-33.78,1257
-35.47,1258
-36.68,1259
-35.44,1260
-34.77,1261
-35.17,1262
-35.46,1263
-35.09,1264
-37.01,1265
-35.51,1266
-36.2,1267
-34.23,1268
-34.33,1269
-35.24,1270
-34.98,1271
-35.45,1272
-35.52,1273
-34.45,1274
-33.51,1275
-34.8,1276
-34.39,1277
-34.77,1278
-34.57,1279
-33.47,1280
-32.24,1281
-32.93,1282
-35.51,1283
-35.9,1284
-35.96,1285
-34.93,1286
-34.8,1287
-35.44,1288
