d18O (permil),year (AD),depth (cm)
-17.06,2000,NA
-17.8,1900,NA
-17.52,1800,NA
-17.22,1700,NA
-17,1600,NA
-16.39,1500,NA
-15.94,1400,NA
-16.19,1300,NA
-15.61,1200,NA
-16.82,1100,NA
-15.42,1000,NA
-16.54,900,NA
-16.43,800,NA
-17.9,700,NA
-16.49,600,NA
-16.77,500,NA
-14.23,400,NA
-15.86,300,NA
-16,200,NA
-15.34,100,NA
-16.53,-1,NA
-16.63,-101,NA
-16.82,-201,NA
-17.44,-301,NA
-14.24,-401,NA
-16.44,-501,NA
-16.36,-601,NA
-17.51,-701,NA
-15.71,-801,NA
-16.87,-901,NA
-16.67,-1001,NA
-15.65,-1101,NA
-16.31,-1201,NA
-15.86,-1301,NA
-14.32,-1401,NA
-16.18,-1501,NA
-15.72,-1601,NA
-17.04,-1701,NA
-16.11,-1801,NA
-16.14,-1901,NA
-17.1,-2001,NA
-16.47,-2101,NA
-16.87,-2201,NA
-16.71,-2301,NA
-16.12,-2401,NA
-16.48,-2501,NA
-15.48,-2601,NA
-16.05,-2701,NA
-16.13,-2801,NA
-15.85,-2901,NA
-16.81,-3001,NA
-14.9,-3101,NA
-14.01,-3201,NA
-16.42,-3301,NA
-17.07,-3401,NA
-16.71,-3501,NA
-17.06,-3601,NA
-17.05,-3701,NA
-16.86,-3801,NA
-16.85,-3901,NA
-16.26,-4001,NA
-15.89,-4101,NA
-16.4,-4201,NA
-16.49,-4301,NA
-16.91,-4401,NA
-17.41,-4501,NA
-16.23,-4601,NA
-16.24,-4701,NA
-15.66,-4801,NA
-17.08,-4901,NA
-16.65,-5001,NA
-17.05,-5101,NA
-16.4,-5201,NA
-16.81,-5301,NA
-17.42,-5401,NA
-15.9,-5501,NA
-16.76,-5601,NA
-15.87,-5701,NA
-16.18,-5801,NA
-16.78,-5901,NA
-16.93,-6001,NA
-16.4,-6101,NA
-17.12,-6201,NA
-16.7,-6301,NA
-16.44,-6401,NA
-17.15,-6501,NA
-16.57,-6601,NA
-16.37,-6701,NA
-16.58,-6801,NA
-17.24,-6901,NA
-17.51,-7001,NA
-17.12,-7101,NA
-16.9,-7201,NA
-16.61,-7301,NA
-17.11,-7401,NA
-17.05,-7501,NA
-16.47,-7601,NA
-17.04,-7701,NA
-16.55,-7801,NA
-17,-7901,NA
-17,-8001,NA
-17.05,-8101,NA
-16.49,-8201,NA
-16.65,-8301,NA
-17.08,-8401,NA
-16.87,-8501,NA
-16.81,-8601,NA
-17.31,-8701,NA
-17.3,-8801,NA
-17.15,-8901,NA
-17.45,-9001,NA
-17.59,-9101,NA
-17.62,-9201,NA
-17.95,-9301,NA
-17.72,-9401,NA
-17.08,-9501,NA
-18.36,-9601,NA
-20.71,-9701,NA
-21.77,-9801,NA
-21.5,-9901,NA
-21.22,-10001,NA
-20.86,-10101,NA
-20.25,-10201,NA
-20.53,-10301,NA
-21.34,-10401,NA
-21.73,-10501,NA
-21.67,-10601,NA
-21,-10701,NA
-20.64,-10801,NA
-19.3,-10901,NA
-19.97,-11001,NA
-21.99,-11101,NA
-22.23,-11201,NA
-21.4,-11301,NA
-21.24,-11401,NA
-20.48,-11501,NA
-19.49,-11601,NA
-18.51,-11701,NA
-18.77,-11801,NA
-20.13,-11901,NA
-20.47,-12001,NA
-20.23,-12101,NA
-15.91,-12201,NA
-14.32,-12301,NA
-15.3,-12401,NA
-15.93,-12501,NA
-18.16,-12601,NA
-20.13,-12701,NA
-20.98,-12801,NA
-21.09,-12901,NA
-20.78,-13001,NA
-19.07,-13101,NA
-20.14,-13201,NA
-20.58,-13301,NA
-18.76,-13401,NA
-19.74,-13501,NA
-21.32,-13601,NA
-21.97,-13701,NA
-22.34,-13801,NA
-22.86,-13901,NA
-21.88,-14001,NA
-22.14,-14101,NA
-21.9,-14201,NA
-21.87,-14301,NA
-22.13,-14401,NA
-22.6,-14501,NA
-21.84,-14601,NA
-21.79,-14701,NA
-22.04,-14801,NA
-22.17,-14901,NA
-22.52,-15001,NA
-22.56,-15101,NA
-22.36,-15201,NA
-22.28,-15301,NA
-22.01,-15401,NA
-22.1,-15501,NA
-22.38,-15601,NA
-22.33,-15701,NA
-21.92,-15801,NA
-21.6,-15901,NA
-21.64,-16001,NA
-22.15,-16101,NA
-22.8,-16201,NA
-22.7,-16301,NA
-22.82,-16401,NA
-22.78,-16501,NA
-22.74,-16601,NA
-22.8,-16701,NA
-22.82,-16801,NA
-22.49,-16901,NA
-22.02,-17001,NA
-21.72,-17101,NA
-21.72,-17201,NA
-21.73,-17301,NA
-21.82,-17401,NA
-21.99,-17501,NA
-22.14,-17601,NA
-22.18,-17701,NA
-22.4,-17801,NA
-22.61,-17901,NA
-22.44,-18001,NA
-22.19,-18101,NA
-22.04,-18201,NA
-21.84,-18301,NA
-21.61,-18401,NA
-21.52,-18501,NA
-21.53,-18601,NA
-21.68,-18701,NA
-21.8,-18801,NA
-21.88,-18901,NA
-21.91,-19001,NA
-22.02,-19101,NA
-22.22,-19201,NA
-22.29,-19301,NA
-22.37,-19401,NA
-22.29,-19501,NA
-22.35,-19601,NA
-22.4,-19701,NA
-22.32,-19801,NA
-22.21,-19901,NA
-22.15,-20001,NA
-22.13,-20101,NA
-22.13,-20201,NA
-22.03,-20301,NA
-21.86,-20401,NA
-21.69,-20501,NA
-21.61,-20601,NA
-21.52,-20701,NA
-21.44,-20801,NA
-21.41,-20901,NA
-21.3,-21001,NA
-21.28,-21101,NA
-21.11,-21201,NA
-21.08,-21301,NA
-20.89,-21401,NA
-20.78,-21501,NA
-20.71,-21601,NA
-20.72,-21701,NA
-20.66,-21801,NA
-20.57,-21901,NA
-20.62,-22001,NA
-20.61,-22101,NA
-20.57,-22201,NA
-20.61,-22301,NA
-20.65,-22401,NA
-20.69,-22501,NA
-20.66,-22601,NA
-20.74,-22701,NA
-20.71,-22801,NA
-20.84,-22901,NA
-20.66,-23001,NA
NA,-23101,NA
