d18O (permil),year (AD)
NA,1995
NA,1994
-40.36,1993
-42.84,1992
-44.08,1991
-46.09,1990
-44.18,1989
-45.1,1988
-44.54,1987
NA,1986
-44.37,1985
-44.63,1984
-44.54,1983
-44.34,1982
-43.49,1981
-42.7,1980
-44.19,1979
-44.07,1978
-43.7,1977
-43.59,1976
-43.05,1975
-43.24,1974
-43.5,1973
-44.38,1972
-45.01,1971
-45.33,1970
NA,1969
-44.86,1968
-44.68,1967
-42.83,1966
-41.34,1965
-39.46,1964
-41.93,1963
-40.63,1962
-40.35,1961
-41.5,1960
-42.7,1959
-43.44,1958
-42.53,1957
-41.93,1956
-42.43,1955
-44.42,1954
-46.37,1953
-46.83,1952
-45.01,1951
-44.84,1950
-44.28,1949
-44.45,1948
-44.6,1947
-43.45,1946
-43.92,1945
-44.06,1944
-43.43,1943
-43.47,1942
-43.06,1941
-41.76,1940
-45.94,1939
-47.1,1938
-48.48,1937
-46.33,1936
-42.57,1935
-42.05,1934
-42.51,1933
-43.48,1932
-44.06,1931
-45.07,1930
-44.74,1929
-43.98,1928
-43.96,1927
-44.97,1926
-44.65,1925
-44.29,1924
-44.33,1923
-43.01,1922
-41.35,1921
-43.13,1920
-43.81,1919
-44.16,1918
-45.7,1917
-47.03,1916
-45.51,1915
-43.09,1914
-43.15,1913
-44.98,1912
-45.48,1911
-44.97,1910
-43.34,1909
-43.34,1908
-43.47,1907
-44.01,1906
-43.33,1905
-41.42,1904
-40.77,1903
-41.63,1902
-42.13,1901
-43.22,1900
-44.31,1899
-45.18,1898
-46.39,1897
-46.71,1896
-46.07,1895
