d18O (permil),year (AD),depth (cm)
2.73,1999,0
2.55,1993,1
2.52,1986,2
2.58,1980,3
2.73,1977,3.4
2.45,1974,3.9
2.85,1971,4.3
2.87,1968,4.7
3.27,1973,4
2.91,1966,5
2.56,1965,5.1
2.65,1962,5.6
2.99,1959,6
2.85,1953,6.8
2.93,1951,7
2.69,1947,7.5
2.94,1944,8
2.72,1942,8.3
2.78,1936,9
2.58,1932,9.4
2.69,1929,9.9
2.6,1928,10
2.75,1925,10.3
2.88,1922,10.7
3,1920,11
2.95,1918,11.1
2.96,1915,11.6
3.04,1911,12
2.96,1903,13
2.85,1898,13.5
2.88,1894,14
3.03,1885,15
3.02,1881,15.4
3.4,1877,15.9
2.96,1876,16
2.89,1873,16.3
2.88,1869,16.8
2.87,1867,17
2.81,1865,17.2
2.8,1860,17.7
3.11,1857,18
2.88,1848,19
3.11,1840,19.8
2.6,1838,20
2.97,1833,20.5
2.83,1828,21
3.16,1826,21.3
3.4,1818,22
3.22,1813,22.5
3.23,1808,23
3.15,1803,23.5
2.99,1798,24
2.98,1793,24.5
2.95,1787,25
2.83,1784,25.3
3.08,1781,25.6
2.68,1778,25.9
3.05,1777,26
2.69,1769,26.7
2.89,1766,27
2.89,1755,28
2.71,1744,29
2.86,1733,30
2.9,1722,31
2.47,1711,32
2.97,1705,32.5
2.4,1700,33
2.49,1688,34
2.42,1677,35
2.76,1665,36
2.41,1653,37
2.32,1644,37.8
2.72,1641,38
3.3,1629,39
2.84,1617,40
3.25,1605,41
2.95,1597,41.7
2.96,1593,42
3.01,1588,42.4
3.33,1581,43
2.66,1569,44
3.01,1559,44.8
2.89,1556,45
2.79,1544,46
2.97,1540,46.3
2.81,1531,47
2.94,1530,47.1
2.71,1520,47.9
2.95,1519,48
2.83,1510,48.7
2.73,1506,49
2.92,1500,49.4
2.69,1493,50
2.8,1490,50.2
2.84,1480,51
2.73,1470,51.8
2.55,1468,52
2.66,1460,52.6
2.4,1455,53
2.79,1450,53.3
2.39,1442,54
2.74,1440,54.1
2.6,1430,54.9
2.54,1429,55
2.57,1420,55.7
2.46,1416,56
2.49,1410,56.4
2.48,1403,57
2.55,1400,57.2
2.27,1390,58
2.46,1377,59
2.38,1364,60
2.27,1350,61
2.66,1337,62
2.37,1331,62.5
2.55,1324,63
2.3,1311,64
2.09,1298,65
2.5,1291,65.5
2.07,1284,66
2.37,1271,67
2.3,1267,67.3
2.18,1262,67.7
2.18,1258,68
2.25,1246,68.9
2.47,1244,69
2.36,1234,69.8
2.47,1231,70
2.26,1222,70.7
2.23,1210,71.6
