d18O (permil),year (AD),depth (cm)
-19.91,2002,0.25
-19.57,1999,0.75
-20.07,1996,1.25
-20.1,1993,1.75
-20.09,1989,2.25
-19.53,1985,2.75
-19.4,1980,3.25
-19.81,1974,3.75
-19.91,1968,4.25
-20.18,1963,4.75
-19.81,1957,5.25
-20.15,1951,5.75
-20.05,1947,6.25
-20.27,1944,6.75
-19.72,1940,7.25
-20.35,1937,7.75
-20.02,1933,8.25
-20.08,1928,8.75
-19.89,1924,9.25
-20.07,1919,9.75
-20.06,1915,10.25
-20.03,1911,10.75
-19.99,1907,11.25
-19.93,1902,11.75
-20.01,1897,12.25
-19.95,1892,12.75
-19.56,1886,13.25
-20,1880,13.75
-19.79,1874,14.25
-19.94,1868,14.75
-20.99,1857,15
-20.05,1840,16
-19.65,1826,17
-19.24,1797,18
-19.28,1768,19
-19.2,1740,20
-19.15,1711,21
-19.12,1683,22
-19.44,1654,23
-19.33,1625,24
-19.2,1597,25
-19.35,1568,26
-19.76,1540,27
-20.1,1511,28
-19.66,1482,29
-19.55,1454,30
-19.57,1425,31
-19.72,1397,32
-19.91,1368,33
-19.7,1339,34
-19.33,1311,35
-19.5,1282,36
-19.38,1254,37
-19.66,1225,38
-19.86,1196,39
-19.55,1168,40
-19.81,1139,41
-19.64,1118,42
-19.33,1105,43
-19.33,1092,44
-19.5,1078,45
-19.58,1065,46
-19.68,1052,47
-19.9,1038,48
-19.63,1025,49
-19.85,1012,50
-19.58,998,51
-20.02,985,52
-19.78,972,53
-19.91,958,54
-19.47,945,55
-20.31,932,56
-20.1,918,57
-20.41,892,59
-20.4,876,60
-19.74,858,61
-19.16,803,64
-19.33,792,64.5
-18.78,780,65
-18.94,758,66
-18.9,735,67
-19.48,713,68
-18.72,690,69
-18.97,668,70
-18.74,645,71
-19.37,623,72
-18.94,600,73
-18.99,578,74
-18.99,555,75
-19.7,533,76
-19.16,510,77
-19.36,488,78
-19.08,465,79
-19.22,443,80
-18.98,420,81
-19.19,398,82
-19.24,375,83
-19.8,353,84
-18.99,330,85
-19.54,308,86
-19.04,285,87
-19.23,251,88
-19.02,217,89
-19.21,184,90
-18.88,150,91
-19.01,116,92
-18.88,82,93
-19.21,48,94
-19.49,14,95
-19.64,-19,96
-19.22,-53,97
-18.99,-87,98
-18.36,-121,99
-19.3,-155,100
-18.47,-189,101
-19.11,-222,102
-18.69,-256,103
-19.19,-290,104
-18.99,-324,105
-19.31,-358,106
-19.02,-392,107
-19.63,-425,108
-19.3,-459,109
-19.1,-493,110
-19.56,-527,111
-19.6,-561,112
-19.36,-595,113
-19.6,-628,114
-19.38,-662,115
-19.15,-696,116
-19.22,-730,117
-19.44,-798,119
-19.04,-831,120
-19.48,-865,121
-19.39,-899,122
-19.47,-933,123
-19.81,-967,124
-19.71,-1001,125
-19.33,-1034,126
-19.83,-1068,127
-19.66,-1102,128
-19.83,-1136,129
-19.31,-1170,130
-19.58,-1204,131
-19.74,-1237,132
-20.37,-1271,133
-19.38,-1305,134
-19.67,-1339,135
-19.56,-1373,136
-19.47,-1407,137
-19.82,-1440,138
-19.82,-1474,139
-19.68,-1508,140
-19.5,-1542,141
-19.33,-1576,142
-19.9,-1610,143
-19.62,-1643,144
-19.79,-1677,145
-19.47,-1711,146
-19.9,-1745,147
-19.69,-1779,148
-19.79,-1813,149
-19.14,-1846,150
-20.17,-1880,151
-19.67,-1914,152
-19.97,-1948,153
-19.7,-1982,154
-19.86,-2016,155
-19.84,-2049,156
-20.05,-2083,157
-20.12,-2151,159
-20.23,-2185,160
-19.78,-2219,161
-20.06,-2252,162
-20.02,-2286,163
-19.9,-2320,164
-20.14,-2354,165
-19.59,-2388,166
-19.76,-2422,167
-19.78,-2455,168
-19.71,-2455,168
-19.97,-2489,169
-20.01,-2523,170
-20,-2547,171
-19.94,-2560,172
-20.01,-2574,173
-19.71,-2588,174
-19.66,-2601,175
-19.73,-2615,176
-19.87,-2629,177
-19.69,-2642,178
-19.35,-2656,179
-19.85,-2670,180
-19.48,-2683,181
-19.4,-2697,182
-19.1,-2711,183
-19.57,-2724,184
-19.55,-2738,185
-19.8,-2752,186
-19.26,-2765,187
-19.87,-2779,188
-19.85,-2793,189
-19.49,-2806,190
-19.42,-2820,191
-20.15,-2833,192
-19.86,-2847,193
-19.7,-2861,194
-19.92,-2874,195
-19.98,-2888,196
-19.81,-2902,197
-19.6,-2915,198
-19.3,-2929,199
-20.12,-2943,200
-19.81,-2956,201
-19.94,-2970,202
-19.7,-2984,203
-20.17,-2997,204
-19.69,-3011,205
-19.26,-3025,206
-19.01,-3038,207
-19.6,-3052,208
-19.77,-3065,209
-19.87,-3079,210
-19.35,-3093,211
-19.7,-3106,212
-20.29,-3120,213
-19.52,-3134,214
-19.48,-3147,215
-19.51,-3161,216
-19.29,-3175,217
-19.95,-3188,218
-19.92,-3202,219
-19.64,-3216,220
-19.69,-3229,221
-19.27,-3243,222
-19.56,-3257,223
-19.62,-3270,224
-19.63,-3284,225
-19.65,-3298,226
-19.62,-3311,227
-19.2,-3325,228
-19.42,-3338,229
-19.68,-3352,230
-19.9,-3366,231
-19.67,-3379,232
-19.54,-3393,233
-19.93,-3407,234
-19.43,-3420,235
-19.17,-3448,237
-19.43,-3461,238
-19.69,-3475,239
-19.63,-3489,240
-19.97,-3502,241
-19.61,-3516,242
-19.62,-3530,243
-19.81,-3543,244
-19.64,-3561,245
-19.21,-3583,246
-19.77,-3605,247
-19.29,-3627,248
-19.82,-3649,249
-19.7,-3671,250
-19.76,-3693,251
-19.14,-3715,252
-19.4,-3737,253
-19.36,-3759,254
-19.04,-3781,255
-19.51,-3803,256
-19.75,-3825,257
-19.78,-3847,258
-19.77,-3869,259
-19.95,-3891,260
