dD (permil),year (AD),depth (cm),dD (permil)
-141.81,1879.090909,9.5,-153.23
-140.98,1497.272727,39.5,-182.09
-139.34,1115.454546,69.5,-179.91
-142.97,606.363636,109.5,-195.27
NA,358.181818,129,-184.08
-152.8,-150.909091,169,-182.49
-136.59,-666.363636,209.5,-199.44
-151.7,-1064.572864,229,-179.49
-148,-1607.286432,269,-187.2
NA,-2172.126437,310.5,-187.22
-152,-2459.770115,330,-183.53
-149.5,-3049.808429,370,-186.33
-129.85,-3632.471264,409.5,-188.82
-143.9,-3920.114943,429,-171.54
-136.6,-4510.153257,469,-178.57
-138.09,-5033.812261,504.5,-187.11
NA,-5255.076628,519.5,-182.48
-137.1,-5395.210728,529,-167.35
NA,-5550.095785,539.5,-175.64
-131.41,-5845.114943,559.5,-176.36
-139.8,-5985.249042,569,-192.31
-129.15,-6125.735294,579.5,-176.48
-152.2,-6251.470588,589,-187.34
-155.4,-6397.058824,600,-203
-159.5,-6463.235294,605,-200.61
-152.1,-6516.176471,609,-196.1
-162.3,-7087.5,619,-182.34
-158,-7512.5,629,-191.22
-159.3,-7937.5,639,-188.12
-164.6,-8319,649,-186.82
-148.1,-9150,659,-190.54
-138.5,-9816.66667,669,-197.54
-143.6,-10083.33333,673,-197.93
-131.6,-10683.33333,682,-200.55
-123.6,-11016.66667,687,-197.01
