d18O (permil),year (AD),depth (cm)
-10.24,1999,NA
-10.58,1996,NA
-10.29,1993,NA
-10.17,1990,NA
-10.53,1987,NA
-10.45,1984,NA
-10.82,1981,NA
-10.71,1978,NA
-10.75,1975,NA
-10.81,1972,NA
-10.74,1969,NA
-10.61,1966,NA
-10.56,1963,NA
-10.78,1960,NA
-10.89,1957,NA
-11.04,1954,NA
-10.79,1951,NA
-10.62,1948,NA
-10.53,1945,NA
-10.41,1942,NA
-10.57,1939,NA
-10.25,1936,NA
-10.51,1933,NA
-10.5,1930,NA
-10.57,1927,NA
-10.76,1924,NA
-10.6,1921,NA
-10.72,1918,NA
-10.83,1915,NA
-10.72,1912,NA
-10.57,1909,NA
-10.83,1906,NA
-10.66,1903,NA
-10.57,1900,NA
-10.66,1897,NA
-10.57,1894,NA
-10.68,1891,NA
-10.65,1888,NA
-10.73,1885,NA
-10.57,1882,NA
-10.64,1879,NA
-10.68,1876,NA
-10.81,1873,NA
-10.63,1870,NA
-10.79,1867,NA
-10.78,1864,NA
-10.77,1861,NA
-10.73,1858,NA
-10.85,1855,NA
-10.62,1852,NA
-10.81,1849,NA
-10.62,1846,NA
-10.9,1843,NA
-10.56,1840,NA
-10.46,1837,NA
-10.2,1834,NA
-10.45,1831,NA
-10.49,1828,NA
-10.59,1825,NA
-10.58,1822,NA
-10.36,1819,NA
-10.14,1816,NA
-10.35,1813,NA
-10.31,1810,NA
-10.56,1807,NA
-10.43,1804,NA
-9.59,1801,NA
-9.92,1798,NA
-10.42,1795,NA
-10.5,1792,NA
-10.67,1789,NA
-10.4,1786,NA
-10.62,1783,NA
-10.54,1780,NA
-10.76,1777,NA
-10.33,1774,NA
-10.45,1771,NA
-10.5,1768,NA
-10.47,1765,NA
-10.43,1762,NA
-10.71,1759,NA
-10.28,1756,NA
-10.36,1753,NA
-10.61,1749,NA
-11.08,1744,NA
-10.59,1739,NA
-10.47,1734,NA
-10.6,1729,NA
-10.73,1724,NA
-10.48,1719,NA
-10.57,1714,NA
-10.41,1709,NA
-10.31,1704,NA
-10.07,1699,NA
-10.45,1694,NA
-10.6,1689,NA
-9.72,1682,NA
-9.53,1675,NA
-10.16,1668,NA
-9.7,1662,NA
-9.85,1655,NA
-9.2,1648,NA
-9.44,1641,NA
-9.99,1634,NA
-9.55,1627,NA
-10.25,1620,NA
-10.22,1613,NA
-10.14,1607,NA
-10.19,1600,NA
-10.15,1593,NA
-10.2,1586,NA
-10.11,1579,NA
-9.14,1572,NA
-9.6,1565,NA
-9.75,1558,NA
-10.43,1552,NA
-9.49,1545,NA
-10.3,1538,NA
-10.06,1531,NA
-9.71,1524,NA
-10.32,1517,NA
-10.52,1510,NA
-10.62,1503,NA
-10.76,1497,NA
-10.59,1490,NA
-10.39,1483,NA
-10.75,1476,NA
-10.43,1469,NA
-9.66,1462,NA
-10.75,1455,NA
-10.62,1448,NA
-10.49,1442,NA
-10.7,1435,NA
-10.4,1428,NA
-10.01,1421,NA
-10.06,1414,NA
-10.44,1407,NA
-10.26,1400,NA
-10.3,1393,NA
-10.58,1387,NA
-10.66,1380,NA
-10.56,1373,NA
-10.78,1366,NA
-10.03,1359,NA
-9.66,1352,NA
-10.17,1345,NA
-10.74,1338,NA
-10.53,1332,NA
-10.5,1325,NA
-9.91,1318,NA
-9.94,1311,NA
-9.8,1304,NA
-9.76,1297,NA
-8.78,1290,NA
-8.99,1283,NA
-8.77,1277,NA
-8.96,1270,NA
-8.85,1263,NA
-9.87,1256,NA
-10.22,1249,NA
-10.14,1244,NA
-10.09,1239,NA
-10.31,1234,NA
-10.07,1229,NA
-10.17,1224,NA
-9.99,1219,NA
-10.22,1214,NA
-10.4,1209,NA
-10.4,1204,NA
-10.2,1199,NA
-10.1,1194,NA
-10.31,1189,NA
-10.49,1184,NA
-9.6,1179,NA
-8.13,1174,NA
-10.09,1169,NA
-10.01,1164,NA
-10.02,1159,NA
-10,1154,NA
-9.59,1149,NA
-9.86,1144,NA
-8.34,1139,NA
-9.5,1134,NA
-10.2,1129,NA
-10.12,1124,NA
-9.99,1119,NA
-10.19,1114,NA
-10.17,1109,NA
-10.06,1104,NA
-10.29,1099,NA
-10.27,1094,NA
-10.07,1089,NA
-10.42,1084,NA
-10.46,1079,NA
-9.65,1074,NA
-10.13,1069,NA
-10.12,1064,NA
-9.99,1059,NA
-10.4,1054,NA
-10.49,1049,NA
-10.55,1044,NA
-10.1,1039,NA
-9.95,1034,NA
-10.31,1029,NA
-10.32,1024,NA
-10.32,1019,NA
-10.27,1014,NA
-10.42,1009,NA
-10.39,1004,NA
-10.13,999,NA
-10.2,994,NA
-10.37,989,NA
-10.46,984,NA
-10.31,979,NA
-10.04,974,NA
-10.19,969,NA
-10.07,964,NA
-9.74,959,NA
-8.52,954,NA
-9.29,949,NA
-9.68,944,NA
-9.72,939,NA
-9.61,934,NA
-9.92,929,NA
-9.75,924,NA
-9.72,919,NA
-9.86,914,NA
-9.76,909,NA
-9.89,904,NA
-9.37,899,NA
-9.89,894,NA
-10.23,889,NA
-10.32,884,NA
-9.95,879,NA
-9.86,874,NA
-9.79,869,NA
-9.88,864,NA
-10.06,859,NA
-9.89,854,NA
-10.1,849,NA
-9.84,844,NA
-9.59,839,NA
-9.69,834,NA
-9.91,829,NA
-9.83,824,NA
-9.68,819,NA
-9.94,814,NA
-9.62,809,NA
-10.03,804,NA
-10.11,799,NA
-9.99,794,NA
-10.07,789,NA
-10.3,784,NA
-10.19,779,NA
-10.1,774,NA
-10.34,769,NA
-10.2,764,NA
-10.38,759,NA
-10.19,754,NA
-9.43,749,NA
-9.07,744,NA
-10.14,739,NA
-10.1,734,NA
-10.16,729,NA
-9.71,724,NA
-11.24,719,NA
-9.99,714,NA
-10.2,709,NA
-10.39,704,NA
-10.28,699,NA
-10.4,694,NA
-10.06,689,NA
-9.93,684,NA
-10.46,679,NA
-10.21,674,NA
-9.72,669,NA
-9.68,664,NA
-10.23,659,NA
-10.02,654,NA
-10.24,649,NA
-10.29,644,NA
-10.28,639,NA
-10.97,634,NA
-10.29,629,NA
-10.66,624,NA
-10.21,619,NA
-10.52,614,NA
-10.14,609,NA
-10.11,604,NA
-10.45,599,NA
-10.47,594,NA
-10.39,589,NA
-10.31,584,NA
-10.35,579,NA
-10.13,574,NA
-10.18,569,NA
-10.36,564,NA
-10.13,559,NA
-10.01,554,NA
-10.3,549,NA
-10.34,544,NA
-10.42,539,NA
-10.15,534,NA
-10.11,529,NA
-10.07,524,NA
