d18O (permil),year (AD),depth (cm)
-19.99610971,1903.379983,340.9
-22.06541142,1785.375249,347.7
-21.27205796,1558.435061,360.3
-20.74012838,1439.861417,366.6
-18.77634798,1319.416765,372.8
-21.34585966,1196.083787,378.95
-19.04947157,1008.677813,387.95
-20.0609463,941.1884436,391.1
-19.82981908,658.3196475,403.85
-20.6787416,514.5830304,410.1
-22.00730249,237.8563759,421.8
-19.31402688,85.56218437,428.1
-20.90338178,12.37928098,431.1
-18.19418023,-205.3862524,439.95
-18.07120607,-357.8612744,446.1
-19.46119432,-432.4449734,449.1
-19.75801108,-661.4542451,458.3
-19.64841471,-892.5352746,467.6
-20.27399735,-1123.5452,476.95
-19.7752078,-1276.959832,483.2
-21.15347209,-1350.293463,486.2
-21.78702111,-1599.387451,496.45
-20.5084352,-1748.01636,502.6
-20.04960124,-1822.804974,505.7
-21.34526752,-1985.675019,514.2
-17.55690219,-2183.355852,520.6
-19.65248378,-2355.345822,527.6
-19.73713713,-2542.989852,535.1
-17.53549893,-2670.616017,540.1
-18.74314344,-2913.552912,549.2
-19.01807723,-3092.056722,555.55
-18.36990862,-3475.640466,568.1
-17.27578051,-3624.797631,574.35
-19.28912959,-4140.03827,586.3
-18.13201128,-4442.069713,593.3
-16.7208586,-4704.39316,598.775
-15.23822968,-5099.841556,606.275
-17.67160101,-5487.602783,612.05
-16.88131757,-6097.124506,621.85
-17.86450478,-6708.283514,629.725
-17.88806756,-7453.306781,638.075
