d18O (permil),year (AD),depth (cm)
-12.53,2006,0
-12.94,1998,0.25
-13.42,1981,0.75
-13.02,1964,1.25
-12.93,1948,1.75
-12.64,1931,2.25
-12.96,1914,2.75
-13,1898,3.25
-12.84,1881,3.75
-12.67,1864,4.25
-13.69,1848,4.75
-14.02,1831,5.25
-13.84,1814,5.75
-13.47,1798,6.25
-13.31,1781,6.75
-13.47,1764,7.25
-13.38,1748,7.75
-13.52,1712,8.25
-13.49,1679,8.75
-12.97,1646,9.25
-13,1613,9.75
-13.54,1581,10.25
-14.17,1548,10.75
-13.68,1516,11.25
-13.67,1484,11.75
-13.38,1452,12.25
-13.82,1421,12.75
-13.74,1389,13.25
-13.81,1358,13.75
-13.59,1327,14.25
-13.18,1296,14.75
-13.52,1265,15.25
-13.25,1234,15.75
-13.18,1203,16.25
-12.45,1173,16.75
-12.56,1143,17.25
-12.78,1113,17.75
-12.82,1083,18.25
-12.58,1053,18.75
-13.48,1024,19.25
-13.69,994,19.75
-13.66,965,20.25
-13.65,936,20.75
-13.31,879,21.75
-13.43,850,22.25
-13.58,821,22.75
-14,793,23.25
-13.62,751,24
-13.44,723,24.5
-13.46,695,25
-12.93,668,25.5
-12.99,640,26
-13.2,613,26.5
-13.4,586,27
-13.42,559,27.5
-13.36,532,28
-13.83,505,28.5
-13.46,479,29
-14.35,453,29.5
-13.24,426,30
-13.14,400,30.5
-13.92,374,31
-13.79,348,31.5
-13.46,323,32
-13.46,297,32.5
-13.72,272,33
-14.03,246,33.5
-13.03,221,34
-13.5,196,34.5
-13.13,171,35
-13.65,147,35.5
-13.7,122,36
-13.56,98,36.5
-13.34,73,37
-13.01,49,37.5
-13.02,25,38
-13.42,1,38.5
-13.56,-22,39
-12.65,-46,39.5
-13.67,-70,40
-12.69,-93,40.5
-13.77,-116,41
-13.66,-139,41.5
-13.31,-162,42
-13.41,-185,42.5
-13.52,-208,43
-13.9,-253,44
-13.12,-276,44.5
-13.64,-298,45
-12.8,-320,45.5
-13.62,-342,46
-14.53,-364,46.5
-14.04,-386,47
-13.58,-407,47.5
-12.7,-429,48
-13.25,-450,48.5
-13.94,-471,49
-13.34,-493,49.5
-13.42,-514,50
-13.66,-535,50.5
-13.57,-556,51
-14.22,-576,51.5
-13.97,-597,52
-13.88,-617,52.5
-13.35,-638,53
-14.06,-658,53.5
-14.01,-678,54
-13.72,-698,54.5
-13.5,-718,55
-13.77,-738,55.5
-13.71,-758,56
-13.97,-778,56.5
-14.03,-797,57
-13.9,-817,57.5
-13.67,-836,58
-13.96,-855,58.5
-14.21,-874,59
-13.44,-893,59.5
-13.57,-912,60
-13.46,-931,60.5
-13.37,-950,61
-13.44,-968,61.5
-13.3,-987,62
-13.93,-1005,62.5
-13.48,-1024,63
-13.73,-1042,63.5
-13.74,-1060,64
-13.65,-1078,64.5
-13.73,-1096,65
-13.37,-1114,65.5
-14.03,-1132,66
-13.86,-1150,66.5
-14.06,-1167,67
-14.3,-1185,67.5
-14.06,-1202,68
-13.75,-1220,68.5
-13.17,-1237,69
-13.53,-1254,69.5
-13.76,-1271,70
-13.43,-1305,71
-13.57,-1372,73
-12.49,-1438,75
-12.95,-1502,77
-12.99,-1565,79
-13.72,-1627,81
-12.91,-1688,83
-13.12,-1748,85
-13.23,-1807,87
-13.29,-1865,89
-13.6,-1923,91
-13.33,-1979,93
-13.39,-2034,95
-12.97,-2089,97
-13.07,-2143,99
-13.25,-2197,101
-13.69,-2250,103
-12.72,-2302,105
-13.63,-2354,107
-13.69,-2405,109
-12.68,-2456,111
-13.18,-2557,115
-13.23,-2607,117
-13.32,-2657,119
-12.42,-2707,121
-11.74,-2756,123
-12.29,-2806,125
-13.39,-2855,127
-13.35,-2905,129
-13.07,-2954,131
-12.47,-3004,133
-13.32,-3054,135
-12.96,-3104,137
-13.12,-3154,139
-13.3,-3205,141
-13.03,-3256,143
-12.64,-3307,145
-12.92,-3359,147
-12.52,-3412,149
-12.39,-3465,151
-12.74,-3518,153
-12.64,-3572,155
-12.76,-3545,154
-12.84,-3600,156
-12.81,-3655,158
-12.67,-3711,160
-12.78,-3768,162
-13.01,-3826,164
-12.75,-3885,166
-11.74,-3944,168
-12.68,-4005,170
-12.58,-4067,172
-12.14,-4130,174
-12.57,-4194,176
-12.28,-4259,178
-12.91,-4326,180
-12.68,-4393,182
-12.64,-4463,184
-12.44,-4533,186
-12.85,-4605,188
-12.67,-4679,190
-12.39,-4754,192
-12.8,-4830,194
-12.25,-4889,195.5
-12.08,-4929,196.5
-13.03,-4969,197.5
-13.81,-5009,198.5
-12.9,-5050,199.5
-12.65,-5070,200
-11.93,-5239,204
-12.9,-5695,214
-11.5,-6205,224
