dD (permil),year (AD),depth (cm),dDUncertainty (permil)
-242.1,2001.2,NA,2.5
-239.3,1991.1,NA,1.1
-237.5,1982.2,NA,6.3
-237.3,1977.2,NA,0.2
-229.6,1964.5,NA,2.3
-233.2,1957.1,NA,4.8
-231.3,1947.2,NA,NA
-234.8,1936,NA,2.2
-227,1923.6,NA,NA
-230.7,1910.4,NA,NA
-228.6,1896.6,NA,NA
-223.9,1888.7,NA,3.4
-225.1,1880.8,NA,2.2
-239.3,1865.1,NA,2.2
-242.6,1857.2,NA,1.6
-258.3,1849.3,NA,2.6
-256.1,1841.4,NA,1.1
-259.7,1833.5,NA,2.8
-259.1,1809.9,NA,2.6
-271.2,1786.2,NA,1.9
-267.5,1762,NA,1.4
-264.2,1735,NA,0.3
-265.1,1708.1,NA,2
-268.5,1681.1,NA,1.5
-262.6,1654.2,NA,1.8
-262,1636.2,NA,0.9
-283.3,1627.2,NA,3.5
-272.6,1591.2,NA,2.1
-279.6,1553.6,NA,5.2
-268.6,1516.9,NA,1.9
-280.7,1481.6,NA,0.9
-270.3,1460.1,NA,0.4
-266.5,1415.6,NA,1.5
-277.7,1368.4,NA,1.4
-280.2,1317.1,NA,0.1
-283.6,1228.4,NA,0.5
-266.8,1139.8,NA,3.1
-254.7,1051.1,NA,1
-249.5,967.1,NA,1.7
-255.6,925.9,NA,2.8
-257,884.8,NA,4.3
-245,843.6,NA,3.9
-230.9,801.6,NA,1.7
-214.5,752.3,NA,8.3
-262.8,653.9,NA,3.7
-245.3,377.4,NA,2
-239.8,272.4,NA,5.1
-243.4,167.5,NA,1.8
-255.1,52.0999999999999,NA,1.9
-254.1,-64.4000000000001,NA,6
-250.2,-179.8,NA,2.8
-247.5,-295.3,NA,1.3
-246.8,-416.4,NA,5.3
-250.1,-537.6,NA,1.5
-248.1,-658.8,NA,3.5
-247.9,-780,NA,2.3
-252.6,-841.4,NA,2.2
-256.5,-902.9,NA,2.3
-254.5,-964.3,NA,2.2
-253.4,-1025.8,NA,0.6
-256.6,-1112.8,NA,1.3
-258.1,-1156.3,NA,2.9
-258.9,-1339.8,NA,0.2
-268.8,-1523.4,NA,3.6
-263.3,-1706.9,NA,6.6
-261.2,-1890.5,NA,4.3
-229.1,-2002.4,NA,3.1
-253.1,-2114.4,NA,1.8
-240.4,-2226.3,NA,6.6
-224.8,-2597.4,NA,3.5
-240.6,-2856.6,NA,0.7
-228.2,-3115.8,NA,6.2
-285.7,-3911.9,NA,2.7
-264.5,-4180.3,NA,4
-263.8,-4448.8,NA,2.8
-285.7,-4686.5,NA,1.8
-262.8,-4924.3,NA,2.6
-222.9,-5162,NA,2.6
-240.3,-5399.8,NA,4.2
-262.4,-5635.6,NA,5.4
-265.9,-5871.4,NA,1
-260.1,-6712.8,NA,3.8
-259.4,-6897,NA,4
-272.6,-7044.4,NA,4.7
-259.3,-7153.7,NA,3.8
