dD (permil),year (AD),depth (cm),dD (permil),dD (permil)
-134,1391,0,-104,-147
-129,1362,5,-115,-154
-113,1306,15,-87,-133
-116,1279,20,-90,-127
-108,1252,25,-93,-129
-108,1223,31,-93,-127
-121,1204,35,-101,-128
-115,1182,40,-81,-124
-107,1162,45,-87,-120
-116,1144,50,-80,-123
-125,1138,52,-84,-133
-133,1123,57,-109,-140
-100,1115,60,-83,-118
-126,1108,63,-119,-106
-136,1101,66,-114,-138
-112,1093,69,-74,-116
-118,1086,72,-86,-122
-130,1077,75,-90,-126
-115,1062,80,-88,-125
-126,1045,85,-51,-107
-123,1023,90,-74,-112
-127,997,95,-118,-125
-103,965,100,-77,-105
-124,951,102,-86,-126
-135,935,104,-112,-140
-133,927,105,-104,-140
-109,919,106,-71,-111
-131,910,107,-106,-142
-134,901,108,-105,-138
-119,892,109,-82,-122
-137,883,110,-110,-147
-141,874,111,-106,-141
-116,864,112,-92,-123
-136,855,113,-96,-138
-134,845,114,-97,-137
-121,835,115,-77,-116
-127,826,116,-95,-134
-135,816,117,-119,-142
-119,806,118,-89,-121
-118,796,119,-93,-117
-135,786,120,-126,-149
-143,776,121,-99,-125
-125,766,122,-114,-138
-122,747,124,-103,-128
-104,717,127,-102,-131
-113,686,130,-111,-133
-118,654,133,-100,-129
-118,621,136,-114,-137
-119,586,139,-106,-133
-118,548,142,-97,-134
-118,507,145,-112,-140
-121,493,146,-104,-138
-136,463,148,-102,-134
-134,432,150,-111,-138
-120,415,151,-92,-128
-133,382,153,-107,-150
-125,365,154,-101,-131
-124,330,156,-112,-143
-128,313,157,-95,-135
-138,276,159,-106,-153
-139,258,160,-86,-131
-137,221,162,-99,-144
-136,202,163,-104,-141
-132,165,165,-93,-139
-133,146,166,-97,-138
-135,108,168,-112,-146
-141,89,169,-113,-139
-124,32,172,-87,-128
-122,-24,175,-89,-129
-146,-80,178,-114,-157
-138,-136,181,-115,-151
-137,-193,184,-106,-146
-139,-249,187,-120,-139
-141,-306,190,-117,-148
-134,-364,193,-110,-135
-130,-423,196,-74,-108
-122,-503,200,-105,-146
-123,-606,205,-91,-133
-116,-711,210,-113,-151
-124,-797,214,-109,-145
-117,-818,215,-100,-138
-136,-927,220,-107,-154
-118,-1038,225,-106,-145
-125,-1150,230,-121,-153
-117,-1262,235,-118,-146
-123,-1375,240,-94,-135
-122,-1466,244,-103,-143
-134,-1489,245,-113,-155
-141,NA,255,-118,-159
-129,NA,260,-113,-152
-116,NA,265,-90,-140
-117,NA,270,-100,-140
-117,NA,275,-90,-140
-134,NA,280,-84,-148
-119,NA,285,-92,-138
